,jobTitle,companyName,meanPay,payRange
0,Data Scientist,Facebook,"$145,946","<span class=""strong"">$145,946</span>"
1,Data Scientist,IBM,"$112,674","<span class=""strong"">$112,674</span>"
2,Data Scientist,Booz Allen Hamilton,"$81,608","<span class=""strong"">$81,608</span>"
3,Data Scientist,Microsoft,"$129,721","<span class=""strong"">$129,721</span>"
4,Data Scientist,Capital One,"$113,600","<span class=""strong"">$113,600</span>"
5,Data Scientist,Nielsen,"$81,191","<span class=""strong"">$81,191</span>"
6,Data Scientist,Uber,"$125,402","<span class=""strong"">$125,402</span>"
7,Data Scientist,Google,"$135,727","<span class=""strong"">$135,727</span>"
8,Data Scientist,Apple,"$136,552","<span class=""strong"">$136,552</span>"
9,Data Scientist,Ford Motor Company,"$94,466","<span class=""strong"">$94,466</span>"
10,Data Scientist,Airbnb,"$140,476","<span class=""strong"">$140,476</span>"
11,Data Scientist,Uptake,"$107,556","<span class=""strong"">$107,556</span>"
12,Data Scientist,Amazon,"$120,458","<span class=""strong"">$120,458</span>"
13,Data Scientist,Oracle,"$114,104","<span class=""strong"">$114,104</span>"
14,Data Scientist,PwC,"$105,384","<span class=""strong"">$105,384</span>"
15,Data Scientist,KPMG,"$100,017","<span class=""strong"">$100,017</span>"
16,Data Scientist,Wayfair,"$108,134","<span class=""strong"">$108,134</span>"
17,Data Scientist,Verizon,"$117,115","<span class=""strong"">$117,115</span>"
18,Data Scientist,Twitter,"$142,726","<span class=""strong"">$142,726</span>"
19,Data Scientist,LinkedIn,"$129,012","<span class=""strong"">$129,012</span>"
20,Data Scientist,CKM Analytix,"$82,297","<span class=""strong"">$82,297</span>"
21,Data Scientist,Zillow,"$122,165","<span class=""strong"">$122,165</span>"
22,Data Scientist,Cognizant Technology Solutions,"$96,815","<span class=""strong"">$96,815</span>"
23,Data Scientist,UnitedHealth Group,"$82,991","<span class=""strong"">$82,991</span>"
24,Data Scientist,PayPal,"$140,000","<span class=""strong"">$140,000</span>"
25,Data Scientist,Civis Analytics,"$81,076","<span class=""strong"">$81,076</span>"
26,Data Scientist,J.P. Morgan,"$109,105","<span class=""strong"">$109,105</span>"
27,Data Scientist,Walmart,"$92,826","<span class=""strong"">$92,826</span>"
28,Data Scientist,Intel Corporation,"$120,240","<span class=""strong"">$120,240</span>"
29,Data Scientist,Boeing,"$110,504","<span class=""strong"">$110,504</span>"
30,Data Scientist,Cisco Systems,"$119,871","<span class=""strong"">$119,871</span>"
31,Data Scientist,Caterpillar,"$83,373","<span class=""strong"">$83,373</span>"
32,Data Scientist - Monthly Intern,Facebook,"$7,789","<span class=""strong"">$7,789</span>"
33,Data Scientist,Northrop Grumman,"$102,197","<span class=""strong"">$102,197</span>"
34,Data Scientist,Rang Technologies,"$107,649","<span class=""strong"">$107,649</span>"
35,Data Scientist,eBay,"$127,189","<span class=""strong"">$127,189</span>"
36,Data Scientist,Groupon,"$162,252","<span class=""strong"">$162,252</span>"
37,Data Scientist,Allstate,"$99,238","<span class=""strong"">$99,238</span>"
38,Data Scientist,Gallup,"$99,842","<span class=""strong"">$99,842</span>"
39,Data Scientist,Deloitte,"$91,651","<span class=""strong"">$91,651</span>"
40,Data Scientist,Salesforce,"$143,253","<span class=""strong"">$143,253</span>"
41,Data Scientist,Spotify,"$122,788","<span class=""strong"">$122,788</span>"
42,Data Scientist,Honeywell,"$98,946","<span class=""strong"">$98,946</span>"
43,Data Scientist,Accenture,"$104,153","<span class=""strong"">$104,153</span>"
44,Data Scientist,Boston Consulting Group,"$120,189","<span class=""strong"">$120,189</span>"
45,Data Scientist,Adobe,"$133,341","<span class=""strong"">$133,341</span>"
46,Data Scientist,AIG,"$107,297","<span class=""strong"">$107,297</span>"
47,Data Scientist,Visa Inc.,"$123,743","<span class=""strong"">$123,743</span>"
48,Data Scientist,Aetna,"$95,520","<span class=""strong"">$95,520</span>"
