,Job_title,Company_name,Locations,Summary
0,APS 4/5-6 - Virtual Laboratory Technician,Australian Government Department of Defence,Edinburgh SA,"$67,100 - $92,150 (plus super)
Edinburgh, SA
DST is an inclusive employer, committed to diversity and equity in the work place. DST offers an attractive salary package and flexible, family-friendly working arrangements. Our staff have access to flexible working hours with opportunities for part-time and home-based work. We encourage ongoing professional growth and development.

Defence provides a superannuation contribution of 15.4 per cent, higher than most industries, with the opportunity for you to make additional personal contributions. To learn more about DST see our DST Corporate Video.

As the Virtual Laboratory Technician you will work as part of a dynamic team maintaining and growing the Virtual Laboratory (VL) classified computing capability to meet the rapidly evolving needs of research and scientific staff.
You will lead and execute the ICT-elements around providing data, software and services for research staff within the Virtual Laboratory computing domain.
Work collaboratively with a team of leading scientists and engineers in the development and delivery of Artificial Intelligence and Machine Learning capabilities for some of Defense’s problems.
Deliver and maintain modern software stacks and capabilities that support the development of Artificial Intelligence and Machine learning solutions.
Opportunities to experiment with latest software technologies applied to Defence.

You will provide a critical enabling function for research and scientific staff, as well as help guide the development of new enabling ICT services for the environment.
Key result areas; under limited direction the Virtual Laboratory Technician will:
Work as part of a small team providing technical oversight and maintenance of desktop, server, storage and backup elements of the Virtual Laboratory Computing Capability that includes a mix of Red Hat Enterprise Linux and Microsoft Windows operating systems.
Liaise with internal stakeholder groups and the broader user community of the Virtual Laboratory to understand current and future user requirements.
Help grow the Virtual Laboratory Computing Capability through the deployment of new ICT services.
Provide the data management workflows between security domains to provide software and ICT system patching."
1,Sports Statistician,Genius Sports Services,Hornsby NSW,"Genius Sports Statisticians are responsible for attending football events in Hornsby, Australia and reporting all the action directly from the venue using our state-of-the-art Mobile Interface and short key-phrase reports. This is a great part-time position and as such, students are very welcome to apply. No prior reporting knowledge is required, full training included.
Job requirements:
Good knowledge of the rules of football
Clear and understandable spoken English
Willingness to travel to sports venues (driver’s license or travel card is an advantage)
Availability to attend sports events, including on weekdays and/or weekends
We offer attractive payment and performance-based bonus system.
How to apply:
Are you ready to join the Genius Sports team?
Sign up today at https://www.geniussports.com/statisticians
Job Type: Part-time"
2,Principal Environmental Scientist - Contaminated Land & Remediation,AECOM,Canberra ACT 2601,"Australia - Australian Capital Territory, Canberra
Job Summary
Put your innovative thinking, technical excellence and business skills into high gear. When you join a company that’s building a better world, your opportunities are unlimited. At AECOM, we design, build, finance, operate and manage projects and programs that unlock opportunities, protect our environment and improve people’s lives. Every day our team is exploring new possibilities for a better world. Cleaner transportation. Healthier environments. Resilient cities. Greener infrastructure.
Our environment team helps private and public sector clients in Canberra, Australia and around the world deliver for their stakeholders while achieving compliance, promoting resilience and reducing, or eliminating, impacts and risks to our communities and our natural environment
You will manage and contribute to contamination assessments and remediation projects of varying size and complexity. With an uncompromising commitment to health and safety, client service and technical excellence, you will be an experienced environmental engineer or scientist, at ease communicating with clients, preparing reports, leading field work teams, liaising with subcontractors, , preparing tenders and promoting innovative solutions for your clients. You could be working on:
Contaminated Site Investigations
Remedial and site management planning
Remediation, surveillance and validation works
Waste classification and beneficial reuse assessments
Minimum Requirements
Solid experience in a consultancy environment, specifically project management of contaminated land assessment and remediation works
Technically strong in contaminated land issues and their management across a variety of media (soil, water etc.)
Experience in data management software (ESDAT / Gint), data validation and interpretation along with the preparation of environmental reports
H&S training including: First Aid, NSW Construction Induction, and preferably 24 or 40 hr HAZWOPER
Preferred Qualifications
Bachelor’s degree in an appropriate discipline such as environmental science, engineering, geology, or earth science
What We Offer
When you join AECOM, you become part of a company that is
pioneering the future . Our teams around the world are involved in some of the most cutting-edge and innovative projects and programs of our time, addressing the big challenges of today and shaping the built environment for generations to come. We ensure a workplace that encourages growth, flexibility and creativity, as well as a company culture that champions
inclusion, diversity and overall
employee well-being through programs supported by company leadership. Our
core values define who we are, how we act and what we aspire to, which comes down to not only
delivering a better world , but working to “make amazing happen” in each neighborhood, community and city we touch. As an Equal Opportunity Employer, we believe in each person’s potential, and we’ll help you reach yours."
3,Data Scientist,ANZ Banking Group,Australia,"Data Scientist
First a bit about ANZ:
At ANZ, everything we do boils down to ‘why’ – our purpose – to shape a world where people and communities thrive. We're just as focused on seeing our people thrive as well as our customers. We'll give you every opportunity to develop your career. We are responding faster to changing customer requirements, focusing on the things that matter the most, energising our people, eliminating waste and reducing bureaucracy.
ANZ has started to move to a new way of working, leveraging agile practices. To understand more about this new way of working and if this role is right for you, we strongly encourage you to take a look at The ANZ Way vimeo channel where you’ll find ‘The ANZ Way’ animation and the ‘New Ways of Working’ animation.
We’ve also got some great information about what it’s like to work in ‘Data@ANZ’ on our new LinkedIn Life page .
And now the role:
Data Scientist will be supporting the advanced analytics capabilities within Group Compliance. You will work with the team to ensure that priorities are delivered and contribute towards the creation of cross functional and agile team.
As a team member you will be required to build advanced data driven solution utilising descripting analysis and machine learning techniques to solve complex problems and generate sophisticated insights. This will be achieved through:
Developing strategic data driven solution utilising one or multiple supervised and unsupervised ML models.
Working closely with business sponsors and stakeholders and develop insights and strategies to address business problems
Understand business and data models; perform EDA and data profiling for feature engineering and work closely with other technical teams for implementation
Establish strong partnerships with Group Compliance teams and business leaders, delivering insights via visualisation and data storytelling
Embody the organisational commitments to the AGILE methodology through actions and approach.
As a member of the Risk Data Management and Analytics Team, you should be forward thinking, work collaboratively and inspire others to ensure a strong and mature compliance culture.
What will be in your toolkit?
Tertiary qualified and experience working as a data scientist or analytics/modelling role
Industry experience in machine learning model development and pipeline, tuning and deployment.
Good working knowledge of data preparation and manipulation
Solid understanding in underlying statistic and mathematic theory behind model used. (strong understanding in anomaly detection, NLP (BERT) are favourable.)
Strong programming experience with Python, R and SQL with the ability to articulate and demonstrate good coding practices
Able to deliver consistent and accurate and repeatable analysis. Presenting current trends and emerging issues to key stakeholders
Demonstrated effective deployment of models within a commercial environment with examples of improved performance, productivity, decision making and/or automation
Ability to work independently and as a part of a team to drive initiatives in an agile delivery environment
Continue to improve data science and business knowledge in operational risk and financial crime area.
What might a day in the life look like?
Address and solve complex business issues using large amounts of data
Define and deliver compliance and operational risk reports, analysis and insights to inform ANZ’s risk management decisions driving greater operating efficiencies and delivering greater value to ANZ and the compliance and operational risk function
Support the development of tools to enable the provision of actionable qualitative and quantitative insights on the end-to-end compliance and operational risk management framework
Drive improvements to operational risk and compliance data quality across ANZ.
Perform descriptive and predictive analysis using relevant machine learning techniques and languages (e.g. R, SQL)
Develop understanding of collected business data through investigation and discussion with business partners.
Analyse data and provide quality insight and actionable recommendations to support better decision making.
Monitor compliance and risk data capture & reporting processes, ways of working and outputs. Driving improvements that reduce the duplication, cost and effort related to compliance and operational risk data capture and reporting while increasing data and report quality, value and consistency.
Foster collaboration across teams, functions, regions and divisions using a range of influencing and negotiation strategies to establish mutually beneficial partnerships with key stakeholders.
Provide leadership and direction for direct and indirect reports where allocated, demonstrating personal commitment to coaching, mentoring and succession planning.
Ensure alignment and adherence to ANZ policies, processes and regulatory and legislative requirements.
At ANZ we aim to create an inclusive environment where employee differences such as gender, age, culture, disability, sexual orientation, family and caring responsibilities and religion are valued and supported.
We work flexibly at ANZ. Talk to us and let us know how this role can be flexible for you."
4,Data Scientist,Qantas Airways Limited,Sydney NSW,"Operations Research Specialist - Data Science – Pricing

Challenge yourself & add significant value to Qantas Group
At Qantas, our teams come together to create new and unique customer experiences
24-month fix term opportunity based at our Mascot Campus
The Qantas Group sits at the heart of the fast moving, challenging and exciting aviation and travel sector. Today, 35,000 people work in Australia and overseas across our airline, freight, catering, ground service and loyalty arms, driving our success and maintaining our position as a world class organisation. As we engage our next generation, we continue to look for the passion and commitment that have always set the Qantas Group apart. In this uniquely dynamic environment, you’re encouraged to embrace a challenge and build your experience every day.

As an Operational Research Specialist, you will be a thought leader in the research, development and deployment of forecasting and optimisation capabilities across the revenue management function. In this role, you will identify revenue improvement opportunities through the development of mathematical modelling and optimisation capabilities and translate modelling and optimisation capabilities to support revenue management decision making. You will play a key part in providing mathematical modelling and analysis capabilities to support critical decision making and applying structured and analytical thinking skills to solve complex problems.
You’ll have:
Tertiary-level education in a relevant discipline, such as data science, econometrics, engineering, mathematics, statistics or applied physics.
High level understanding of one or more core areas in data science or optimisation, such as building statistical models, machine learning and numerical optimisation.
Demonstrated experience in applying data science techniques to solve business and/or other applied problems.
Demonstrated experience in one or more of the following programming languages: python, C/C++ or shell script (e.g. bash).
Demonstrated ability to engage with end users and other stakeholders.
Demonstrated ability to learn new skills and technologies ‘on-the-job’.
Qantas is an Equal Opportunity Employer, so by coming to work for us, you’ll be part of an organisation that encourages diversity, supports charities and environmental initiatives. We encourage Aboriginal and Torres Strait Islander – and people from every other kind of background – to apply. We are committed to creating an inclusive workplace. Talk to us about how this job could be flexible for you.

Be a part of something special – get in touch today.
Applications close: 28th February"
5,Junior Data Scientist,Newgate Communications,Melbourne VIC 3000,"About the Business and the Role:
Are you a junior data scientist or analyst with strong numeracy, research and communication skills developed over 2-4 years of experience, and who is interested in current affairs and what drives opinion? Are you interested in finding the story in the data? Are you keen to understand what goes on behind the scenes of the main stories in the news?
Newgate Research is seeking a talented junior data scientist to join our team in Melbourne. We are a specialist market and social research firm that helps corporates, governments and industry associations understand and measure the views of the community and other stakeholders. We work on issues, reputation and identifying the best ways for our clients to communicate and engage. Our findings help clients identify ways to shift knowledge, attitudes and behaviour and make decisions on the basis of objective fact and not gut feel or assumption.

Newgate Research is part of Newgate Communications, a strategic communications advisory firm with 80+ staff with offices in Sydney, Melbourne, Canberra, Brisbane and Perth. Newgate Communications works across public affairs, corporate communications, financial communications, stakeholder and community engagement and digital engagement.
Newgate Research uses a broad range of methodologies – from the traditional to the more innovative – including focus groups, in-depth interviews, deliberative forums, online communities, telephone surveys and online surveys. It was the 2016 Research Industry Council of Australia's Employer of the Year.

The role is based in Melbourne and is suitable for a recent university graduate with a degree in a relevant area such as market or social research, computer sciences, the hard or soft sciences (e.g. biology, physics psychology etc,.) or similar. You will have a sound level of understanding in statistics and analytical approaches to complex data sets.

This role will assist the Data Scientist and broader Newgate Research and Newgate Digital teams in design, analysis and reporting tasks related to data gathered from online networks and market and social research. The outputs will be used to inform strategic communications advice to clients. More broadly they will assist in driving innovation within Newgate Australia.
On the job training and professional development opportunities will be provided. You will have a mentor to guide you for questions and career planning and a team of experienced people around you to leverage off their knowledge and experience. We work collaboratively in teams, both within the research business and cross teams with the communications consultants. The role brings opportunities to learn, grow, develop and contribute to meaningful work within a high performing team environment.

Specific responsibilities will include:
Assisting with coordination of quantitative research projects, including project design, data analysis and reporting;
Assisting with preparation of new business proposals and tenders;
Assisting in the monitoring of industry developments and encouraging innovation within the business;
Assisting in new business development and/or development of new business lines; and
Playing a supporting role in the Analytics function, helping train other staff in advanced analytical methods and providing support in analytics tasks.

The ideal candidate will:
Be a self-starter who is comfortable working in a fast-paced consultancy environment;
Be well organised and have strong attention to detail;
Be a good team player;
Have strong writing and communications skills, particularly through explaining complex quantitative concepts to individuals unfamiliar to the domain;
Be available for qualitative research events on some evenings and for occasional interstate travel;
Have expertise in the full Microsoft Office suite, as well as in programming languages (such as SQL, R, Python, SAS etc.); and
Ideally have working knowledge of exposure to statistical software programs such as Q, SPSS or similar (training can be provided).

The position is available immediately and applicants should apply with their details, covering letter and a brief resume outlining why they are interested in this role and what they believe they can offer Newgate Research."
6,Azendian - Data Scientist,TechSkills Accelerator,Australia,"We’re looking for a suitable individual to join us as Senior Consultant in our Analytics Practice. The successful candidate will be part of the team responsible to lead the design, development and deployment of analytics solutions. These solutions may be in the areas of structured or unstructured data. Depending on your area(s) of professional competencies, you will be developing predictive, forecasting or operation research (optimisation) models as part of a larger effort. You may also be involved in text mining and network analytics solutions.
He / She must be:
In terms of experience, the successful candidate must:
Have minimum 3 – 5 years’ experience in analytics model development
Have experience in applying analytics in the following areas: Human Capital (attrition prediction, performance management, workforce optimisation, etc), Sales & Marketing (behavior segmentation and profile, propensity modeling, campaign optimisation, marketing optimisation, etc), Finance and operations (sales or demand forecast, inventory optimisation, logistic optimisation, equipment predictive maintenance, contact center analytics, etc), Risk and non-compliance (procurement non-compliance, fraud, event and behavior detection and prediction) and various industries – government, healthcare, transportation, logistics
Be someone who loves working with numbers and problem solving
Have experience using statistical modeling and data mining techniques (utilizing R, Python, SAS or SPSS)
Be able to develop SQL queries and working with data models.
Have the ability to evaluate and validate model performances.
Preferably have experience to be a project manager of small scale project or team lead within a mega
project.
Have a minimum Degree in Statistics, Computer Science or other analytical field preferred.
Job Scope(s):
Consolidation and preparation of data, as well as verifying the quality of data.
End-to-end development of analytical models in SPSS, SAS, R, Python (or similar products).
Participate in internal and end user testing and gather feedback to improve the solution.
Developing analytical models in SPSS, SAS, R, Python (or similar products)
Working with team to develop proposal
Design, develop and deploy analytics models
Provide guidance to junior team members,
Manage project modules assigned to them, and
Collaborate with all stakeholders, internal and external."
7,Junior Data Analyst/Scientist,International Institute of Data & Analytics,Sydney NSW,"The International Institute of Data & Analytics (IDA) is a not-for-profit hi-tech organization with foci on data science and big data analytics innovation, education and training, and commercialization and services. IDA offers unique experiences and engagement models for bridging the gaps between academia and business, enabling industry and government `easy to do business with’ leading scientists and specialists in data & analytics, and building a platform for engagements and collaborations between outstanding researchers, practitioners and educators.
In data science and big data analytics, the IDA creates enablers for:
Leading the field of data science and analytics innovation, training and services by building think-tank and thought leadership, and next-generation of data scientists and professionals;
transforming excellent research and innovation outcomes to actionable data science and analytics systems, tools, services and training for industry innovation and transformation; and
building a flexible and engaging culture and platform to connect local, regional and global resources in data & analytics research and business towards developing world-class centre of excellence and research networks.
You shall find the IDA team very self-motivated, high standard and forward thinking focused, and highly hands-on.
Responsibilities
Collaborate with team leader and senior data scientists, as well as clients and internal stakeholders to understand and document their business requirements, problems and objectives.
Understand data structures and business and extract and integrate required data sources for analysis according to business requirements.
Develop and evaluate data analytics models, algorithms, systems and solutions, including undertaking data extraction, pre-processing, modeling, evaluation, deployment, and maintenance.
Collaborate with senior data scientists and team leader and clients to productise and pilot analytical models for production and insight per clients required.
Undertake cost-benefit, forecasting and impact analysis by effective presentations of data-driven findings to clients and stakeholders.
Document and communicate all relevant work and work outcomes.


Qualifications
Solid background, knowledge and capabilities in statistics, mathematics, computer science, informatics, computing, or closely relevant scientific field.
Experienced in data-driven analytics hands-on experience with deep know-how of predictive modeling, machine learning and data mining, and relevant modeling approaches and algorithms.
Demonstrated capabilities to develop and evaluate statistical analysis and modeling algorithms and apply these algorithms for data-driven solutions to problems in new domains.
Demonstrated knowledge of SQL (data extraction and manipulation), expertise in SAS programming, and software development skills in one to several scripting languages (Python/R).
Demonstrated capabilities to communicate and engage with a range of stakeholder groups and technical project teams.
Demonstrated capabilities to work effectively as a member of a data science project team.
Demonstrated experience for independent problem-solving and self-motivated innovation, education and services.
Contact: Jinjiu.Li@idawise.com"
8,Data Scientist,The University of Queensland,Brisbane QLD,"also involves the publication of outcomes in high-quality outlets and contributing to the education of undergraduate and postgraduate researchers in machine learning methodologies.
The person will be working closely with the Institute for Social Science Research (ISSR) and will be supervised jointly by ISSR.
Our Ideal Candidate
The successful candidate will have a PhD in Mathematics, Statistics, Computer Science or Economics, or other relevant discipline with a strong computational or statistical component. The appointee will be an expert in machine learning, data science and research in data related sciences, knowledge of computational science approaches, experience with administrative or health databases and evidence of excellence in contribution to research through high quality publications.
You will have excellent communications skills and an ability to establish effective relationships to represent and promote academic discipline at a university and wider community level including industry, government and professional bodies.
It is a condition of employment for this role that you will be required to provide evidence of immunisation against certain vaccine preventable diseases.
You must have ongoing unrestricted work rights in Australia to apply for this opportunity.
We value diversity and inclusion, and actively encourage applications from those who bring diversity to the University. Our Diversity and Inclusion webpage contains further information if you require additional support. Accessibility requirements and/or adjustments can be directed to recruitment@uq.edu.au.
What We Can Offer
This is a full-time, fixed term position at Academic level A or B (depending on the applicant's experience). The full-time equivalent base salary will be in the range of:
Academic Level A: $69,342 - $92,782 plus super of up to 17%.
Academic Level B: $97,590 - $115,888 plus super of up to 17%.
For further information, please review The University of Queensland's Enterprise Bargaining Agreement 2018-2021.
Position Description
PD_Data Scientist_509428.doc
Questions?
To discuss this role please contact A/Professor Kirsten Gibbons on email: kristen.gibbons@mater.uq.edu.au
Want to Apply?
To submit an application for this role, use the APPLY NOW button below. All applicants must supply the following documents:
Cover letter
Resume
Responses to the Selection Criteria"
9,Data Scientist,Metigy,North Sydney NSW,"Engineering, Data, Data Engineering, Data Science, Data Analyst, Analyst in North Sydney, Australia
What we’re looking for:
We are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analysing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimisation and using models to test the effectiveness of different courses of action. They must have experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations.
Working as part of a growing engineering team who designs, develops and delivers all the solutions for Metigy, you will be someone who loves finding patterns and discovering solutions amidst large data sets. You will also be passionate about user behaviour and product growth. You will have the ability to drive business results with your data-based insights and you will be comfortable working with a wide range of stakeholders and functional teams.
Who we are:
Metigy is all about making the challenging and time-consuming parts of the marketing process, easy and fun!
We have created the world’s leading AI marketing platform, to assist marketers and SMB’s to create their own marketing strategies. The platform integrates with the leading social media platforms, Facebook, LinkedIn, Twitter, Google, and provides intelligent insights, actionable ideas, trending conversations, objective settings, competitor & influence tracking, and automated reporting. This allows marketers to focus on creating and implementing effective marketing campaigns that really work. Metigy uses AI to power brand strategy and interactive learning so marketers can market like a master and reach their goals.
This is an exciting time to join Metigy as we are growing really quickly! This means that there are lots of opportunities for you to have an influence and impact on the business. We aim to have a positive impact on the day to day work of our people, customers and environment.
What you will do:
Work closely with the Metigy engineering team, founders and wider team to deliver high-quality solutions for Metigy clients
Work with stakeholders throughout the Metigy business to identify opportunities for leveraging company data to drive business solutions
Mine and analyse data from company databases to drive optimisation and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques
Develop custom data models and algorithms to apply to data sets
Use predictive modeling to increase and optimise customer experiences, revenue generation, ad targeting and other business outcomes
Develop company A/B testing framework and test model quality
Coordinate with different functional teams to implement models and monitor outcomes
Develop processes and tools to monitor and analyse model performance and data accuracy.
What we’re looking for in you:
A masters or PhD degree in Mathematics, Computer Science, Information Technology, and or Statistics
Experience using computer languages Python, Node JS, and MySQL, to manipulate data and draw insights from large data sets
Experience with the Snowflake, TensorFlow, Jupyter Notebook, AWS / Cloud stack, Sagemaker, S3, Spark
Experience working with and creating data architectures
Experience manipulating data sets and building statistical models and is familiar using software/tools: Python SQL, Spark, javaScript
Experience creating and testing complex machine learning models (e.g. Deep Learning, Neural Network, Clustering algorithms, Boosting algorithms, Text Analysis, Regression models)
Experience analysing free-form text using NLP solutions.
Experience analysing data from 3rd party providers; Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc
Knowledge of advanced JavaScript libraries and frameworks, such as Vue.js and React
Experience visualising and presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, seaborn, etc.
Experience in the digital marketing industry
Experience deploying models in docker containers
Excellent written and verbal communication skills for coordinating across teams
Curiosity, empathy, an ability to work unsupervised but also a team player
How to Apply:
If you like the sound of this role, please click on the “Apply Now” button on the right, to submit an application and CV. You can find out more about Metigy on:
The Forward Thinking Podcast: An award-winning marketing podcast about Marketing by Marketers & Metigy
Metigy Blog: an excellent resource of News & Announcements, Product updates and Awards!
Metigy Learning: Join the world’s leading community of Forward Thinking SMB Marketers

Strictly No Recruiters"
