,Job_title,Company_name,Locations,Summary
0,Software Developer,Fortix,Perth WA 6000,"Hi, my name is Paul Faix and back in 2004 I started a multi award winning company Fortix. We have developed an end to end business management platform that is personalised for our valued clients. Most of our amazing clients are market leaders in their industries and relying on Fortix to help them grow.
For over 15 years I've been working with developers to create our product which we named Fortix Freedom. Being an engineer myself I can understand that it takes time to write a great code. I also learnt that our people love flexibility as of how, when and where they work.
Hence the reason I've never canceled anyone's leave requests or holiday plans. In fact quite opposite - I love when our people take rest and enjoy life without the screen. Our developers love hiking, rock-climbing, diving or just relaxing on the beach.
And here is the reason why it works for us:
We work on a single product and relentlessly pursue perfection. All value we create in our product we release to all our clients. So your engineering excellence directly adds value to our clients and our platform at the same time. A very different approach as the one of the time propositions where everyone is trying to save project time pushing you to do miracles overnight. Sounds familiar?
We allow a significant amount of time for engineers to pick work they would love to do on the platform. Only they can see what needs to be improved and changed so we give them plenty of opportunities to do that. Also we have roadmap driven development - you will be invited to contribute to the roadmap as well.
I know that it is not easy to leave the current work. So here is the deal.
I will make it easier. Forget all the HR departments selections - just send me a confidential email that you are considering working with us. I will send you job details and we can meet after hours to check your tech skills. Don't worry you don't have to be a rocket scientist to apply. If you have solid experience and passion for PHP programming and MySQL this could be the job for you.
We have it all ready for you to join us - work environment, place at our funky CBD office, senior engineer to guide you and help you get up and running quickly. Our collaborative culture is to support one another and your success will be our success.
You will be working as a project engineer supported by our long term team of core platform engineers. There will be plenty of help if you need it. You will be working on integration of 3rd party products using API's, rewriting legacy code, developing cool new features and many other exciting jobs.
One of the best feedbacks I've received from one of our long term employees was that each year it feels like he is working for another business - there is always something new to learn and explore.
Our business vision is set for the next decade. Becoming the best personalised platform for Small Business (SME’s) gives you plenty of amazing opportunities for growth and learning of new cutting edge technologies such as AI and machine learning.
If you ask me why I love my work I would tell you that it is because of my team and the amazing work they do. Our clients love us too. We enjoy a 5 star rating on Google and our business is growing. But my greatest achievement is never missing paying salary on time during the last 15 years. Perhaps one of many reasons best people are working with me for 10+ years.
Thank you for taking time to read the Fortix story. Now over to you. Help us to write the next chapter.
Let's have a chat.
PS: Need a sponsor? I've sponsored a number of people in the past. If you need help with sponsorship we can talk about it too.
Job Types: Full-time, Permanent
Salary: $80,000.00 to $99,000.00 /year
Experience:
software development: 3 years (Required)
Location:
Perth WA 6000 (Preferred)
Work Eligibility:
The candidate can work permanently with no restriction on hours (Preferred)"
1,CNC Machining Engineer - Supervisor,TMC Global Jobs Ltd,Brisbane QLD,"Our client, a leading Global Aerospace Parts Manufacturer, as part of an expansion to their Australian Operations, have openings for 3 skilled CNC Machining Supervisors for their state of the art facilities in Brisbane: -
Job Requirements
To Supervise and Oversee : -
The set up and operation of 5 axis CNC machines (Mazatron / Catia), mainly on items for the aerospace industry.
The writing programs for parts & tooling Producing engineering drawings Operation of CNC machinery to produce parts specified by client contracts
Monitoring and being responsible for each component produced by the machine
Inspecting and signing off each day's output
Learning new programming techniques and attending training courses where required
Liaising with the senior CNC Programmer to optimise workflow Reading and interpreting engineering drawings
Experience
Minimum of 5+ years Supervisiory experience in a CNC Organisation (preferably Aerospace of Car Manufacturing)
Experience using Solidcam, Solidworks & Catia V5
Experience operating 5 axis Maka CNC machines & Mazak CNC but not essential.
Experience of Programming using BWO/ISO code
Understanding and interpreting technical/engineering drawings essential
Good team worker, reliable and adaptable
Versatility and willingness to adapt Knowledge of aerospace related products & companies desirable but not essential.
Self-motivated, self-disciplined and having the ability to work to tight deadlines, including some late working.
A spirit of openness and cooperation; an individual who will boost the relationships and networks within the company
Good attention to detail; maintaining our high standards for delivery, quality & accuracy
Candidates from an Automotive / Aerospace / Technical Manufacturing Backgrounds would be desirable.
Benefits
The employer has a history of sponsoring International Applicants, and is offering the TSS / 482 Visa. Salary will be dependant on experience but it is anticipated that with O/T they will be circa $85,000 plus.
Interviews will be happening locally by telephone and internationally by Skype over the next few weeks, with a start date asap dependant on Visa Processing
482 Visa (TSS) Sponsorship
Whilst our client's preference would be to hire either locally based Australian or New Zealand Citizens, or those International Candidates already holding a Permanent Residency Visa, our client additionally is a registered sponsor of International Workers under the 482 Visa Program.
If you would like to be considered under a 482 Sponsorship you will require the following under Department of Home Affairs Immigration Requiments: -
Hold a Recognised International Trade Qualification in CNC Machining / CAD Programming (Red Seal, City and Guilds, FETAC etc)
To Hold, or be able to pass a Cert III Trade Assessment (Vetassess or other recognised body) for the Visa application if you are from a country requiring such
Hold an IELTS English Test Certificate (5.0 Minimum in all 4 sections), or be a citizen of UK, Ireland, USA, Canada, or New Zealand (who are exempt)
Be in a financial position to support your application, and associated costs
Be able to move to Australia as soon as your Visa is granted (preferred)
UK & IRISH INTERVIEWS.
Whilst applications are welcomed from all Nationalities (subject to fluency in English), there will be face-to-face interviews in the UK and Ireland over the next 4 weeks. All other interviews will be by Video Conference or Telephone.
If you are interested please apply as soon as possible as it is anticipated that demand will be high.
By applying to this position, you are confirming that you consent to the retention of your personal data. Any data you supply will be only used for recruitment purposes and will be stored securely in accordance with our Privacy Policy.
It will be treated as confidential, and will not be transferred to any third party, or to any other jurisdiction without your consent. We may like to keep your details to contact you again if a similar vacancy arises. We will not hold any data for any longer than is necessary for us to fulfil our obligations and will remove any data after 12 weeks if we have no response from you
Reference ID: MN55221
Job Types: Full-time, Permanent
Salary: $75,000.00 to $95,000.00 /year
Work Eligibility:
No work eligibility is required, I am willing to sponsor the right candidate (e.g. visa) (Preferred)"
2,Machine Learning Engineer,Insurance Australia Group,Darlinghurst NSW 2010,"#Closer #Braver #Faster

The Role


At IAG, our purpose is to make your world a safer place. We are customer led and data driven and believe we have important responsibilities to enable the communities and people we service to be safer, stronger and more confident; Ambiata is part of IAG, subsidiary under Customer Labs Analytics Stream.
In order to deliver on this purpose, we expect our people to demonstrate the IAG Spirit, take reasonable care for their Health & Safety and to celebrate and respect diversity in all its forms.

Ambiata is a Sydney-based data science company which provides large-scale data-processing pipelines for machine learning applications. We work in a challenging and complex field, bringing machine learning and data processing together at scale.

We are looking for an expert machine learning engineer who possesses a strong understanding of Bayesian statistics, has deep experience of designing and building machine learning pipelines and is proficient with Python.

Your role will be to help us build algorithms, tools and systems to help extract meaning from our clients’ data. We have a particular focus on extracting causal relationships by combining experimental design with advanced learning algorithms, and you will implement systems to enable this, bringing algorithms from exploration and evaluation through to production. You will be expected to stay up-to-date with the latest developments in the field, including considering the ethical implications of our work in partnership with the Gradient Institute.

Key Responsibilities


As a machine learning engineer, you'll need to:
have a broad understanding of machine learning algorithms and approaches, and how they are implemented in some current machine learning tools;
have good mathematical skills, in order to understand and work with the statistical methods and algorithms we are using to understand customer behaviour;
be able to collaborate with data engineers to build data and model pipelines and systems;
demonstrate end-to-end understanding of applications (including, but not limited to, the machine learning algorithms) being created;
build algorithms based on statistical modelling procedures and build and maintain scalable machine learning solutions in production;
contribute to the creation of novel machine learning solutions to unique client problems;
research and implement best practices to improve the existing machine learning infrastructure; and
liaise with stakeholders to analyse business problems, clarify requirements and define the scope of the resolution needed; and provide support to other engineers and product managers in implementing machine learning in our products

Technical Skills

Advanced mathematics skills with Bayesian statistics;
Programming proficiency in Python with broad exposure to Java, Scala or C;
Usage and deployment experience of Machine Learning frameworks such as TensorFlow, PyTorch, scikit-learn, ML4J;
Knowledge of Apache Spark, Apache Kafka or other distributed computing systems;
Strong written and verbal communications;
Knowledge of Docker and Kubernetes; and
Experience with at least one cloud provider AWS, GCP and/or Azure.

Qualifications, Skills & Experience

Extensive experience with the design & build of ML Pipelines
Strong analytical and problem-solving skills;
Open to self-learn new technologies and plug them in delivering quicker, faster & cost- effective solutions;
Experience with agile development;
Ability to operate autonomously; and Good communication skills, both written and verbal.
Advanced degree in Computer Science, Mathematics, Statistics or a related discipline, or equivalent industry experience.

About Us


At IAG, we believe that everyone has a unique point of view to share, shaped by their life experiences, cultures & passions. We celebrate and commit to:


#Proud to be me – we value difference, not sameness
#Together – harnessing our collective wisdom enables us to be our best for our customers & each other
#No boxes – it’s not about labels, boxes or categories. It’s about building a diverse and inclusive mindset into everything we do


IAG is the largest general insurance group in Australia and New Zealand. IAG owns some of the region’s most trusted brands, including NRMA Insurance, CGU, SGIO, SGIC and WFI.

Let’s Talk


In addition to a diverse and inclusive culture, some of our benefits include 13% superannuation, 50% insurance discounts, flexible work and leave options, generous parental leave and return to work program, recognition and reward program, and various corporate partner discounts.


We encourage Aboriginal and Torres Strait Islanders to apply for this position.
#LI-JC1
#LI-AU"
3,Software Engineer - Data and Machine Learning,Foxtel,North Ryde NSW,"SOFTWARE ENGINEER - DATA AND MACHINE LEARNING
Apply now
Job no: 495163
Work type: Full time
Location: North Ryde
Categories: Analytics & Insights
As part of our Data and Analytics team you will work on building and scaling our Big Data and Machine Learning capability across Foxtel.
This is an exciting role that will give you a wide range of problems to work on from data processing at massive scale to application development to machine learning automation to data commercialisation and much more.
This role sits within the Finance and Corporate group reporting to the Engineering Lead – Machine Learning and Cloud. The role will work closely with several key areas across the business to ensure successful delivery of high-quality data and machine learning assets and infrastructure.

Your mission
Deliver on and contribute to the roadmap for Data Engineering and Machine Learning Engineering across Foxtel
Implement best practices across the entire engineering lifecycle
Continually improve processes within technology and the business


Your capability
Strong software engineering knowledge: data structures + algorithms, especially applied to big data technologies
Experience building end to end production grade big data pipelines in a cloud environment (GCP or AWS preferred)
Knowledge of streaming technologies (Kafka / Pubsub / Kinesis etc)
Detailed knowledge of big data storage options and their trade-offs (object storage, data warehouse, NoSQL etc)
Domain knowledge of data science workflows (end to end ML modelling)
Experience building or working with machine learning feature stores and/or model stores
Experience building or using ML monitoring tools
Knowledge of various classes of ML algorithms, techniques and packages
Excellent collaboration skills in cross functional teams with the ability to communicate to both technical and non-technical audiences
Strong Scala, Python and SQL knowledge, functional programming experience highly regarded
Devops experience CI/CD, infrastructure as code


Working for Foxtel

Foxtel’s purpose is to bring home Australia’s most valued entertainment experience. Whether it’s a blockbuster sports match, a must-see reality episode, an election special, the newest hit movie or the most ambitious drama, Foxtel brings together the best of TV and on demand for our customers.

Working at Foxtel means being part of something different, better, special. We put our customers first, we own it, we’re authentic, we focus on changing the game, and we win together.

What’s in it for you?

We have a benefits program with something for everyone, but we’re in the entertainment business, so what would a Foxtel benefits program be without a free Foxtel subscription and discounted broadband!

Above all, we’re passionate about entertainment and, if you are too, you’ll love working with us. So if you’re excited about this opportunity, please click ‘Apply now’.
A note to recruitment agencies - we have this role covered. There is no need to get in touch, we do not accept unsolicited agency resumes and we are not responsible for any fees related to unsolicited resumes.
Advertised: 25 Oct 2019 AUS Eastern Daylight Time
Applications close: 28 Feb 2020 AUS Eastern Daylight Time
Back to search results Apply now
|"
4,Data Scientist - NLP/ Machine Learning/Artificial Intelligence,Oracle,Melbourne VIC,"Data Scientist - NLP/ Machine Learning/Artificial Intelligence-20000390

Preferred Qualifications

Principal Member of Technical Staff - Digital Assistant and Bots Platform Team

We are a newly formed group within Oracle creating innovative products that leverage the power of AI and Machine Learning to bring world-class natural language capabilities to Oracle’s Digital Assistant platform. We are like a start-up inside a large company with a big charter and a lot of creative freedom. We have assembled some of the smartest people in the industry and are growing this team.

If you are looking for an exciting new opportunity as a data scientist to help solve difficult problems, be creative, create success for customers, and engage with the product team to do some innovative research and development, please review our profile.


We are looking for someone who is:

Experienced with Machine Learning and AI especially deep learning models.
Experienced with deep learning frameworks such as TensorFlow or PyTorch.
Experienced with Conversational AI / Chatbots and/or Digital Assistants, including having developed a Chatbot or similar Digital Assistant is a plus.
Ph.D. degree in computer science on natural language processing, speech processing is preferred but not a must. A strong publication record is a plus.
Possesses excellent communication skills with an ability to explain and write specifications that embody complex concepts to stakeholders within the team.
Eager to work on a highly sellable, performance optimized infrastructure which elastically handles customer needs.
Able to adapt to a fast-paced work environment and can quickly adjust to changing priorities.
Detail oriented with a focus on quality of the product, data, and code.
An experienced engineer with 3+ years of professional development in Java, C#, C++ or Python. Java and Python preferred. JavaScript, Node.js, HTML/CSS and Mobile development on Android/iOS is a plus.

Detailed Description and Job Requirements
Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.

As a member of the software engineering division, you will take an active role in the definition and evolution of standard practices and procedures. You will be responsible for defining and developing software for tasks associated with the developing, designing and debugging of software applications or operating systems.

Work is non-routine and very complex, involving the application of advanced technical/business skills in area of specialization. Leading contributor individually and as a team member, providing direction and mentoring to others. BS or MS degree or equivalent experience relevant to functional area. 7 years of software engineering or related experience."
5,IT Engineer (Intern) - Australia,Cisco Systems,St Leonards NSW,"Start: July 2020
Duration: 6 months - July - Jan
What You’ll Do
Our software engineers are the gurus behind the scenes ensuring our all of our programs are easy to use and bug free. Using a keen eye, you’ll develop software and tools in support of many of our high-impact technology platforms such as operating systems, networks, databases and more. While we’re growing in the software business, you’ll still need to see the big picture and watch for hardware compatibility while even potentially influencing design.
Unsure where to start? Apply and explore all of the possibilities in: Applications Development, Database Development, Embedded Networking and OS Development, IT, Security, Test & Quality, Web Services, etc.
How You Can Stand Out You are in excellent academic standing while pursuing a bachelor’s degree in Computer Science, Computer Engineering, Electrical Engineering, or a related major such as Math, Physics You’re hungry to get your hands on new, exciting technologies and have a deep understanding of the fundamentals of computer science and engineering Up-to-date on programming and scripting languages You can tackle problems with ease and take a creative approach in debugging programs Excited to work on an extended team and can expertly collaborate with others Can be succinct and to the point using verbal and written skills
Who You’ll Work With
Our team of software gurus are busy programming magic across the globe on teams such as Engineering, Information Technology, Supply Chain, Customer Experience, Security and Trust, etc.
You would play a crucial role in driving next-gen software innovations including cloud, mobile, desktop or security spaces. On any of these teams, you'll get hands-on experience working with applications that make technology accessible no matter what device they’re on. See the possibilities when creativity meets design and build solutions which will transform how we work, live, learn, and play.

Why Cisco
#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.
We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. A blockchain company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!
But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)
Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.
So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!"
6,Lead Software Engineer (Machine Learning),ResMed,Sydney NSW,"Digital Health Technology team powers digital experiences and engagement to enhance the lives of millions of people every day through connected care. We build, deliver and manage a portfolio of data management platforms and mobile offerings in support of our core businesses. We thrive on simple and elegant architecture and agility. You’ll be immersed in a dynamic high-growth environment and empowered to excel, take informed risks, and drive ingenuity across the enterprise.
We are looking for a Lead Software Engineer who has experience in Machine Learning (ML) to be part of the Test Engineering team.
Reporting directly to Test Engineering – DHT Manager, you will be a natural problem solver with a passion to drive quality of the DHT products.
As a Lead Software Engineer with developer and ML knowledge, you will be an enthusiastic self-starter who can think outside the box and possess the mental agility to make an impact within your role quickly. You will be able to show the ability to learn fast and to work effectively within the team environment.
Let's talk about Responsibilities
From idea to production! This role is responsible for leading and performing software development, design and testing to support the testing activities in the DHT web, mobile and cloud applications. It also encompasses working with global Product Development (PD) teams in Sydney, San Diego, Halifax, and Kyiv. These applications are designed for clinicians involved in the care and management of patients with obstructive sleep apnea and respiratory disorders.
To succeed in this role, you will have demonstrable experience in performing the following responsibilities in a fast-paced environment:
Apply software development skills/techniques and ML knowledge to the design and development of high quality and scalable test automation solutions.
Enhance tools/applications for the current test automation framework by applying innovative state-of-the-art software development frameworks and data science solutions.
Propose, define and implement processes and solutions for improved software development.
Lead collaborative design reviews and perform test code inspections leading to application optimisation.
Formulate hypotheses, conduct experiments, and propose recommendations for continuous advancements of the test automation framework.
Build strong technical expertise and engineering leadership within the development teams and actively support their growth .
Let’s talk Qualifications and Experience
Computer Science, Engineering or Science degree or relevant educational background.
Someone with a software developer background is preferred.
Strong experience of core Java language, Spring framework, microservices, and web APIs.
Experience with cloud services, such as Google Cloud AI and AWS.
Programing experience using Python, Swift, or R.
Exposure to Angular, Spring Boot, JBoss and relational & non-relational databases (MongoDB and SQL Server are highly desirable).
Knowledge in Machine Learning methodologies with hands-on experiences, such as classifications, regressions, forecasts, and unsupervised learning is highly regarded.
#LI-IB1
Joining us is more than saying “yes” to making the world a healthier place. It’s discovering a career that’s challenging, supportive and inspiring. Where a culture driven by excellence helps you not only meet your goals, but also create new ones. We focus on creating a diverse and inclusive culture, encouraging individual expression in the workplace and thrive on the innovative ideas this generates. If this sounds like the workplace for you, apply now!"
7,Executive Level 1 (S&T level 5) - Machine Learning Specialist,Australian Government Department of Defence,Edinburgh SA,"$101,955 - $115,005 (plus super)
Edinburgh, SA
Work collaboratively as part of a cutting-edge internationally awarded team in the area of Machine Learning & Artificial Neural Networks
Design and develop awe-inspiring software systems
Conduct research into challenging machine learning problems

About the role:
We are looking for a suitably experienced and motivated machine learning researcher with a keen interest in target detection and recognition problems in imaging sensor data for Intelligence, Surveillance & Reconnaissance (ISR) applications. In this position you will further develop technical skills that are currently in very high demand around the world.

You will:
Enjoy designing and developing complex software systems;
Undertake research addressing the problem of training Artificial Neural Network techniques to detect targets of interest using limited training data and data generated from 3D CAD models;
Work with a research team with the aim to enable computer vision techniques to one day come close to emulating human intelligence; and
Work collaboratively with international partners, universities and industry to develop target detection and recognition algorithms in imagery using the latest techniques in Machine Learning and Artificial Neural Network.

Skills & Experience:
Sound knowledge and experience in computer vision or image processing or pattern recognition techniques;
Good communication skills; and
Ability to work collaboratively with a wide range of stakeholders.



Key Result Areas:
The performance of deep/machine-learning methods for object recognition and tracking is largely determined by the breadth and depth of the training regime. This position involves the development of:


Tools and procedures to streamline the training process and manage the training data;
Techniques to optimize performance and improve the robustness/scalability/flexibility of the training process;
New network topologies for improved invariance; and
Classical computer vision/image processing/pattern recognition.

The position also requires you to:
Collaborate with an embedded team of software engineers to see your research result in the creation of automation algorithms for image sensor data;
Be responsible for assisting in the transfer of developed algorithms into Operational form;
Communicate with and manage expectations of clients/partners in support of the overall program;
Be accountable for accurate completion of work within timeframes and quality requirements; and
Provide timely support to the goals of the overall program."
8,CSIRO Postdoc Machine Learning & Artificial Intelligence: Computer Vision for Feature Extraction,CSIRO,Canberra ACT,"The Opportunity
Do you have experience in Machine Learning and Artificial Intelligence?
Work with world class researchers to solve the world’s biggest challenges
Join CSIRO’s Data61, the largest data innovation group in Australia


CSIRO Early Research Career (CERC) Postdoctoral Fellowships provide opportunities to scientists and engineers who have completed their doctorate and have less than three years relevant postdoctoral work experience.
The Machine Learning and Artificial Intelligence Future Science Platform (MLAI FSP) will build an exciting new research portfolio to leverage CSIRO’s deep domain expertise and experience. It will explore questions such as: How do we use machine learning to augment a scientist’s ability to generate and learn from scientific data? What is the best way to include domain constraints (such as physical laws) and design constraints (such as privacy and fairness) into machine learning models? Where can we exploit genomic information in plant and animal breeding? Why is deep learning so effective in extracting meaningful features? Solving these types of challenges will open new vistas of scientific knowledge and positive impact.
Your duties will include:
Develop general methods for automating the analysis of domain specific imagery and video to, eg, address problems of lack of labelled data, integrating domain constraints, and enable discovery of anomalies in large scale datasets.
Implement these methods efficiently using programing tools such as PyTorch and TensorFlow.
Carrying out evaluation of the developed software to demonstrate its competitiveness and fitness for purpose. Taking responsibility for functionality, performance and robustness.
Carrying out high impact research of strategic importance to CSIRO, with the aim of achieving innovative and wide-reaching scientific outcomes and ideas for further research.

Location: Canberra, ACT | Eveleigh, Sydney | Pullenvale, QLD
Salary: AU$83k - AU$94k plus up to 15.4% superannuation
Tenure: Specified term of 3 years
Reference: 64975
To be considered you will need:
A doctorate (or will shortly satisfy the requirements of a PhD) in a Platform-relevant discipline area, such as computer vision, machine learning, artificial intelligence or computer science.
Please note: To be eligible for this role you must have no more than 3 years (or part time equivalent) of postdoctoral research experience.
A history of professional and respectful behaviours and attitudes in a collaborative environment.
Solid knowledge of computer vision and machine learning, and the ability to understand and develop mathematically-founded algorithms and their development in toolkits such as TensorFlow or PyTorch.
High level computational and programming skills (in Python or C++) to build computer vision/machine learning models and conduct analyses.
High level written and oral communication skills with the ability to effectively represent the research team internally and externally, including publishing in peer reviewed journals and/or authorship of scientific papers, reports, and presenting at national and/or international conferences.
A record of science innovation and creativity, including the ability & willingness to incorporate novel ideas and approaches into scientific investigations, preferably across diverse and inclusive teams.

For more information about this role please view the Position Description.
Eligibility
The successful applicant will be required to obtain and provide a National Police Check or equivalent.
Flexible Working Arrangements
We work flexibly at CSIRO, offering a range of options for how, when and where you work. Talk to us about how this role could be flexible for you. Balance
Diversity and Inclusion
We are working hard to recruit diverse people and ensure that all our people feel supported to do their best work and feel empowered to let their ideas flourish.
Diversity and Inclusion Strategy

We are committed to the safety and wellbeing of all children and young people.
About CSIRO
At CSIRO, Australia's national science agency, we solve the greatest challenges through innovative science and technology.

Join us and start creating tomorrow today!
How to Apply
Please apply on-line and provide a cover letter and CV that best demonstrate your motivation and ability to meet the requirments of this role.
Applications Close
Sunday, 8th March 2020 at 11.59pm AEST"
9,Machine Learning Engineer,Eliiza,Melbourne VIC,"We have a great opportunity for a Machine Learning Engineer to join a forward thinking team who apply Artificial Intelligence and Machine Learning to solve real world problems for our clients.

If you are a generalist Machine Learning Engineer who's not afraid to try new programming languages, can translate mathematical problems into technical solutions and has experience scaling technical solutions in cloud environments, then a career at Eliiza could be a great career move for you.

What a Eliiza can give to you:
Heavy investment in your learning and development. Currently our engineering team have deep expertise with machine learning frameworks and services like TensorFlow, Google Cloud ML, Kubeflow, AWS Sagemaker.
Work with members of our team on projects that will help you develop your ML skills
You'll get to work with some of the best Data Scientists and Engineers to deliver production-grade AI and Machine Learning systems as we deliver projects from inception to production
If you're the right Machine Learning Engineer for us, you'll have experience in:

Understanding the importance of CI/CD pipelines and how to set them up
Knowing what a well structured codebase looks like
Hands on experience with programming languages such as Java or Python
Interpreting mathematical challenges and translating them into technical solutions
How to find and evaluate the best tool for a range of different technical challenges
Our culture and values are key to everything we do, we don't have policies and procedures. We trust our employees to make good choices, communicate directly, make things better for all, be in it together and ultimately.. Love what you do!"
