,Job_title,Company_name,Locations,Summary
0,Data Scientist,Tenzing,"Wellington City, Wellington","We work with a diverse set of client across many different industries including some of Australasia's best-known organisations and as a result we are able to provide interesting and challenging opportunities for our consultants. We have a small, highly-skilled team that operates across Auckland, Wellington and Sydney. Due to high demand, we need to grow.
We are currently looking for experienced data scientists to join our Wellington team. You will have a passion for translating data into meaningful and clearly articulated analysis that creates transparency and surfaces new insights that can drive innovation and operational excellence.
We are looking for people with experience in:
Advanced techniques such as machine learning, artificial intelligence, statistical modelling techniques and data visualisation, while working with diverse data
Working in collaboration with business clients to quickly understand business problems and apply your skills to help solve them
Applying data science to problem domains such as customer segmentation, behavioural modelling, marketing optimisation, sentiment analysis, image recognition, causal analysis, credit risk, fraud prediction, or similar scenarios
Making your analysis tell a story to busy business executives in their language
Like us, you will be open-minded about the tools you use to do the job and be happy to use SAS, R, Python, PowerBI/Tableau or similar in your work. Ideally you will have had some exposure or experience using cloud-based tools and data and understand the additional challenges this brings.
You will be comfortable operating in an agile team environment and have experience using agile techniques and ceremonies.
You will have a tertiary qualification in maths, stats, computer science or similar disciplines, and have at least three years of data science work experience in a real-world setting.
Consulting experience is desirable and experience in industries such as banking, insurance, energy, telco or government is essential.
In return, you'll be joining a close-knit, diverse and professional team with exciting and challenging Projects. The role will be personally rewarding as you support transformational change in Australasia's top organisations. Our high-performing culture is second to none, while retaining the support and collegial environment that reflects our New Zealand owned heritage.
We offer competitive salaries to reflect your experience and provide comprehensive learning frameworks to ensure you reach your full potential. As well as a bonus component, we also offer the opportunity to opt for 5 or 6 weeks annual leave and provide other health related benefits.
If this sounds like you, we look forward to hearing from you!"
1,Graduate Data & Automation Analyst or Intern - Welllington,Stantec,"Wellington City, Wellington","17296BR
Requisition Number:
17296BR
Description:
Communities are fundamental. Whether around the corner or across the globe, they provide a foundation, a sense of place and of belonging. That's why at Stantec, we always design with community in mind .
We care about the communities we serve—because they're our communities too. We're designers, engineers, scientists, and project managers, innovating together at the intersection of community, creativity, and client relationships. Balancing these priorities results in projects that advance the quality of life in communities across the globe.
About the role:
We are looking for someone who will analyse data, create maps and design automated processes with the aid of GIS packages so that our projects are properly managed and achieve the right outcomes for our clients.
Day to day tasks would involve:
\tProducing maps, plans, reports and presentations
\tAnalysing and interpreting data
\tDeveloping and creating solutions to aid stakeholders, clients and other users
\tAssisting with the planning and co-ordination of projects to aid the project managers
\tAssisting with communication and development of ongoing contact with clients as required.
Title:
Graduate Data & Automation Analyst or Intern - Welllington
Qualifications:
To be successful for this role you'll need:
\tBachelor’s degree in Engineering, Science or Mathematics, Geography or Environmental Sciences is useful but not mandatory – an aptitude for computing, data and technology at NCEA level 2 or 3 is sufficient
\tA real interest in developing automated systems
\tCompetent in relevant technical fields, including use of software and computer systems
\tCompetent communicator (both written and verbal).
Job Category:
GIS
Preferred Specifications:
What we offer
Along with a competitive salary we offer many other benefits to ensure your professional development & wellbeing is ongoing.
\tLearning and Talent Development Programs including global programmes, online learning and on-the-job learning
\tMentoring for your own development
\tProfessional Memberships
\tHealth Insurance – Income Continuance Insurance (ICI) – Life Insurance
\tService Recognition Awards
\tEmployee Assistance Program
\tFlexible Working Arrangements
How to apply
Applications close on Sunday 8 March 2020.
To discuss in more detail contact Margaret McMeel 09 580 4502 or 027 544 2930 or apply directly online.
About Stantec:
The Stantec community unites approximately 22,000 employees working in over 400 locations across six continents. We collaborate across disciplines and industries to bring water, transport and infrastructure projects to life. Our work from initial project concept and planning through design, construction and commissioning is built on a nearly 200-year history. So, when we take on a project, we see the opportunity to make a lasting connection with the people and places where we live and work.
Location :
New Zealand-Wellington
Country:
New Zealand
State/Province:
Wellington
City:
Wellington"
2,Data Scientist,H2R Consulting,"Wellington City, Wellington","H2R Technology has an exciting, newly created role, in a well-known New Zealand brand who lead the market with their disruptive presence and Kiwi-centric personality. Our client believes in becoming a world leader and to do so believes in empowering their people and giving their employees a reason to belong by enabling growth and personal development. Our client is on a journey to gain a deep understanding of their customer’s behaviour and motivations to aid in delivering a world class customer experience. This is a newly created role to join an expanding team to support and strengthen a drive to harness and use data in more ways throughout the business.


The Role:
Working closely with the Data Solutions Manager, the new role of Data Scientist has been created to lead and expand the data product development. You’ll join a group of data specialists that will experiment and model data to help shape customer experiences through either insights or data driven products. This role requires someone with EXTENSIVE exposure to cloud technologies – specifically Azure would be preferred.

Responsibilities:
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions
Mine and analyse data from multiple sources to drive improvement of product development, marketing techniques and business strategies
Use predictive modelling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes
Develop company A/B testing framework and test model quality
Coordinate with different functional teams to implement models and monitor outcomes
Develop processes and tools to monitor and analyse model performance and data accuracy
Ensure data sets meet our data governance, security and privacy policies
Help lead the design and implementation of good practice approaches in the data science development lifecycle
Extend data with third party sources of information when needed
Conduct ad-hoc analysis and present results in a clear manner
Provide technical expertise within the Data Solutions team

Must Haves:
3+ years’ experience in a Data Science role
Extensive experience in cloud technologies – Azure Preferred
Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets
Knowledge of a variety of machine learning techniques
Exposure to data computing platforms and databases
Applied statistics skills, such as hypothesis testing (A/B testing) and understanding of probability distribution
Strong analytical mindset with the ability to solve complex data issues in a fast-paced environment

Candidates with a relevant and valid New Zealand Work Visa, Permanent Residency or New Zealand Citizenship will be considered for this role.

If you want to get on board with this journey and you have the experience listed above – then this is the role for you. Apply by sending your CV to Alex Allan – alex.allan@h2r.co.nz quoting “25401 – Data Scientist” in the subject line. Alternatively, you can apply using the button below. You can call me on (04) 499 9471 for more information."
3,Data Scientist,Cawthron Institute,Nelson,"Data Scientist – Coastal and Freshwater Group
Cawthron Institute’s Coastal and Freshwater Group is looking for a data scientist that is passionate about bio-physical data and is excited to infuse their data science expertise across our diverse teams to enhance the impact of our science.
As part of a developing data-science team you will be joining a vibrant, collaborative organisation that is highly engaged in applied research targeting some of our most pressing marine and freshwater resource issues and opportunities.
You will have a BSc, MSc or similar in a data-science or a bio-physical science discipline, with strong communication skills and interest in working within collaborative teams. You will have a passion for coding solutions to facilitate quality control, processing, and archiving of data. Ideally you will also have some experience in ‘data wrangling’ and unlocking the full potential of highly valuable bio-physical data sets.
This is an exciting opportunity for a highly creative and collaborative person to be part of a world-class team that prides itself on connecting science and society. The position is based in sunny Nelson at New Zealand’s largest independent research organisation.
Apply via the Cawthron website by 15 March 2020 address http://www.cawthron.org.nz/careers/

Position description"
4,Ocean Data Scientist,Cawthron,"Nelson, Nelson","Ocean Data Scientist - Coastal and Freshwater Group
Cawthron Institute’s Coastal and Freshwater Group is looking for a marine bio-physical scientist that is passionate about data and excited to integrate their data science expertise across a diverse range of topics - from aquatic health to managing marine ecosystems to enabling sustainable aquaculture.
As part of a developing data-science team you will be joining a vibrant, collaborative organisation highly engaged in applied research targeting some of our most pressing marine and freshwater resource issues and opportunities.
The ideal candidate will have a PhD in the marine sciences with at least two years of postdoctoral experience, with expertise and passion for coding solutions and statistical approaches to extracting knowledge from large complex datasets. The successful applicant will have strong interpersonal and communication skills and a proven track record in publishing and an established professional network.
This is an exciting opportunity for a highly creative and collaborative scientist to be part of a world-class team that prides itself on science excellence and enabling a better future by fostering a culture of innovation, promoting sustainable growth, and enhancing and protecting natural ecosystems. The position is based in sunny Nelson at New Zealand’s largest independent research organisation.
Apply via the Cawthron website by 15 March 2020 address http://www.cawthron.org.nz/careers/"
5,Data Scientist,Cawthron,"Nelson, Nelson","Data Scientist – Coastal and Freshwater Group
Cawthron Institute’s Coastal and Freshwater Group is looking for a data scientist that is passionate about bio-physical data and is excited to infuse their data science expertise across our diverse teams to enhance the impact of our science.
As part of a developing data-science team you will be joining a vibrant, collaborative organisation that is highly engaged in applied research targeting some of our most pressing marine and freshwater resource issues and opportunities.
You will have a BSc, MSc or similar in a data-science or a bio-physical science discipline, with strong communication skills and interest in working within collaborative teams. You will have a passion for coding solutions to facilitate quality control, processing, and archiving of data. Ideally you will also have some experience in ‘data wrangling’ and unlocking the full potential of highly valuable bio-physical data sets.
This is an exciting opportunity for a highly creative and collaborative person to be part of a world-class team that prides itself on connecting science and society. The position is based in sunny Nelson at New Zealand’s largest independent research organisation.
Apply via the Cawthron website by 15 March 2020 address http://www.cawthron.org.nz/careers/"
6,Data Scientist - Fixed Term Hire - Auckland,IBM,"Auckland City, Auckland","Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
Data Scientist
Auckland based role
Fixed Term Hire 12 months

Can you work magic with data without being befuddled by size, variety or structure?

Are you passionate about using or creating algorithms to unlock the value of information?
Do you eat predictive analytics, machine learning and artificial intelligence for lunch?
Then you must be someone we are looking for!

We are looking for a Data Scientist who will help us turn data into information and information into action.

You will be able to discover the treasure hidden in vast amounts of data and help us make smarter decisions to deliver even better products.

Your focus will be in applying data mining and data enrichment techniques, statistical analysis as well as building high quality prediction systems integrated with our products.

You will be proficient in applying machine learning and deep learning techniques, experienced in using commercial and open-source analytics tools and comfortable with taking a creative approach to tackle complex, abstract problems.

Your Key Responsibilities Will Be
Work with customers, partners and business units to understand their analytical information needs and develop analytical methods appropriate for the available data
Translate business problems into analytical problems and devise appropriate solutions that account for known technology and performance constraints
Develop suitable approaches for data cleaning and enrichment prior to and during analysis
Design and implement analysis methodologies that can be translated into solutions with available toolsets
Devise approaches to simplify complex, high-effort analytical computations to speed up data processing and algorithm performance
Design and document robust data-centric products and processes to support conducting analytics
Your Skills and Qualifications Will include
Relevant tertiary qualification (particularly Statistics, Mathematics, Applied Data Science, Economics, Computer Science, Engineering, or equivalent).
Strong technical skills in R, Python, SQL or related data science and data visualisation tools
Excellent understanding of machine learning techniques such as regression, classifiers and clustering methods
Familiar with deep learning methods to process high-dimensional and unstructured data and related toolkits such as Tensorflow
Good applied statistics skills, such as hypothesis testing and understanding of probability distributions
Understanding of NoSQL databases and distributed computing platforms e.g. Apache Spark
Proven working experience in technical writing of software documentation.
A high level of interpersonal skills and ability to collaborate

BENEFITS

Corporate Holidays. Sick leave. Family planning. Financial Guidance.
Training and Learning.

We continue to expand our benefits and programs, offering some of the best support, guidance and coverage for a diverse employee population.

Sign me up!

If you tick these boxes, and are ready to start your next challenge with a career at IBM – click “Apply” today. To find out more, head to www.ibm.com.au/careers

Required Technical and Professional Expertise
Your Skills and Qualifications Will include
Relevant tertiary qualification (particularly Statistics, Mathematics, Applied Data Science, Economics, Computer Science, Engineering, or equivalent).
Strong technical skills in R, Python, SQL or related data science and data visualisation tools
Excellent understanding of machine learning techniques such as regression, classifiers and clustering methods
Familiar with deep learning methods to process high-dimensional and unstructured data and related toolkits such as Tensorflow
Good applied statistics skills, such as hypothesis testing and understanding of probability distributions
Understanding of NoSQL databases and distributed computing platforms e.g. Apache Spark
Proven working experience in technical writing of software documentation.
A high level of interpersonal skills and ability to collaborate

Preferred Technical and Professional Expertise
Your Skills and Qualifications Will include
Relevant tertiary qualification (particularly Statistics, Mathematics, Applied Data Science, Economics, Computer Science, Engineering, or equivalent).
Strong technical skills in R, Python, SQL or related data science and data visualisation tools
Excellent understanding of machine learning techniques such as regression, classifiers and clustering methods
Familiar with deep learning methods to process high-dimensional and unstructured data and related toolkits such as Tensorflow
Good applied statistics skills, such as hypothesis testing and understanding of probability distributions
Understanding of NoSQL databases and distributed computing platforms e.g. Apache Spark
Proven working experience in technical writing of software documentation.
A high level of interpersonal skills and ability to collaborate

About Business Unit
IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBM
What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM
IBM’s greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.

Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
7,Ocean Data Scientist,Cawthron Institute,Nelson,"Ocean Data Scientist - Coastal and Freshwater Group
Cawthron Institute’s Coastal and Freshwater Group is looking for a marine bio-physical scientist that is passionate about data and excited to integrate their data science expertise across a diverse range of topics - from aquatic health to managing marine ecosystems to enabling sustainable aquaculture.
As part of a developing data-science team you will be joining a vibrant, collaborative organisation highly engaged in applied research targeting some of our most pressing marine and freshwater resource issues and opportunities.
The ideal candidate will have a PhD in the marine sciences with at least two years of postdoctoral experience, with expertise and passion for coding solutions and statistical approaches to extracting knowledge from large complex datasets. The successful applicant will have strong interpersonal and communication skills and a proven track record in publishing and an established professional network.
This is an exciting opportunity for a highly creative and collaborative scientist to be part of a world-class team that prides itself on science excellence and enabling a better future by fostering a culture of innovation, promoting sustainable growth, and enhancing and protecting natural ecosystems. The position is based in sunny Nelson at New Zealand’s largest independent research organisation.
Apply via the Cawthron website by 15 March 2020 address http://www.cawthron.org.nz/careers/

Position description"
8,Business Intelligence Data Scientist,St John NZ,"Auckland City, Auckland","We have a rare opportunity for a Business Intelligence Data Scientist to join the team at St John,
Reporting to Head of Business Intelligence at National HQ, this role is responsible for producing analytics and insights for management teams across the organisation. The role will use data science techniques including AI and machine learning to identify trends and patterns in both structured and unstructured data and improve predictions to support evidence-based decision making
In this role you will:
provide consistently professional and informed analytical support across St John
Assist Managers to use data and information in all management decisions
Utilise machine learning, AI and deep learning to better understand trends and patterns in data
Contribute to projects by completing the required data mining, analysis, and presentation / report preparation
To be successful in this role you will have:
An advanced qualification in Data Science
A minimum of at least 3 years' experience providing in-depth data analysis
Proven experience in utilising SQL and Python or R
Experience with using data science methods to enhance analysis
Experience in data management, data quality and data security
We are looking for someone who has strong problem solving and analytical skills, can build effective relationships with a variety of stakeholders and is a confident communicator. You will be collaborative by nature, be able to quickly adapt to change and have a genuine desire to be part of a busy and hardworking team.
This is a permanent full-time position and please see the attached position description for full details. Recent graduates will be considered.
If keen, apply now!
We welcome and encourage diversity in our workforce and adhere to best practice equal employment opportunity principles in all aspects of our recruitment and our ways of working.
Haramai ngā tai o te āniwaniwa, he kāhui rangatira tēnei, he kāhui whakamana tāngata whaimahi, e te iti, e te rahi e."
9,Data Scientist/Senior Data Scientist - AgResearch,AgResearch,"Palmerston North, Manawatu-Wanganui","The Knowledge & Analytics group at AgResearch supports scientific research in a range of areas to the benefit of the pastoral agricultural sector. This is a team of highly motivated individuals who between them have a broad range of expertise and enjoy working collaboratively to create innovative solutions.
We are seeking a Data Scientist/Statistical Scientist or experienced Senior Data Scientist/Senior Statistical Scientist with a strong drive to succeed to join our team. This is a permanent position and ideally will be located at our Grasslands campus in Palmerston North, however, an appointment at our Lincoln campus (near Christchurch), Ruakura (Hamilton) or Invermay (near Dunedin) campuses will be considered for the right candidate.
If you come from a statistical background, possess excellent analytical skills and have a passion for data science, we want to hear from you. This is an excellent opportunity to use your knowledge and experience in collaborative research to contribute to scientific discovery in New Zealand. The successful candidate will have the ability to provide leadership in data science, communicate easily with a wide range of people, and enjoy sharing knowledge and mentoring others.
What you will be doing
In collaboration with science teams, you will contribute data science expertise to scientific research projects. This will include the application of advanced statistical and machine learning methodologies/techniques on large/complex datasets, to extract meaning from data.
For a senior role, you will also provide thought leadership in data and statistical science for AgResearch and serve as a mentor and coach to data science enthusiasts.
Your ideal background
Postgraduate qualification in data science or a closely related field, PhD will be preferable.
For a senior appointment, 5 years' plus post degree relevant experience in data science and collaborative research.
Knowledge of a wide range of data science and statistical techniques.
Demonstrable experience in the analysis of large complex datasets using, for example, machine learning, deep learning, text mining, and statistical modelling.
Be proficient in programming languages such as Python and R.
Have experience and/or a sound understanding of working within cloud computing services such as AWS and Azure.
Skilled in data integration and data visualisation.
Have excellent communication and interpersonal skills.
Demonstrate the ability to articulate complex technical information to collaborators.
How to apply
If this sounds like you, click 'APPLY' on the right of this page and provide your CV and a covering letter detailing why you feel you would be suitable for this position.
For a confidential discussion contact Dr Vanessa Cave, Team Leader Statistics, on 0064 7 838 5212
Applications close: Monday 16 March 2020 at 5.00pm"
