,Job_title,Company_name,Locations,Summary
0,Data Engineer,Michael Page,"Auckland City, Auckland","Experience in data, engineering & development data background
NZ's Leading Cloud Service Provider
About Our Client
New Zealand's leading cloud service provider.
Job Description
Designing software platform for reliability and scalability- mainly Big data, IoT, Cloudnative, open source and Hadoop based data solutions
Assemble large, complex data sets that meet functional / non-functional business requirements
Develop a deep understanding of a core component of the data platform stacks on AWS or Azure cloud, think through all of the moving pieces and make recommendations on design and configuration
Design and implement modernised ETL platform and data processing solutions through modernised cloud based solutions (S3, Redshift, Cosmos etc)
The Successful Applicant
Experience building and optimizing 'big data' data pipelines, architectures and data sets.
Experience with Big data software stacks, specifically Hadoop and Apache Spark frameworks
Certificated in either Cloudera, Pentaho, Hortonworks, MapR or AWS data
certifications
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
What's on Offer
Opportunity to work for one of New Zealands leading cloud service provider
Contact:
Samee Amin
Quote job ref: 107438166
+64 9 354 8119
Save Job
Apply
New Zealand's leading cloud service provider.
Job Description
Designing software platform for reliability and scalability- mainly Big data, IoT, Cloudnative, open source and Hadoop based data solutions
Assemble large, complex data sets that meet functional / non-functional business requirements
Develop a deep understanding of a core component of the data platform stacks on AWS or Azure cloud, think through all of the moving pieces and make recommendations on design and configuration
Design and implement modernised ETL platform and data processing solutions through modernised cloud based solutions (S3, Redshift, Cosmos etc)
The Successful Applicant
Experience building and optimizing 'big data' data pipelines, architectures and data sets.
Experience with Big data software stacks, specifically Hadoop and Apache Spark frameworks
Certificated in either Cloudera, Pentaho, Hortonworks, MapR or AWS data certifications
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
What's on Offer
Opportunity to work for one of New Zealands leading cloud service provider
"", ""jobLocation"" : { ""@type"" : ""Place"", ""address"" : { ""@type"" : ""PostalAddress"", ""addressLocality"" : ""Auckland"", ""addressRegion"" : ""New Zealand"" } } }

Function:Information Technology
Specialisation:IT Architecture
Industry:Technology & Telecoms
Location:Auckland
Contract Type:Permanent
Consultant name:Samee Amin
Consultant phone:+64 9 354 8119"
1,Senior Developer (Data & Analytics),ANZ New Zealand,"Mount Victoria, 6011","Provide your Senior Programming skills to data initiatives
There’s never been a better time to join ANZ; we’re flipping traditional banking on its head
Join one of NZ’s largest technology shops; offering huge scope for career opportunity
About the role
We have an exciting opportunity for a Senior Developer to join our Data and Analytics team.
You will work in an agile and collaborative team, working with other engineers and analysts to deliver industry leading technical platform and deployment solutions which are utilised by other Data scrum teams. You will bring modern development techniques and a continuous improvement mind-set to the team and be passionate about sharing these.
You will have the opportunity to share your knowledge grow those around you whilst also applying your skills to deliver continuous improvements to our platform and process. Your day to day will be spent iteratively delivering technical platform solutions as part of a scrum team. You will be passionate about and experienced in agile development practices such as CI/CD pipelines and Test Driven Development, and will help drive continuous improvement in our scrum teams.
You will be a fast learner with a solid technical background and enjoy learning new technologies and platforms.
You will be part of an awesome, collaborative team. You will be well-supported with opportunities for your personal development and growth. Put that into a great team that is growing and changing, and you might just have your ideal role!


Role Location: Wellington
Role Type: Permanent

About you
To be successful in this role, you will bring the following:
You will be a seasoned Senior Java Developer with well-developed technology domain knowledge required
Data warehousing experience preferred, however not essential.
Experience with CI/CD pipeline automation (Jenkins)
Experience or strong interest in DevOps / SRE teams
An understanding of Openshift
A technical knowledge and understanding of Unix commands
Strong Test Automation experience
Experience with Jenkins and Open
Positive can do attitude and an excellent communicator both written, verbal and visual
Problem solver, critical thinker, agile thinker with practical agile experience (Scrum beneficial)
Experience in assisting breaking down larger features in to small increments of work that can be delivered quicker
Growth Mind-set
Some of our other benefits include:
Various leave options, including family Leave, parental Leave (26 weeks fully paid), lifestyle Leave
Staff Banking and Insurance benefits
Dedicated online learning & development portal to develop your skills and career
Southern Cross Health Insurance
Applications close: Wednesday 26th February

About ANZ
Our purpose is to shape a world where people and communities thrive. That’s why we strive to create a balanced, sustainable economy in which everyone can take part and build a better life. By helping people make the most of what they have, we transform ideas, hard work and ambition into reality.
ANZ recognises the value of an inclusive and diverse work environment. We take pride in the diversity of our people and encourage applications from diverse candidates. Our recruitment decisions are based on the key inherent needs and requirements of each role, and candidates are selected based on their unique strengths and characteristics.
The ANZ values are the foundation of how we work and support our customers.


Integrity – We are honest and fair
Collaboration – We work together for the customer
Accountability – We take ownership and get things done
Respect – We care for all those we serve
Excellence – We challenge ourselves to be better

We work flexibly at ANZ. Talk to us about how this role could be flexible for you.

ANZ recognises the importance of flexible working, watch our stories to see how ANZ aims to meet the needs of our customers and to attract and retain the best people in a changing world
https://www.youtube.com/watch?v=sjRskqQN4ss&list=PLk-blY9fPT7ZSqvd93KTW7NPjiF8t7i1C&index=3&t=2s
To find out more about working at ANZ or to view other opportunities visit http://www.anz.co.nz/careers
You may apply for this role by visiting ANZ Careers and search for the reference number NEW040382."
2,Graduate Mechanical Engineer,Waipa civil,"Auckland City, Auckland","Graduate Mechanical Engineer
Global business – Pioneering electronic technologies – Stimulating & challenging projects
Learn – Grow – Develop - Work alongside some of the best in the agri-tech sector
BE - Mechanical or Mechatronic & Solidworks CAD modelling experience essential
Set yourself up with career-enhancing engineering foundations; be part of project teams delivering world-class products; apply your technical talent.

About Datamars
Datamars’ purpose is to make a measurable difference by harnessing the power of data to measurably improve productivity and quality of life. We are global leaders in delivering integrated solutions in livestock management, animal health delivery, pet identification and reunification and textile identification. Our people, our legacy strength in technology, our closeness to customers and our quality products helps drive our success as we work towards an exciting, sustainable future.
Expect to be mentored and guided. There will be teamwork, challenges, forward-thinking, personal and career growth, complex technical projects and the opportunity to work alongside a highly experienced R & D team who will support your development and progression. With the right attitude and aptitude, this is an opportunity to carve out your future career path.
With an array of tasks and responsibilities you’ll contribute to mechanical development of new products; carrying out research on product, manufacturing and test technologies and reporting on feasibility and cost to implement these; provide engineering support to production in sustaining manufacturing and updating MRP system data; creating and updating product and component specification documents to ensure supply chain security; designing manufacturing jigs, fixtures and tools which enable efficient production; designing, planning and executing tests to verify compliance, reliability and performance of product and components.
We’re open to exploring highly motivated engineering grads with a genuine interest (both work and play!) in all things mechanical and technology-related.

About you
You may already be working with a year or two experience, or looking to kick off your first career opportunity and can demonstrate your strong work ethic, passion and initiative with your Uni projects and/or internships whilst completing your degree. You’ll be...
results-oriented,
have strong analytical skills,
be a clear communicator and influencer,
have a good understanding and
working knowledge of Solidworks CAD modelling and
ideally, have some practical exposure to working in a workshop environment.
Along with a competitive base salary, car parking and Kiwisaver contributions, you can expect a culture of respect, diversity, support in learning and personal growth combined with exposure to global markets, product design, engineering and manufacturing innovation and compelling career prospects.
Please apply online and we’ll be in touch to explore your potential.
For further insight in to our business check out our website www.datamars.com and follow us on LinkedIn https://www.linkedin.com/company/datamars-sa

Please note: This information is not to be re-distributed without permission from Datamars and NxtStep (AttractHQ Ltd)"
3,Water Serviceman / Drainlayer,DXC,Waikato,"Waipa Civil is a Cambridge based drainage and utilities installation company working throughout the greater Waikato Region for the past 7 years.We currently have an enthusiastic team of (60+) drainlayers, directional drillers, water service persons, digger operators,mechanics and engineers and skilled labourers.
We have a forward work load of 2 years + and are looking for experienced digger operators and drainlayers.
We are a progressive company and are looking for people who are motivated and want to be apart of our team culture. We own and operate all of our own plant and equipment including;
2 x 27 tonne Excavators2 x 14 tonne Excavators2 x 6 tonne excavators7 x 1.5-3t excavators7 directional drills ranging in size from 20,000lbs pull back to 100,000lbsstate of the art Polyethelene pipe Butt welding and Electrofusion welding gear with data loggers and GPS recording capabilities.onsite mechanical and engineering workshop carrying out pipe fabrication and plant repairs along with constructing specialist equipment ie pipe trailers.paperless based site management utilising Tablets and a cloud based data storage system.
You will be required to work in as part of a team and we are always looking for guys to put through training and up-skilling in their relevant fields.Required Skills
Full drivers licenseWaterpipe Installation/maintenance experienceConstruction background
Desirable Skills
Certifying DrainlayerClass 2 or 4 licenseW, T, R
Applicants for this position should have NZ residency or a valid NZ work visa."
4,Azure Developer/data engineer,ezyVet,"Wellington City, Wellington","Job Description:
DXC Technology (NYSE: DXC) is the world's leading independent, end-to-end IT services company, helping clients harness the power of innovation to thrive on change. Created by the merger of CSC and the Enterprise Services business of Hewlett Packard Enterprise, DXC Technology serves nearly 6,000 private and public sector clients across 70 countries. The company's technology independence, global talent and extensive partner alliance combine to deliver powerful next-generation IT services and solutions. DXC Technology is recognized among the best corporate citizens globally. For more information, visit http://www.dxc.technology/.
The Azure Developer/data engineer is a highly performant engineer responsible for delivering Cloud based Analytical Solutions at our clients. This role will work with customers and leading internal engineering teams in delivering data solutions on cloud. Using Azure public cloud and on premise / hybrid technologies, our Data Engineer professionals implement state of the art, scalable, high performance Data solutions.
You must be a New Zealand citizen and New Zealand Defence security clearance should be held or be prepared to apply.

Role & Responsibilities
Provide expertise and hands on delivery of data capture, curation and consumption pipelines on AZURE and other databases.
Ability to build cloud data solutions and provide domain perspective on storage, big data platform services, serverless architectures, RDBMS, DW/DM and NoSQL databases.
Follow design patterns and architectures as defined by DXC and Microsoft architects and Build full technology stack of services required including PaaS (Platform as-a-service), IaaS (Infrastructure as-a-service), SaaS (software as-a-service), operations, management and automation.
Apply DXC methodology, DXC reusable assets, and previous work experience to delivery consistently high-quality work.
Stay educated on new and emerging technologies/patterns/methodologies and market offerings that may be of interest to our clients.
Adapt to existing methods and procedures to create possible alternative solutions to moderately complex problems.
Understand the strategic direction set by senior management as it relates to team goals.
Primary upward interaction is with direct supervisor. May interact with peers and/or management levels at a client and/or within DXC. Establish methods and procedures
on new assignments with guidance.
Wellington based; however, travel may be required
Qualifications
Basic Qualifications
At least 3 years of consulting or client service delivery experience on Azure
At least 3 years of experience in developing data ingestion, data processing and analytical pipelines for relational databases, NoSQL and data warehouse solutions
Minimum of 3 years of hands-on experience in Azure and Big Data technologies such as Powershell, C#, Java, Node.js, Python, SQL, ADLS/Blob, Spark/SparkSQL, Hive/MR, Pig, Oozie and streaming technologies such as Kafka, EventHub, NiFI etc.
Hands-on experience implementing data migration and data processing using Azure services: Container, Storage, Azure Functions, Serverless Architecture, ARM Templates, Azure SQL DB/DW, Data Factory, Azure Stream Analytics, Azure Analysis Service, Databricks Azure Data Catalog,etc.
Cloud migration methodologies and processes including tools like Azure Data Factory, Event Hub, etc.
3+ years of hands on experience in programming languages such as Java, c#, node.js, python, pyspark, spark, SQL, Unix shell/Perl scripting etc.
Minimum of 3 years of RDBMS experience
Experience working with Developer tools such as Visual Studio, GitLabs, Jenkins, etc.
Bachelors or higher degree in Computer Science or a related discipline.
Candidate ideally will Have Completed The Following Certifications
MCSA Cloud Platform (Azure) Training & Certification
MCSE Cloud Platform & Infrastructure Training & Certification
Nice-to-Have Skills/Qualifications
DevOps on an Azure platform
Experience developing and deploying ETL solutions on Azure
IoT, event-driven, microservices, containers/Kubernetes in the cloud
Familiarity with the technology stack available in the industry for metadata management: Data Governance, Data Quality, MDM, Lineage, Data Catalog etc.
Familiarity with the Technology stack available in the industry for data management, data ingestion, capture, processing and curation: Kafka, StreamSets, Attunity, GoldenGate, Map Reduce, Hadoop, Hive, Hbase, Cassandra, Spark, Flume, Hive, Impala, etc.
Multi-cloud experience a plus - Azure, AWS, Google
Professional Skill Requirements
Proven ability to work in a team-oriented environment
Proven ability to work creatively and analytically in a problem-solving environment
Desire to work in an information systems environment
Excellent communication (written and oral) and interpersonal skills
Excellent organizational, multi-tasking, and time-management skills"
5,Graduate/Junior Data Engineer,TSB Bank,"Epsom, 1023","What is this opportunity about?
As a Junior Data Engineer you will be primarily focused with converting, manipulating and sanitising large data from a range of data sources (MySQL, Microsoft SQL Server, PostgreSQL etc). You will have access to training and daily use of the latest and greatest cloud technology offered by AWS.
This role and mission will be no mean feat so you will need plenty of gas in the tank and a great toolbox of ideas and tricks to get the outcomes the platform will need in the future to be successful.
Some of the challenges you will face:
Migrating several years worth of data from veterinary practice management systems into ezyVet
Interacting with many different database engines beyond the common ones that you are used to
Transforming significant amounts of data to match specifications
The tempo is quick and multi tasking is a must!
Desired skills and experience (the boring bits):
Proven person of action & delivery focused
Excellent collaborator and communicator
Experience with databases - i.e. MySQL, MSSQL, PostgreSQL
Strong attention to detail with relentless follow up
Excited by the idea of GBs of data flowing through at light speed
Extra: an understanding of cloud platforms
Perks of the job:
Laptop provided that is yours to use freely
Monday café breakfasts for early-birds
Free healthy lunch Monday to Thursday
A barista quality coffee machine
Get to work in an exciting ever changing environment that's winning on a global scale
An opportunity to drive and progress your career like nowhere else, we are here to support you and you are your only obstacle
About ezyVet
With a little kiwi ingenuity and a lot of passion, ezyVet came into existence. A cloud-based, feature rich software solution for Veterinary Practices all around the world. ezyVet is quietly disrupting the global veterinary industry. With customers in over 20 countries, 120+ staff across offices in London, Dallas and Auckland, there’s no better time than now to join the ezyVet journey."
6,Data Engineer,Beca,"New Plymouth, Taranaki","Working at TSB Bank
Our people are proud to belong to a 100% independent NZ owned Bank and proud to see
the results of their efforts invested back into New Zealand. Our people can see the impact
of their work benefitting New Zealanders as they work towards the banks purpose: Helping
New Zealanders get ahead by making banking really easy. Every time. Everywhere.

Our strong corporate values: One Team, People First, Integrity, Innovation, Keep it Simple
set our standards and set us apart. We demonstrate our People First value through the
distribution of our profit for the benefit of others and by providing our employees with a
place to belong, grow, and be recognized.

We work together as a One Team community to ensure a sustainable future and we
encourage every employee to have a voice and be an active participant in our success.
We aim to create remarkable experiences for our people just as our people create
remarkable experiences for our customers.


Role Dimensions

Reports to: Head of Integration & Data
Department: Technology Services
Job Family: Technical Specialist
Location: New Plymouth
Direct Reports: N/A
Total Employees: 20+
Purpose of role

The purpose of this role is to support, enhance and develop the Bank’s Business Intelligence
platform and ensure high levels of data quality and integrity are maintained across the Bank’s
systems. Working within the Integration & Data team, you will be responsible for supporting
data flows between the BI platform and internal operational systems as well as external third-
party systems. You will also be responsible for supporting the systems required for the business
to do Analytics & Reporting. The role is multidisciplinary with elements of software
development, system design and tech ops.

Specifically, you will:
Build, maintain and evolve the business intelligence platform, and regularly re-assess the
best-of-breed for the requirements of TSB Bank.
Document and maintain a road-map for the supported data flows and technology.
Ensure monitoring and support procedures are in-place for:
o Incoming and outgoing feeds
o Transformation processes
o Data retention
o Data access permissions
Collaborate with Operations and use a shared tool-set (Service Desk) to respond to
incidents and manage resolutions.
Exchange ideas with Operations to understand requirements for monitoring/support.
Regularly feedback learnings and ensure that operations are aware of the road-map.
Follow the Change Management processes to ensure that changes are transparent and
adhere to company standards

Generic Responsibilities
Keep up to date with and comply with all Bank policy and procedures.
At all times demonstrate the Bank’s core values:
o Integrity
o Innovation
o People First
o Keep it Simple
o One team
Make use of the Bank’s communication channels, particularly the intranet, to ensure
that your workplace knowledge is up to date and that you are aware of changes as they
occur.
Embrace change and act as a change agent –accepting, embedding and reinforcing
change in the workplace.
Comply with all health and safety polices, directions and instructions and ensure that in
the performance of duties not to undermine own health and safety or the health and
safety of any other person. Be continually mindful of the Bank’s Health and Safety Policy:
o No business objective will take priority over health and safety.
o o All incidents are preventable.
o Whilst management have ultimate accountability, we all have responsibility for
health, safety and wellness.
o All employees have the responsibility to stop any job they believe is unsafe or
cannot be continued in a safe manner.

Person Specification

Qualifications
A bachelor’s degree in Computer Science or equivalent experience

Experience
Experience with OLTP database technologies (My SQL, SQL Server) as well as Data
Warehousing solutions (Azure DWH, Redshift)
Factory 5+ years’ experience with software development, especially scripting languages
with Python in particular
2+ years’ experience with virtualization and container technologies (VMware, Docker or
Rancher)
Solid understanding of system design and architectural patterns
Experience in defining data models, problem management and support procedures
Experience in environments with high transaction and batch processing loads
Experience in running operational systems and troubleshooting issues under pressure
Experience with ETL or other data flow management tools (Apache Airflow, SSIS, Azure
Data)
Experience with managing fleets of Linux servers, preferably with configuration
management tools like Ansible
Platform and language agnostic approach in delivering solutions for our customers
Experience in cloud infrastructure management (AWS, Azure) would be beneficial

Required attributes:
These are your personal qualities which, combined with your skills and experience, will
make you a stand-out performer in this role.

Collaborative - Good at collaborating with business specialists, designers and
developers to envision and iterate concepts. You must also appreciate ambiguity and
value creative conflict in support of strong design and outcomes.
Innovative - Good at initiating or taking creative ideas of others to market, and
displays good judgment about which creative ideas and suggestions will work.
Self-learning - Quickly grasps the essence and the underlying structure of anything,
analyses both successes and failures and suggests improvement. Seeks out learning
opportunities and keeps self-current on technology practices.
Solves Problems - Uses rigorous logic & methods to solve difficult problems with
effective solutions.
Action Orientated - Enjoys working hard – action orientated and full of energy for
the things you see as challenging. Ability to work on multiple projects at once,
prioritising tasks and deliverables and managing expectations accordingly.
Deals with Ambiguity - Is able to effectively cope with change and can shift gears
comfortably. Is able to decide and act without having the total picture, and doesn’t
get upset when things are up in the air. It is important that you are able to
comfortably handle risk and uncertainty.
Business Acumen - Knows the competition and is aware of how strategies and tactics
work in the marketplace. Knowledgeable in current and potential future policies,
practices, trends, technology, and information, affecting businesses and
organizations and can mitigate risks with creative solutions.
Strong Communication - Is able to clearly and succinctly communicate in a variety of
settings and styles. Can get the messages across to influence the desired outcome.

From time to time there may be additional activity not contained within this position description
that the appointee is to complete in the interests of the appointment and their own personal
development.

This position description provides a broad overview of responsibilities. The position description
is a living document and the Bank reserves the right to amend from time to time as required."
7,Geotechnical Engineer,ezyVet,"Wellington City, Wellington","Geotechnical at Beca
Developing and implementing solutions to complex problems, our team is helping to shape the world we live in across the Asia Pacific region – from highways to airports; from buildings and reservoirs to bridges to tunnels. We offer the opportunity to build a career path within a fascinating industry, in a business line that offers variety, challenge and tremendous growth potential.

We embrace the fact that people are our greatest asset. It’s our people that set us apart, and who our clients keep coming back to. Passionate about what we do and the culture we have developed, we believe that key to our success is the teamwork and collaboration fostered, right across the Beca Group. It’s this culture that allows us to deliver excellence in technical delivery, client service and innovation in all that we do.

The Opportunity
To be part of our exciting growth, we are looking for a Geotechnical Engineer in our Wellington team. As part of a national Geotechnical team, you will have the opportunity to work on small to large projects in the region and across New Zealand.
You can expect every day to look different but overall you can expect to be:
Managing and delivering projects with support from our technical specialists
Liaising with clients and project management
Plan and execute field assignments such as soil sampling, borehole/test pit logging and drilling guidance
Prepare technical proposals and reports with senior review
Carry out projects under the general direction of senior professionals
Undertake geotechnical/geological investigations and reporting
Assisting with or carrying out various data analysis and interpretation
About You
You will have a Bachelor's degree (Master’s degree would be advantageous) in civil or geotechnical engineering, ideally from a consultancy background, have strong written and verbal communication skills, an enthusiasm for fieldwork and a willingness to constantly learn and develop.
What we offer
A career with Beca will provide you with:
Professional development opportunities
A supportive and caring work environment where you can bring your whole self to work
Support with relocation and immigration to suitable applicants
Flexible working arrangements to balance your personal / family commitments.
Opportunities to learn from our industry experts and technical gurus across the Asia-Pacific
Highly supportive environment of sharing and collaboration
Excellent benefits provided to all staff – including discounted health insurance, discounts on gym memberships, and a huge number of social club events
Beca prides itself on supporting a diverse and inclusive culture – open to inputs from creative people of all genders, ethnicity, identity, thought and experiences.
Ready to make the move?
If you want to make everyday better, apply online today! If you have any questions, call Autumn English – Talent Acquisition Business Partner on +64 9 336 5954.
About Beca
Our clients do incredible things every day. They are transforming communities and changing lives, and we are right there alongside them.
Beca is one of the largest employee-owned professional services consultancies in the Asia-Pacific region. Our team of 3000-plus is diverse enough to bring a wide range of perspectives and expertise to every client and challenge, creating resourceful, smart solutions from our collective experience and insights.
While our experience has been 99 years in the making, it’s the fresh talent we’re nurturing, the innovative thinking we’re developing and the connections that we’re forging that get us most excited for the future. www.beca.com."
8,Data Engineer,Spark New Zealand,"Epsom, 1023","What is this opportunity about?
As a Data Engineer you will be primarily focused with converting, manipulating and sanitising large data from a range of data sources (MySQL, Microsoft SQL Server, PostgreSQL etc). You will be involved in automation efforts with an end goal of having a completely automated process.
This role and mission will be no mean feat so you will need plenty of gas in the tank and a great toolbox of ideas and tricks to get the outcomes the platform will need in the future to be successful.
Some of the challenges you will face:
Migrating several years worth of data from veterinary practice management systems into ezyVet
Interacting with many different database engines beyond the common ones that you are used to
Transforming significant amounts of data to match specifications
The tempo is quick and multi tasking is a must!
Desired skills and experience (the boring bits):
At least 2 years commercial data related experience
Proven person of action & delivery focused
Excellent collaborator and communicator
Strong experience with databases - i.e. MySQL, MSSQL, PostgreSQL
Strong attention to detail with relentless follow up
Excited by the idea of GBs of data flowing through at light speed
Extra: an understanding of cloud platforms
Perks of the job:
Laptop provided that is yours to use freely
Monday café breakfasts for early-birds
Free healthy lunch Monday to Thursday
A barista quality coffee machine
Get to work in an exciting ever changing environment that's winning on a global scale
An opportunity to drive and progress your career like nowhere else, we are here to support you and you are your only obstacle
About ezyVet
With a little kiwi ingenuity and a lot of passion, ezyVet came into existence. A cloud-based, feature rich software solution for Veterinary Practices all around the world. ezyVet is quietly disrupting the global veterinary industry. With customers in over 20 countries, 120+ staff across offices in London, Dallas and Auckland, there’s no better time than now to join the ezyVet journey."
9,Service Engineer,New Zealand Government,Wellington,"We're looking for a Service Engineer to join our Technical Services Delivery team supporting our Telco and IT Customers.
This is a busy and exciting role! You'll need a good background in networking with a smattering of desktop experience. Most of all you will need to come armed with a desire to learn and grow in the industry. The work is dynamic, with one day servicing WIFI systems at an All Blacks game, supporting our Defence Forces, installing new Networks in Schools and many more hands-on jobs with Sparks Customers.
The functions of the role include, but not limited to:

Work efficiently and with accuracy to update all systems with the latest information from external service companies
First response to Customer Issues including being part of the after-hours on call roster
Develop skills and knowledge on specific industry Technologies - All of Government, Data centres, Hospitals, Schools, and Infrastructure Companies
Identify issues, provide facts, education and insights to frontline, external service companies
Have you got what it takes to rise to a challenge and forge a career in Telecommunication?
Be a truly customer inspired and focussed person with the right attitude to always put our customers first.
Previous customer service and some ICT experience preferably with a background in Field Delivery and End User Computing. Resilience and perseverance are your middle names - You thrive in fast paced environments where things change daily.

Evidence of being a lifelong learner and an aptitude toward digital technologies and some pretty savvy ICT skills. CCNA Qualification desired but not essential. The ability to multi task between multiple systems while having a conversation with your customer.
This is a fast paced environment where things change regularly so you need to be adaptable and enjoy a challenge!
Be a team player … a collaborator!"
