,Job_title,Company_name,Locations,Summary
0,Business Analyst,Michael Page,"Auckland City, Auckland","Immediate start - 6 month contract
Renowned NZ clothing brand
About Our Client
This company is a highly desirable employer - an iconic kiwi clothing brand looking for someone to start ASAP in their finance team. Working in the retail industry you can expect high volumes, fast pace, variety in processing and you'll need to be able to think on your feet! This is a seriously cool company - established over 100 years ago, they create clothing for trusted sports teams and every day Kiwi's.
Job Description
This role is responsible for establishing effective performance reporting, and an efficient and accurate flow of financial data and commentary throughout the business. To provide timely, accurate and insightful data and analysis, with a focus on driving the business forward from a commercial viewpoint, enabling strategic planning and decision making.
Responsibilities will include:
Comprehensive understanding of actual and forecast sales & margin performance, with tracking of risks and opportunities.
Establish performance analysis, forecast models & reporting on all areas of business performance both financially and commercially that assist the business in delivery of targets and decision making.
Partnering with commercial and product leads to build and validate commercial plans built by channel, customer and product group - instilling a process of cyclical review and reforecasting - and coordinating sales & margin input for annual budgets and rolling forecasts.
Assist with preparation of annual budget/forecast building for all sales, margin and royalty numbers
Leading the inventory review process - ensuring early identification of, and actions to clear, slow moving stock lines.
Collation & distribution of daily, weekly and monthly sales, margin & stock reporting
Improving the provision, accessibility and consistency of sales and margin data - driving automation and 'self-service' where practical.
Providing product teams with historic and forecast product and margin performance and parameters to inform range build - including target sales, margin and SCO productivity by range.
Establish range KPIs for ANZ. Provide product teams with historic and forecast product and margin performance and parameters to inform range build - including target sales, margin and SCO productivity by range. Provide insight as to opportunities to better drive sales and/or profit. Development of analysis pack to support proposition and range sell-in proposals.
Recommend how to regularly report on channel profitability and cost to serve. Provide recommendations and insight as to how to improve channel/asset profitability.
The Successful Applicant
A Degree level or equivalent education in relevant field (accounting or finance)
Proven analytical skills backed up by a high level of commercial acumen and financial understanding
Ability to build strong relationships with senior stakeholders to engage and influence
Experience of working within tight deadlines and ability to multitask.
The ability to interpret large quantities of data and identify and communicate pertinent points, utilising independent thinking, judgement and visual modelling to further the value of analysis.
Recognition of revenue & cost drivers & the business cycle
Advanced knowledge of MS Excel.
What's on Offer
The opportunity to work for an iconic Kiwi brand with a great company culture and environment.
Contact:
Andrew Batey
Quote job ref: 107446123
+64 9 354 8122
Save Job
Apply
Business Analyst
From email *
To email *
This company is a highly desirable employer - an iconic kiwi clothing brand looking for someone to start ASAP in their finance team. Working in the retail industry you can expect high volumes, fast pace, variety in processing and you'll need to be able to think on your feet! This is a seriously cool company - established over 100 years ago, they create clothing for trusted sports teams and every day Kiwi's.
Job Description
This role is responsible for establishing effective performance reporting, and an efficient and accurate flow of financial data and commentary throughout the business. To provide timely, accurate and insightful data and analysis, with a focus on driving the business forward from a commercial viewpoint, enabling strategic planning and decision making. Responsibilities will include:
Comprehensive understanding of actual and forecast sales & margin performance, with tracking of risks and opportunities.
Establish performance analysis, forecast models & reporting on all areas of business performance both financially and commercially that assist the business in delivery of targets and decision making.
Partnering with commercial and product leads to build and validate commercial plans built by channel, customer and product group - instilling a process of cyclical review and reforecasting - and coordinating sales & margin input for annual budgets and rolling forecasts.
Assist with preparation of annual budget/forecast building for all sales, margin and royalty numbers
Leading the inventory review process - ensuring early identification of, and actions to clear, slow moving stock lines.
Collation & distribution of daily, weekly and monthly sales, margin & stock reporting
Improving the provision, accessibility and consistency of sales and margin data - driving automation and 'self-service' where practical.
Providing product teams with historic and forecast product and margin performance and parameters to inform range build - including target sales, margin and SCO productivity by range.
Establish range KPIs for ANZ. Provide product teams with historic and forecast product and margin performance and parameters to inform range build - including target sales, margin and SCO productivity by range. Provide insight as to opportunities to better drive sales and/or profit. Development of analysis pack to support proposition and range sell-in proposals.
Recommend how to regularly report on channel profitability and cost to serve. Provide recommendations and insight as to how to improve channel/asset profitability.
The Successful Applicant
A Degree level or equivalent education in relevant field (accounting or finance)
Proven analytical skills backed up by a high level of commercial acumen and financial understanding
Ability to build strong relationships with senior stakeholders to engage and influence
Experience of working within tight deadlines and ability to multitask.
The ability to interpret large quantities of data and identify and communicate pertinent points, utilising independent thinking, judgement and visual modelling to further the value of analysis.
Recognition of revenue & cost drivers & the business cycle
Advanced knowledge of MS Excel.
What's on Offer
The opportunity to work for an iconic Kiwi brand with a great company culture and environment.
"", ""jobLocation"" : { ""@type"" : ""Place"", ""address"" : { ""@type"" : ""PostalAddress"", ""addressLocality"" : ""Auckland"", ""addressRegion"" : ""New Zealand"", ""addressCountry"" : ""NZ"" } } }

Function:Accounting & Finance
Specialisation:Business Analysis
Industry:Retail
Location:Auckland
Contract Type:Temporary
Consultant name:Andrew Batey
Consultant phone:+64 9 354 8122"
1,Senior SAS Analyst Developer,ANZ New Zealand,"Mount Victoria, 6011","Mentor and Lead a team providing SAS and SSIS guidance and advice.
Contribute to the development of CFW’s technology roadmap.
Identify process improvement and MIS reporting value add opportunities.
About The Role:
The Customer Financial Wellbeing (CFW) Team within ANZ operates as a customer focused unit that manages those customers who have, for various reasons, entered into a high risk financial situation and require specialist financial management. In this role, you will lead the development and distribution of MIS reporting and analysis to support CFW to meet operational deliverables and efficiencies, initiatives and strategy. You will also work closely with the CFW Systems Enablement Managers to contribute to the development and delivery of the technology roadmap, including on-going support of key systems and identification of process improvement opportunities and/or seeing where MIS can add value in the CFW team. In this position you will have the opportunity to:
Provide thought leadership and mentorship to CFW’s MIS reporting team on SAS and SSIS modelling, analytics and reporting functionality
Develop and manage key stakeholder relationships across ANZ business units including ANZ Technology, ANZ Retail Risk and other ANZ CFW Hubs
Be the CFW key contact for the wider ANZ MIS community for main bank programs of work
Providing accurate and timely reporting to support Customer Financial Wellbeing and ensure business unit financial objectives are met
Work with Customer Financial Wellbeing leaders and stakeholders to develop and implement solutions, changes and best practise within the target time period
Be responsible for the analysis, production and distribution of timely and accurate MIS, performance and portfolio information to support business.
Drive on-going improvement in Business Intelligence capability in line with best practice.
Oversight of existing Business Intelligence processes and apply maintenance as required
Contribute to CFW’s technology roadmap
Lead and provide oversight to the prioritisation of MIS work
Develop and maintain timely, accurate and insightful analytics and help develop early warning indicators
Role Location: Wellington
Role Type: Permanent, Full Time
Working Hours: Standard Business hours with plenty of flexibility available


About You:
This is a highly rewarding position that will draw heavily on your SAS and SSIS knowledge as much as your ability to communicate with and manage key stakeholders within both CFW and the wider bank. As well as well hones technical skills, you will need to be a natural people-person that can provide people leadership and ensuring that the MIS team are focused on providing customer centric solutions inline with CFW’s strategy and goals. To grow and be successful in this role, you will bring the following:
Solid technical capability in SAS and SSIS based Business Intelligence solutions and enterprise level data warehousing platforms (i.e MS SQL/ Oracle/ Teradata)
A customer focused mindset (both internal and external) that influences solutions developed by the team
Team leadership experience in providing technical mentoring and support as well as aligning work programmes to strategic goals and objectives
Excellent stakeholder engagement skills
Ideally a good understanding of Banking operations or from an industry or organisation with highly customer centric operations and values
Strongly developed interpersonal skills with ability to effectively communicate with, both written and verbal, and influence stakeholders across CFW, Retail Risk and Technology
Strong Analytical and statistical skills
Proven experience in developing macros, test planning and script development
Strength in one or more contemporary development languages would be an additional bonus
Please Note: Applications close on 19/02/2020. All applicants must have the unrestricted legal right to work in New Zealand at time of application.
Unfortunately no sponsorship requests can be considered.

About ANZ
Our purpose is to shape a world where people and communities thrive. That’s why we strive to create a balanced, sustainable economy in which everyone can take part and build a better life. By helping people make the most of what they have, we transform ideas, hard work and ambition into reality.

ANZ recognises the value of an inclusive and diverse work environment. We take pride in the diversity of our people and encourage applications from diverse candidates. Our recruitment decisions are based on the key inherent needs and requirements of each role, and candidates are selected based on their unique strengths and characteristics.

The ANZ values are the foundation of how we work and support our customers.

Integrity – We are honest and fair
Collaboration – We work together for the customer
Accountability – We take ownership and get things done
Respect – We care for all those we serve
Excellence – We challenge ourselves to be better

We work flexibly at ANZ. Talk to us about how this role could be flexible for you.

ANZ recognises the importance of flexible working, watch our stories to see how ANZ aims to meet the needs of our customers and to attract and retain the best people in a changing world
https://www.youtube.com/watch?v=sjRskqQN4ss&list=PLk-blY9fPT7ZSqvd93KTW7NPjiF8t7i1C&index=3&t=2s
To find out more about working at ANZ or to view other opportunities visit http://www.anz.co.nz/careers


#GD4.4"
2,Senior Developer (Data & Analytics),ANZ New Zealand,"Mount Victoria, 6011","Provide your Senior Programming skills to data initiatives
There’s never been a better time to join ANZ; we’re flipping traditional banking on its head
Join one of NZ’s largest technology shops; offering huge scope for career opportunity
About the role
We have an exciting opportunity for a Senior Developer to join our Data and Analytics team.
You will work in an agile and collaborative team, working with other engineers and analysts to deliver industry leading technical platform and deployment solutions which are utilised by other Data scrum teams. You will bring modern development techniques and a continuous improvement mind-set to the team and be passionate about sharing these.
You will have the opportunity to share your knowledge grow those around you whilst also applying your skills to deliver continuous improvements to our platform and process. Your day to day will be spent iteratively delivering technical platform solutions as part of a scrum team. You will be passionate about and experienced in agile development practices such as CI/CD pipelines and Test Driven Development, and will help drive continuous improvement in our scrum teams.
You will be a fast learner with a solid technical background and enjoy learning new technologies and platforms.
You will be part of an awesome, collaborative team. You will be well-supported with opportunities for your personal development and growth. Put that into a great team that is growing and changing, and you might just have your ideal role!


Role Location: Wellington
Role Type: Permanent

About you
To be successful in this role, you will bring the following:
You will be a seasoned Senior Java Developer with well-developed technology domain knowledge required
Data warehousing experience preferred, however not essential.
Experience with CI/CD pipeline automation (Jenkins)
Experience or strong interest in DevOps / SRE teams
An understanding of Openshift
A technical knowledge and understanding of Unix commands
Strong Test Automation experience
Experience with Jenkins and Open
Positive can do attitude and an excellent communicator both written, verbal and visual
Problem solver, critical thinker, agile thinker with practical agile experience (Scrum beneficial)
Experience in assisting breaking down larger features in to small increments of work that can be delivered quicker
Growth Mind-set
Some of our other benefits include:
Various leave options, including family Leave, parental Leave (26 weeks fully paid), lifestyle Leave
Staff Banking and Insurance benefits
Dedicated online learning & development portal to develop your skills and career
Southern Cross Health Insurance
Applications close: Wednesday 26th February

About ANZ
Our purpose is to shape a world where people and communities thrive. That’s why we strive to create a balanced, sustainable economy in which everyone can take part and build a better life. By helping people make the most of what they have, we transform ideas, hard work and ambition into reality.
ANZ recognises the value of an inclusive and diverse work environment. We take pride in the diversity of our people and encourage applications from diverse candidates. Our recruitment decisions are based on the key inherent needs and requirements of each role, and candidates are selected based on their unique strengths and characteristics.
The ANZ values are the foundation of how we work and support our customers.


Integrity – We are honest and fair
Collaboration – We work together for the customer
Accountability – We take ownership and get things done
Respect – We care for all those we serve
Excellence – We challenge ourselves to be better

We work flexibly at ANZ. Talk to us about how this role could be flexible for you.

ANZ recognises the importance of flexible working, watch our stories to see how ANZ aims to meet the needs of our customers and to attract and retain the best people in a changing world
https://www.youtube.com/watch?v=sjRskqQN4ss&list=PLk-blY9fPT7ZSqvd93KTW7NPjiF8t7i1C&index=3&t=2s
To find out more about working at ANZ or to view other opportunities visit http://www.anz.co.nz/careers
You may apply for this role by visiting ANZ Careers and search for the reference number NEW040382."
3,Test Analyst,ANZ New Zealand,"Mount Victoria, 6011","Join one of NZ’s largest technology shops; offering huge scope for opportunity
Work in an agile team to deliver value and continuous improvements
Bring your testing and growth mindset to our growing Data team
Plenty of flexible work options available; flexi-place, flexi-time


About The Role
You will join an agile team that focuses on delivering value via our data warehouse. You will be working in a scrum team that values cross skilling, learning and improving what we do to enable fast, quality releases.
In this role, you would have the opportunity to:
Work collaboratively within a high-performing Agile team, working closely with stakeholders to deliver value
Apply your testing skills to ensure we are testing the right things, in the right way
Apply your technical Automation experience in creating Automated tests that run in our CI/CD pipeline
Develop your technical and analytical Database skills
Opportunities for cross skilling and learning
Role Location: Wellington
Role Type: Permanent

About You
To grow and be successful in this role, you will ideally bring the following:
Strong software testing experience with experience in Test Automation
Thorough knowledge and experience with agile testing techniques e.g. risk based, exploratory testing
Ability to learn new skillsets and apply them
Able to apply the concepts around agile testing
SQL experience and understanding desirable
Experience in Java / Groovy and Junit is desirable
You will be experienced with the Atlassian suite – in particular JIRA and Confluence.
Excellent communication and interpersonal skills
Growth mindset
Some of our other benefits include:
Various leave options, including family Leave, parental Leave (26 weeks fully paid), lifestyle Leave
Staff Banking and Insurance benefits
Dedicated online learning & development portal to develop your skills and career
Southern Cross Health Insurance
Applications close: Wednesday 26th February, 2020.

About ANZ
Our purpose is to shape a world where people and communities thrive. That’s why we strive to create a balanced, sustainable economy in which everyone can take part and build a better life. By helping people make the most of what they have, we transform ideas, hard work and ambition into reality.
ANZ recognises the value of an inclusive and diverse work environment. We take pride in the diversity of our people and encourage applications from diverse candidates. Our recruitment decisions are based on the key inherent needs and requirements of each role, and candidates are selected based on their unique strengths and characteristics.
The ANZ values are the foundation of how we work and support our customers.


Integrity – We are honest and fair
Collaboration – We work together for the customer
Accountability – We take ownership and get things done
Respect – We care for all those we serve
Excellence – We challenge ourselves to be better
We work flexibly at ANZ. Talk to us about how this role could be flexible for you.


https://youtu.be/A6ccJeITDTc
ANZ recognises the importance of flexible working, watch our stories to see how ANZ aims to meet the needs of our customers and to attract and retain the best people in a changing world
https://www.youtube.com/watch?v=sjRskqQN4ss&list=PLk-blY9fPT7ZSqvd93KTW7NPjiF8t7i1C&index=3&t=2s
To find out more about working at ANZ or to view other opportunities visit http://www.anz.co.nz/careers
You may apply for this role by visiting ANZ Careers and search for the reference number NEW040327."
4,Graduate Data & Automation Analyst or Intern - Welllington,Stantec,"Wellington City, Wellington","17296BR
Requisition Number:
17296BR
Description:
Communities are fundamental. Whether around the corner or across the globe, they provide a foundation, a sense of place and of belonging. That's why at Stantec, we always design with community in mind .
We care about the communities we serve—because they're our communities too. We're designers, engineers, scientists, and project managers, innovating together at the intersection of community, creativity, and client relationships. Balancing these priorities results in projects that advance the quality of life in communities across the globe.
About the role:
We are looking for someone who will analyse data, create maps and design automated processes with the aid of GIS packages so that our projects are properly managed and achieve the right outcomes for our clients.
Day to day tasks would involve:
\tProducing maps, plans, reports and presentations
\tAnalysing and interpreting data
\tDeveloping and creating solutions to aid stakeholders, clients and other users
\tAssisting with the planning and co-ordination of projects to aid the project managers
\tAssisting with communication and development of ongoing contact with clients as required.
Title:
Graduate Data & Automation Analyst or Intern - Welllington
Qualifications:
To be successful for this role you'll need:
\tBachelor’s degree in Engineering, Science or Mathematics, Geography or Environmental Sciences is useful but not mandatory – an aptitude for computing, data and technology at NCEA level 2 or 3 is sufficient
\tA real interest in developing automated systems
\tCompetent in relevant technical fields, including use of software and computer systems
\tCompetent communicator (both written and verbal).
Job Category:
GIS
Preferred Specifications:
What we offer
Along with a competitive salary we offer many other benefits to ensure your professional development & wellbeing is ongoing.
\tLearning and Talent Development Programs including global programmes, online learning and on-the-job learning
\tMentoring for your own development
\tProfessional Memberships
\tHealth Insurance – Income Continuance Insurance (ICI) – Life Insurance
\tService Recognition Awards
\tEmployee Assistance Program
\tFlexible Working Arrangements
How to apply
Applications close on Sunday 8 March 2020.
To discuss in more detail contact Margaret McMeel 09 580 4502 or 027 544 2930 or apply directly online.
About Stantec:
The Stantec community unites approximately 22,000 employees working in over 400 locations across six continents. We collaborate across disciplines and industries to bring water, transport and infrastructure projects to life. Our work from initial project concept and planning through design, construction and commissioning is built on a nearly 200-year history. So, when we take on a project, we see the opportunity to make a lasting connection with the people and places where we live and work.
Location :
New Zealand-Wellington
Country:
New Zealand
State/Province:
Wellington
City:
Wellington"
5,Qualitative Data Analyst,NZ Gov MBIE,"Auckland City, Auckland","Attention all theme extractor extraordinaires!

We are looking for a student/graduate with a degree in Social Science, Statistics or similar - experience in theme extraction and reporting is a bonus.

We are a small team focused on developing a product with a chat-based interface that encourages open, meaningful conversations between employees and their team leaders. We then turn these conversations into meaningful insights for our clients.

One of our key tasks is reporting. In our reports, we analyse participation rates and common themes used in conversations. This is where you come in. We need someone to read through each conversation and tag/label themes + analyse participation rates using Excel Pivot Tables. Once the data from the theme extraction and participation analysis has been aggregated this will need to be turned into a report which we give to our clients.

This job can be worked remotely or in our office in Auckland CBD. We have reporting templates that you can work off of so it is a matter of replicating reports with updated data. Although hours a week is currently listed at 20, there may be opportunity for more work in future for the right candidate!



The Ideal Candidate:
Is a fast learner and is keen to work in the data analysis space
Is experienced in theme extraction or willing to learn
Is proficient in Excel, Pivot Tables experience is a bonus
If you are interested in this role apply now!"
6,Analyst/Research and Data Analyst,New Zealand Government,"Wellington City, Wellington","Are you good with evidence and insights?
Do you bring a mix of qualitative and quantitative skills?
Are you lively, an excellent communicator, confident about your abilities yet willing to learn more?
Are you interested in building your evaluation skillset, working alongside other experienced evaluators?
We have an exciting opportunity for a mid-level or emerging analyst to join the Building and Tenancy Evidence & Insights team at MBIE.
Why work for us?
MBIE's Evidence and Insights branch develops the evidence base for MBIE's decision making. We provide trusted information on the impact and effectiveness of government initiatives. We provide the data, analysis, and insights that help decision-makers do their best work. We support and influence the policy debate and provide direct advice to Government and information to stakeholders and the public. With over 70 staff, we have a broad range of expertise and offer excellent opportunities for development.
The Building and Tenancy team is a multidisciplinary group delivering research, analytics and evaluation, focused primarily on the building system. We are looking for someone who will bring curiosity and new perspectives to the team.
About the role
As a permanent employee within the Building and Tenancy team, you will be engaging with policy and operational teams within MBIE and other parts of government, and with industry stakeholders. You will work also with the building research community, and provide evidence and analysis to a wide range of people who have a stake in the building system. You will be interested in the building system and/or regulatory settings more generally.
We value creative and curious minds, and we will expose you to advanced qualitative and quantitative techniques and challenge your thinking.
A social science or economics qualification, and the ability to contribute across the range of the team's work, supporting evaluation projects but also being comfortable with data, would be a strong advantage.
Skills and experience required

You will:
Have a willingness to learn.
Enjoy working with policy teams to understand the issues relevant to them and how research might provide relevant insights to them
Foster an open, collaborative environment that encourages quality, innovation, on-going learning and knowledge sharing
Be able to work independently as well as seek advice when needed
Be able to develop and implement projects and deliver results
Be customer-focused and develop strong relationships with key stakeholders
Have a legal right to live and work in NZ
About MBIE:
The purpose of the Ministry of Business, Innovation and Employment (MBIE) is to Grow New Zealand for All. Our goal is to create a strong and high-performing economy by creating an environment that supports businesses to become more productive and internationally competitive.

How to apply:
Click on the APPLY button below in order to be directed to our on-line careers website. You may view a position description at this site, as well as complete the on-line application, and upload a CV and cover letter. For tracking and evaluation purposes, all applications must be submitted via our on-line process.
Email Fi Sanderson at Fi.Sanderson@mbie.govt.nz quoting ref MBIE-1448923 if you have any further questions.
Applications close at 5pm on Wednesday 26 February 2020."
7,Analyst/Research and Data Analyst,Tenzing,"Wellington City, Wellington","Are you good with evidence?
Can you bridge the gap between the technical and the strategic?
Do you bring a mix of qualitative and quantitative skills?
Are you lively, an excellent communicator, confident about your abilities yet willing to learn more?
Why work for us?
The Evidence and Insights branch develops the evidence base for MBIE's policy and operational decision making. We provide trusted information on the impact and effectiveness of government initiatives. We provide the data, analysis, and insights that help decision-makers do their best work. We support and influence the policy debate and provide direct advice to Government and information to stakeholders and the public.
The Migration team is a group of experienced researchers, evaluators and data analysts. We are looking for someone who will bring curiosity and new perspectives to the team.
About the role
As a permanent employee in a Research and Data Analyst role within the Migration team, you will be engaging with MBIE's policy and operational teams, working with the migration research community and providing evidence and analysis to a wide range of people who have a stake in the immigration system.
We value creative and curious minds, and we will expose you to advanced qualitative and quantitative techniques and challenge your thinking.
A social science or economics qualification, and the ability to contribute across the range of the team's work, supporting evaluation projects but also being comfortable with data, would be a strong advantage.
Skills and experience required

You will:
Have a willingness to learn.
Enjoy working with policy teams to understand the issues relevant to them and how research might provide relevant insights to them
Foster an open, collaborative environment that encourages quality, innovation, on-going learning and knowledge sharing
Be able to work independently as well as seek advice when needed
Be able to develop and implement projects and deliver results
Be customer-focused and develop strong relationships with key stakeholders
Have a legal right to live and work in NZ
About MBIE:
The purpose of the Ministry of Business, Innovation and Employment (MBIE) is to Grow New Zealand for All. Our goal is to create a strong and high-performing economy by creating an environment that supports businesses to become more productive and internationally competitive.

How to apply:
Click on the APPLY button below in order to be directed to our on-line careers website. You may view a position description at this site, as well as complete the on-line application, and upload a CV and cover letter. For tracking and evaluation purposes, all applications must be submitted via our on-line process.
Email Fi Sanderson at Fi.Sanderson@mbie.govt.nz quoting ref MBIE/1450828 if you have any further questions.
Applications close at 5pm on Tuesday 3 March 2020."
8,Data Analyst Consultant,New Zealand Government,"Wellington City, Wellington","We work with a diverse set of client across many different industries including some of Australasia's best-known organisations and as a result we are able to provide interesting and challenging opportunities for our consultants. We have a small, highly-skilled team that operates across Auckland, Wellington and Sydney. Due to high demand, we need to grow.
We are currently looking for people with a range of business data analysis or data science skills and experience to join our Wellington team. You will have a passion for understanding business data and how it can be used to surface meaningful and clearly articulated insight that can drive innovation and operational excellence.
We are looking for people with experience in:
Working in collaboration with business clients to quickly understand business problems and developing analytics hypotheses
Using data analysis techniques to deal with messy or incomplete data, understanding the potential for bias in data and being able to come up with strategies to account for such issues
Preparing data for analytics
Carrying out exploratory analysis and description tasks
Producing data visualisations using diverse data and making your analysis tell a story to busy business executives in their language
Applying your data analysis experience to problem domains such as customer segmentation, marketing, sentiment analysis, causal analysis, credit risk, fraud prediction, or similar scenarios
Like us, you will be open-minded about the tools you use to do the job and be happy to use SAS, SQL, Python, PowerBI/Tableau or similar in your work. Experience with cloud-based or cloud native tools would be an advantage.
You will be comfortable operating in an agile team environment and ideally have experience using agile techniques and ceremonies.
You will have a tertiary qualification in computer science or similar disciplines and have at least two years of data analysis work experience in a real-world setting.
Consulting experience is desirable and experience in industries such as banking, insurance, energy, telco or government is essential.
In return, you'll be joining a close-knit, diverse and professional team with exciting and challenging Projects. The role will be personally rewarding as you support transformational change in Australasia's top organisations. Our high-performing culture is second to none, while retaining the support and collegial environment that reflects our New Zealand owned heritage.
We offer competitive salaries to reflect your experience and provide comprehensive learning frameworks to ensure you reach your full potential. As well as a bonus component, we also offer the opportunity to opt for 5 or 6 weeks annual leave and provide other health related benefits.
If this sounds like you, we look forward to hearing from you!"
9,"Principal Analyst, Data Services",ANZ Internal Job Board,"Wellington City, Wellington","Use data and statistical analysis to provide high level advice, thought leadership and strategic direction
Work with an experienced and talented group of specialists
SQL and R are our technologies of choice for our Data Services team
About us | Ko wai mātou
At Waka Kotahi, the NZ Transport Agency, it all starts with our people. The organisation's performance and success depends on the people who choose to make this a great place to work and make a difference for Aotearoa. The Transport Agency has a strong future focus, understanding that new technologies and changing customer expectations mean the transport system we know today will not be the one we deliver in ten years time.
The Data Services team extracts and analyses data to create quality information to support understanding of, and inform fact based decision making across, the land transport system.
The opportunity | Te Whiwhinga mahi
The purpose of this role will be to focus on high quality and well researched, reasoned data and statistical analysis to provide high level advice, thought leadership, and strategic direction to positively influence the NZTA strategic objectives.
You will apply critical thinking to Transport Agency initiatives and plans, and identify opportunities to provide relevant statistical analysis activities to improve outcomes on all projects.
Your highly developed analytical skills will allow you to undertake complex analysis and interpretation of data contained in the Transport Agency databases, along with strong coding skills, and the ability to review, coach and mentor other analysts.
It is essential this role develops key relationships both externally and internally, to ensure the team is well positioned to be a key strategic partner, becoming an important influencer and trusted advisor.
About you | Ko koe tēnei

To be successful in this role, you will bring:
Significant experience in data science or statistical analysis working with complex data queries from multiple data bases
Proven experience in data manipulation and analysis, turning raw data into valuable and relevant intelligence and insights
Advanced level of computing skill including the use of SQL and R (or similar analytical tool).
Sound understanding of Government Open Data initiatives
Thorough understanding of the principals of the Official Information and Privacy Acts
Experience in mentoring and coaching other analysts
A relevant graduate qualification in the statistics, or similar discipline requiring the analysis of complex data is preferred
Should you have the interest and passion to succeed in this exciting opportunity, we would love to hear from you!
Applications close | Rā Katinga: Friday 28 February
Job description is either available as an attachment below or can be accessed through this link: https://careers.nzta.govt.nz/jobs/NZTA-1410229A
For further information, email: careers@nzta.govt.nz
To be considered for this position you must have a legal right to live and work in New Zealand.
NZ Transport Agency is an equal opportunity employer (EOE). At the Agency we recognise the importance of diversity and inclusion and are committed to providing a working environment that embraces these values. Please let us know if you need any support or have any access requirements that will help you through the recruitment process."
