,Job_title,Company_name,Locations,Summary
0,Business Analyst,Michael Page,"Auckland City, Auckland","Immediate start - 6 month contract
Renowned NZ clothing brand
About Our Client
This company is a highly desirable employer - an iconic kiwi clothing brand looking for someone to start ASAP in their finance team. Working in the retail industry you can expect high volumes, fast pace, variety in processing and you'll need to be able to think on your feet! This is a seriously cool company - established over 100 years ago, they create clothing for trusted sports teams and every day Kiwi's.
Job Description
This role is responsible for establishing effective performance reporting, and an efficient and accurate flow of financial data and commentary throughout the business. To provide timely, accurate and insightful data and analysis, with a focus on driving the business forward from a commercial viewpoint, enabling strategic planning and decision making.
Responsibilities will include:
Comprehensive understanding of actual and forecast sales & margin performance, with tracking of risks and opportunities.
Establish performance analysis, forecast models & reporting on all areas of business performance both financially and commercially that assist the business in delivery of targets and decision making.
Partnering with commercial and product leads to build and validate commercial plans built by channel, customer and product group - instilling a process of cyclical review and reforecasting - and coordinating sales & margin input for annual budgets and rolling forecasts.
Assist with preparation of annual budget/forecast building for all sales, margin and royalty numbers
Leading the inventory review process - ensuring early identification of, and actions to clear, slow moving stock lines.
Collation & distribution of daily, weekly and monthly sales, margin & stock reporting
Improving the provision, accessibility and consistency of sales and margin data - driving automation and 'self-service' where practical.
Providing product teams with historic and forecast product and margin performance and parameters to inform range build - including target sales, margin and SCO productivity by range.
Establish range KPIs for ANZ. Provide product teams with historic and forecast product and margin performance and parameters to inform range build - including target sales, margin and SCO productivity by range. Provide insight as to opportunities to better drive sales and/or profit. Development of analysis pack to support proposition and range sell-in proposals.
Recommend how to regularly report on channel profitability and cost to serve. Provide recommendations and insight as to how to improve channel/asset profitability.
The Successful Applicant
A Degree level or equivalent education in relevant field (accounting or finance)
Proven analytical skills backed up by a high level of commercial acumen and financial understanding
Ability to build strong relationships with senior stakeholders to engage and influence
Experience of working within tight deadlines and ability to multitask.
The ability to interpret large quantities of data and identify and communicate pertinent points, utilising independent thinking, judgement and visual modelling to further the value of analysis.
Recognition of revenue & cost drivers & the business cycle
Advanced knowledge of MS Excel.
What's on Offer
The opportunity to work for an iconic Kiwi brand with a great company culture and environment.
Contact:
Andrew Batey
Quote job ref: 107446123
+64 9 354 8122
Save Job
Apply
Business Analyst
From email *
To email *
This company is a highly desirable employer - an iconic kiwi clothing brand looking for someone to start ASAP in their finance team. Working in the retail industry you can expect high volumes, fast pace, variety in processing and you'll need to be able to think on your feet! This is a seriously cool company - established over 100 years ago, they create clothing for trusted sports teams and every day Kiwi's.
Job Description
This role is responsible for establishing effective performance reporting, and an efficient and accurate flow of financial data and commentary throughout the business. To provide timely, accurate and insightful data and analysis, with a focus on driving the business forward from a commercial viewpoint, enabling strategic planning and decision making. Responsibilities will include:
Comprehensive understanding of actual and forecast sales & margin performance, with tracking of risks and opportunities.
Establish performance analysis, forecast models & reporting on all areas of business performance both financially and commercially that assist the business in delivery of targets and decision making.
Partnering with commercial and product leads to build and validate commercial plans built by channel, customer and product group - instilling a process of cyclical review and reforecasting - and coordinating sales & margin input for annual budgets and rolling forecasts.
Assist with preparation of annual budget/forecast building for all sales, margin and royalty numbers
Leading the inventory review process - ensuring early identification of, and actions to clear, slow moving stock lines.
Collation & distribution of daily, weekly and monthly sales, margin & stock reporting
Improving the provision, accessibility and consistency of sales and margin data - driving automation and 'self-service' where practical.
Providing product teams with historic and forecast product and margin performance and parameters to inform range build - including target sales, margin and SCO productivity by range.
Establish range KPIs for ANZ. Provide product teams with historic and forecast product and margin performance and parameters to inform range build - including target sales, margin and SCO productivity by range. Provide insight as to opportunities to better drive sales and/or profit. Development of analysis pack to support proposition and range sell-in proposals.
Recommend how to regularly report on channel profitability and cost to serve. Provide recommendations and insight as to how to improve channel/asset profitability.
The Successful Applicant
A Degree level or equivalent education in relevant field (accounting or finance)
Proven analytical skills backed up by a high level of commercial acumen and financial understanding
Ability to build strong relationships with senior stakeholders to engage and influence
Experience of working within tight deadlines and ability to multitask.
The ability to interpret large quantities of data and identify and communicate pertinent points, utilising independent thinking, judgement and visual modelling to further the value of analysis.
Recognition of revenue & cost drivers & the business cycle
Advanced knowledge of MS Excel.
What's on Offer
The opportunity to work for an iconic Kiwi brand with a great company culture and environment.
"", ""jobLocation"" : { ""@type"" : ""Place"", ""address"" : { ""@type"" : ""PostalAddress"", ""addressLocality"" : ""Auckland"", ""addressRegion"" : ""New Zealand"", ""addressCountry"" : ""NZ"" } } }

Function:Accounting & Finance
Specialisation:Business Analysis
Industry:Retail
Location:Auckland
Contract Type:Temporary
Consultant name:Andrew Batey
Consultant phone:+64 9 354 8122"
1,Commercial Analyst,Robert Half New Zealand,"Mount Wellington, Auckland","The Company
My client is a large corporate organisation with turnover well in excess of $200M. Operating in the service based industry, this company provides a great service to many of us as individuals and has a well known brand. The culture of the company is great - work life balance is respected and this really is a place where people enjoy working.
The Role
The role of Commercial Analyst will report into the CFO where you will be responsible for assisting with the organisations top and bottom line growth through the following core activities:
Partner with BU Managers on capex and opex spend
Analyse variances to standard costs
Providing insights to key decision makers
Contribute to weekly and monthly management reports
Support systems and process improvement for both costing and operations reporting
Analysing and tracking key business initiatives
Budgets and forecasting at BU and national level
Modelling of key strategic initiatives
Assisting with business cases
This is a role where you will be focused operationally and be analytical minded. Strong modelling, analysis and stakeholder management is key.
Your Profile
You will possess superb communication skills, a great work ethic and a bright persona. You must have a can do attitude and a willingness to improve on things being done already. It is essential that you have proven experience at this level and strong modelling skills.
Apply Today
Please send your resume in Microsoft Word format by clicking on the apply button or for further information, contact Ronil Singh or Tanya Beets in our Auckland office on 09-915-6700.
Job Reference No:
06900-0011367769"
2,Manager Credit Risk,ANZ New Zealand,"Mount Victoria, 6011","We are looking for an intuitive Credit Risk Manager
Be part of implementing to new legislative changes in FY20 & FY21 (CCCFA)
Career progressing Secondment opportunity


About The Role

In this role, you would have the opportunity to:
Provide leadership on risk strategy and responsible lending standards across the credit life cycle of the business banking portfolio
Lead in delivery, and engagement of stakeholder, of 3 initial Insurance /climate change deliverables
Oversee and lead the analytics and deliver strategic changes to improve delinquency trend, includes of insights for stakeholders
Deliver key analytics and narration in the delivery of PIR for new business scorecard card and in collaboration with Mortgages Credit Risk the PIR for the mortgage scorecard
Work closely with SME resources to build bench strength around all facets relating all type of residential property and all methods of valuations, including the delivery of an optimal framework to utilise property data.
Work closely with both internal and external stakeholders to ensure risk management activities are optimal
Mentor Analysts in the team
High exposure and high risk judgmental credit decisioning


Role Location: Wellington or Auckland
Role Type: 7 month Fixed Term Contract

About You

To grow and be successful in this role, you will ideally bring the following:
An understanding of the credit life cycle and the key drivers of profitability within retail and business products
Strong analytic and statistical skills and knowledge of SAS, SPSS and Strategy Manager
An ability to analysis and make decisions quickly and effectively
Relationship Management with stakeholders and tams to coach and mentor


About ANZ
Our purpose is to shape a world where people and communities thrive. That’s why we strive to create a balanced, sustainable economy in which everyone can take part and build a better life. By helping people make the most of what they have, we transform ideas, hard work and ambition into reality.

ANZ recognises the value of an inclusive and diverse work environment. We take pride in the diversity of our people and encourage applications from diverse candidates. Our recruitment decisions are based on the key inherent needs and requirements of each role, and candidates are selected based on their unique strengths and characteristics.

The ANZ values are the foundation of how we work and support our customers.

Integrity – We are honest and fair
Collaboration – We work together for the customer
Accountability – We take ownership and get things done
Respect – We care for all those we serve
Excellence – We challenge ourselves to be better

We work flexibly at ANZ. Talk to us about how this role could be flexible for you.

ANZ recognises the importance of flexible working, watch our Global Stories to see how ANZ aims to meet the needs of our customers and to attract and retain the best people in a changing world.

To find out more about working at ANZ or to view other opportunities visit anz.co.nz/careers

You may apply for this role by visiting ANZ Careers and search for the reference number NEW040211

Applications close Tuesday 3rd March."
3,Portfolio Analyst,New Zealand Government,"Wellington City, Wellington","At the New Zealand Security Intelligence Service (NZSIS), we're not content to watch the world change around us – we need to stay ahead of the curve to make sure we're doing the best we can for New Zealand. We want to inject new perspectives, fresh ideas and innovative ways of doing things. We're looking for a talented Portfolio Analyst of business change programme and projects to join our newly formed Change Delivery team.
The NZSIS Capability Directorate is responsible for ensuring the NZSIS is well positioned to keep New Zealand and New Zealanders safe – both now and into the future. We deliver business and capability development, while ensuring our investment in technology and other capabilities is prioritised to deliver our strategic outcomes.
We have a busy change programme, across a broad an exciting portfolio of programmes and projects. We need a Portfolio Analyst to achieve the following:

Enable Leadership to have effective oversight of Strategic Change by providing detailed insights, trend analysis and reporting (including project and programme milestones, deliverable, finances and other key performance metric)of the NZSIS Portfolio of projects and programmes
Be responsible for assessing, monitoring and reporting on projects and programme's across the NZSIS
Build confidence and resilience through effective portfolio reporting that enable the NZSIS to effectively plan and manage change.
Support the Capability Directorate to deliver on current and future requirements by influencing sustainable investment decisions through highly effective analysis and reporting products.
This is an 18 month fixed term contract with the potential to become full-time in the future.
Our successful candidate will have a high degree of professionalism and integrity, and will be a great team player.
As well as interesting work, we offer a range of benefits that include training opportunities, health insurance, a fun social club, and on-site gym and fitness facilities. We also promise you will never have to take work home with you!
If you are looking for an opportunity to work in an exciting and dynamic environment and make a contribution to New Zealand's national security, then this is the role for you!
A position description can be found on our website
How to apply
For further information about the NZSIS and details of how to apply visit www.nzsis.govt.nz. Please note that all applications must include an application form.
To be eligible for employment within the NZIC you must have been a NZ citizen for at least 10 years. Alternatively you must hold NZ Permanent Residence or hold a current NZ Residency Class Visa and have been a citizen of UK, USA, Canada or Australia for at least 10 years.
You must be able to obtain and maintain a high level security clearance. Ordinarily to obtain this level of clearance candidates must have a 15 year checkable background in countries where meaningful and reliable checks can be undertaken. Where requisite checks are unable to be made, the candidate application may not be able to be progressed.
Applications close 4 March 2020.
The NZIC treats all applications for employment in the strictest confidence and we ask that you maintain a similar level of confidentiality. You are expected to exercise discretion during the recruitment process and throughout your career."
4,Analyst/Research and Data Analyst,NZ Gov MBIE,"Wellington City, Wellington","Are you good with evidence and insights?
Do you bring a mix of qualitative and quantitative skills?
Are you lively, an excellent communicator, confident about your abilities yet willing to learn more?
Are you interested in building your evaluation skillset, working alongside other experienced evaluators?
We have an exciting opportunity for a mid-level or emerging analyst to join the Building and Tenancy Evidence & Insights team at MBIE.
Why work for us?
MBIE's Evidence and Insights branch develops the evidence base for MBIE's decision making. We provide trusted information on the impact and effectiveness of government initiatives. We provide the data, analysis, and insights that help decision-makers do their best work. We support and influence the policy debate and provide direct advice to Government and information to stakeholders and the public. With over 70 staff, we have a broad range of expertise and offer excellent opportunities for development.
The Building and Tenancy team is a multidisciplinary group delivering research, analytics and evaluation, focused primarily on the building system. We are looking for someone who will bring curiosity and new perspectives to the team.
About the role
As a permanent employee within the Building and Tenancy team, you will be engaging with policy and operational teams within MBIE and other parts of government, and with industry stakeholders. You will work also with the building research community, and provide evidence and analysis to a wide range of people who have a stake in the building system. You will be interested in the building system and/or regulatory settings more generally.
We value creative and curious minds, and we will expose you to advanced qualitative and quantitative techniques and challenge your thinking.
A social science or economics qualification, and the ability to contribute across the range of the team's work, supporting evaluation projects but also being comfortable with data, would be a strong advantage.
Skills and experience required

You will:
Have a willingness to learn.
Enjoy working with policy teams to understand the issues relevant to them and how research might provide relevant insights to them
Foster an open, collaborative environment that encourages quality, innovation, on-going learning and knowledge sharing
Be able to work independently as well as seek advice when needed
Be able to develop and implement projects and deliver results
Be customer-focused and develop strong relationships with key stakeholders
Have a legal right to live and work in NZ
About MBIE:
The purpose of the Ministry of Business, Innovation and Employment (MBIE) is to Grow New Zealand for All. Our goal is to create a strong and high-performing economy by creating an environment that supports businesses to become more productive and internationally competitive.

How to apply:
Click on the APPLY button below in order to be directed to our on-line careers website. You may view a position description at this site, as well as complete the on-line application, and upload a CV and cover letter. For tracking and evaluation purposes, all applications must be submitted via our on-line process.
Email Fi Sanderson at Fi.Sanderson@mbie.govt.nz quoting ref MBIE-1448923 if you have any further questions.
Applications close at 5pm on Wednesday 26 February 2020."
5,Qualitative Data Analyst,New Zealand Government,"Auckland City, Auckland","Attention all theme extractor extraordinaires!

We are looking for a student/graduate with a degree in Social Science, Statistics or similar - experience in theme extraction and reporting is a bonus.

We are a small team focused on developing a product with a chat-based interface that encourages open, meaningful conversations between employees and their team leaders. We then turn these conversations into meaningful insights for our clients.

One of our key tasks is reporting. In our reports, we analyse participation rates and common themes used in conversations. This is where you come in. We need someone to read through each conversation and tag/label themes + analyse participation rates using Excel Pivot Tables. Once the data from the theme extraction and participation analysis has been aggregated this will need to be turned into a report which we give to our clients.

This job can be worked remotely or in our office in Auckland CBD. We have reporting templates that you can work off of so it is a matter of replicating reports with updated data. Although hours a week is currently listed at 20, there may be opportunity for more work in future for the right candidate!



The Ideal Candidate:
Is a fast learner and is keen to work in the data analysis space
Is experienced in theme extraction or willing to learn
Is proficient in Excel, Pivot Tables experience is a bonus
If you are interested in this role apply now!"
6,Analyst/Research and Data Analyst,Kiwibank,"Wellington City, Wellington","Are you good with evidence?
Can you bridge the gap between the technical and the strategic?
Do you bring a mix of qualitative and quantitative skills?
Are you lively, an excellent communicator, confident about your abilities yet willing to learn more?
Why work for us?
The Evidence and Insights branch develops the evidence base for MBIE's policy and operational decision making. We provide trusted information on the impact and effectiveness of government initiatives. We provide the data, analysis, and insights that help decision-makers do their best work. We support and influence the policy debate and provide direct advice to Government and information to stakeholders and the public.
The Migration team is a group of experienced researchers, evaluators and data analysts. We are looking for someone who will bring curiosity and new perspectives to the team.
About the role
As a permanent employee in a Research and Data Analyst role within the Migration team, you will be engaging with MBIE's policy and operational teams, working with the migration research community and providing evidence and analysis to a wide range of people who have a stake in the immigration system.
We value creative and curious minds, and we will expose you to advanced qualitative and quantitative techniques and challenge your thinking.
A social science or economics qualification, and the ability to contribute across the range of the team's work, supporting evaluation projects but also being comfortable with data, would be a strong advantage.
Skills and experience required

You will:
Have a willingness to learn.
Enjoy working with policy teams to understand the issues relevant to them and how research might provide relevant insights to them
Foster an open, collaborative environment that encourages quality, innovation, on-going learning and knowledge sharing
Be able to work independently as well as seek advice when needed
Be able to develop and implement projects and deliver results
Be customer-focused and develop strong relationships with key stakeholders
Have a legal right to live and work in NZ
About MBIE:
The purpose of the Ministry of Business, Innovation and Employment (MBIE) is to Grow New Zealand for All. Our goal is to create a strong and high-performing economy by creating an environment that supports businesses to become more productive and internationally competitive.

How to apply:
Click on the APPLY button below in order to be directed to our on-line careers website. You may view a position description at this site, as well as complete the on-line application, and upload a CV and cover letter. For tracking and evaluation purposes, all applications must be submitted via our on-line process.
Email Fi Sanderson at Fi.Sanderson@mbie.govt.nz quoting ref MBIE/1450828 if you have any further questions.
Applications close at 5pm on Tuesday 3 March 2020."
7,Insight Analyst,Vista Entertainment Solutions,"Auckland City, Auckland","Auckland or Wellington.
Want to innovate and add value in 2020? This could be your chance!
Bring your reporting and analysis experience to a great team.
Kiwibank has come a long way since we first burst onto the scene to change banking in NZ in 2002. We recognise that we have grown a huge amount since we started this great journey, we have learnt a lot, and are now working out what we have to do internally to streamline and to future proof ourselves.
Due to internal transfers, we now have a new opportunity for a multi-skilled Insights Analyst to join us. We live in a technicolour world, so if you like to live in the defined world of black and white this role won't be for you.
What's the role about?
This role provides a critical function in supporting our large number of customer facing and digital teams that help make Kiwi's financially better off. The people we are looking for will cover a very broad spectrum of reporting and analysis, so a knack for data modelling and forecasting would definitely be useful.
Our team are highly engaged and well-led with a pragmatic, business focussed and positive leader.
What skills are we looking for?
The ability to identify how we can automate and provide actionable insight will come as second nature to you. As you will be working with customer facing channels, superior stakeholder engagement is also a must. We don't do things by halves here - so we need you to have a strong aptitude toward business and customer outcomes which is facilitated by utilising both your analytical and detail-driven skills.
To be able to achieve all this, we want you to have extensive experience in a commercial environment manipulating and analysing data.
We are looking for someone that has not only has proven modelling and analytical skills but also first-hand experience in building reports and visualisations.
It is critical that you can demonstrate the ability to connect with end users and deliver successful business outcomes.
If you have a strong desire to innovate, and to use your experience to maximise key performance in the business - we would love to hear from you.
Applications close on Sunday 23 February @ 9pm, but we will review applications as we go - so don't delay. Apply Now!
At Kiwibank we're all about making Kiwis better off. That means for our customers, our communities, and our own people. We are continuously striving for an inclusive culture where everyone has the opportunity to thrive. We are committed to providing a workplace that is safe, flexible, and accessible."
8,Junior Financial Analyst,Tenzing,"Epsom, Auckland","We have an exciting opportunity for a Junior Financial Analyst to provide management accountancy and business partnering services at a leading health provider.

This permanent full-time role will form part of our small Financial Insights team based in Epsom.

Main duties will include:
Preparing monthly financial and management reports
Investigating variances to budget alongside our Operational Managers
Assisting with the annual forecasting and budgeting process
Supporting Business Intelligence Tool (Qlikview) upgrades and improvements
Identifying opportunities for improvement and enhancing reporting
Ad-hoc analysis and project work

So what are we looking for in the ideal candidate?
Bachelor's degree in a relevant discipline (Accounting / Finance / Commerce)
Some experience in a finance-based role - ideally at least 1 year
Ability to use MS Office Suite, particularly Excel, at an Intermediate to Advanced level
Problem-solving aptitude - ability to generate innovative solutions to issues
Strong attention to detail
Ability to produce meaningful insights from datasets
Strong communication skills and ability to convey information clearly and succinctly
And it goes without saying - a team player!
To allow you to ""hit the ground running"", you will be able to demonstrate experience with Microsoft Office suite particularly Excel , strong communication skills (both written and verbal) and excellent relationship building skills which are essential for your success in this role.

And what will we offer to you in return?
We are part of the Healthcare Holdings Group of companies and is NZ's largest private surgical facility with 22 theatres across three sites including ICU and cardiac intervention facilities. We offer a competitive package that includes flexible working hours, free car-parking, 4 weeks paid annual leave with an option to purchase one additional week, and many other benefits. Here we value being adaptable, having effective communication skills, being accountable for our actions and providing excellent customer service.

If this role sounds like the opportunity you're waiting for - hit APPLY now!

Applications close midnight 28th February 2020"
9,Intern and Graduate Programme,MercyAscot,New Zealand,"Is the world your future home?
Do you think outside the box? We're looking for smart problem solvers and enthusiastic team players to join our world-leading tribe in our goal for global domination.


We're looking for
Interns
Join our team of brilliant individuals. You'll learn all about the Vista world, what we do, and how we do it. From day one you'll be tackling live projects and real issues. Complement your studies with new skills and practical experience as a summer intern at Vista. Applications are now closed for 2019/2020 summer internships.
Grads
The first step of your career is an important decision, and Vista will provide the stage for your A+ performance to take off from the get-go. We will be your mentors, coaching and encouraging you to develop your skills and potential to be world class. Applications are now closed.
We're looking for our soon-to-be:
Software Developers
Test Analysts
Software Services Consultants
Business Analysts
Do you have what it takes?

Our great tech stack

Good things with good people
Built with love, insights, and innovation, Vista Cinema is the global market leader for cinema management software:
40% market share worldwide (20+ screens)
600+ staff worldwide
8 offices across all continents (we are still working on Antarctica)
49,000 screens worldwide with our software
At Vista we love cinema - we live it, work it, breathe it. Our purpose is to enhance the cinema experience for all. You will join an inclusive vibrant workplace with a culture that values individuality in all things. We have a proven history of dynamic career paths, so you can shape your own to be unique and fulfilling. Opportunity knocks with chances to travel the world visiting client sites and working in our global offices.

Benefits
World class mentors
Healthy sign on bonus (Grads)
Great social calendar
(Ski trip, sports teams)
Flexible hours
Competitive salaries
No dress code
Free quarterly movie tickets
Free coffee
& cookies, Friday drinks
Innovation Cup & VistaEd
Safe and welcoming workplace - Rainbow Tick
Intern & grad projects
Our fantastic people will mentor, coach, and encourage you to develop your potential as you work on projects. Vista’s success is built on recognising the importance of everyone's contributions, and we regularly attend key technology events, help staff achieve technical certification, and have a structured training program designed to help you grow and upskill. You will be ready to conquer real world challenges.
Timeline 2019
Applications open – 30th April
Auckland Fair – 30th April & 1st May
Victoria Fair – 9th & 10th May
Otago Fair – 14th May
Canterbury Fair – 15th May
Applications close – 31st May
Interviews – June/July
Vista Day (Assessment Centre) - July/August
Offers – August"
