,Job_title,Company_name,Locations,Summary
0,Maintenance Engineer,Thermo Fisher - APAC,"Auckland City, 1010","About New Zealand
Over 350 employees bring a wide variety of skills and expertise to deliver world-class science products and solutions. Our manufacturing and distribution sites in Auckland and Christchurch (and satellite sites scattered across the country) cover a vast product portfolio, including lab equipment and chemicals, life sciences, diagnostics, microbiology and analytical instruments. We deliver science solutions to a wide range of key markets such as academia and research; diagnostics and healthcare; environmental; food, dairy and beverage; industrial process; life sciences; pharmaceutical and biopharmaceutical.

How will you make an impact?
From the ownership for maintenance activities both planned and unplanned, utilizing operational excellence and continuous improvement tools to improve equipment reliability and enable maximum utilization to ensure delivery to customers.

What will you do?
This is a hands on role involving daily attendance to shop floor repairs and maintenance.
Organize and implement preventative maintenance plans, coordinate workload of required tasks and maintain records to ensure maintenance is completed according to plan.
Complete planned and unplanned maintenance activities
Communicate openly with departments on all maintenance issues keeping departments aware of plant and equipment condition and availability.
Liaise with maintenance contractors when required and ensure work carried out by contractors is completed safely and efficiently and in accordance with regulatory requirements.
Actively participate in EHS system by adhering to policies and procedures and reporting hazards to ensure a safe and healthy workplace environment.
Lead by example. Set and expect high standards of performance and behaviour in line with the company’s 4I values.
Apply Practical Process Improvement (PPI) tools and techniques to achieve continuous improvement & contribute to company PPI initiatives.
Review, edit and create maintenance documentation including standard operating procedures (SOP’s).
How will you get here?
Education
Qualified mechanical or electrical engineer with minimum 10 years experience in plastics industry or related manufacturing environment.
Experience
Electrical/mechanical/hydraulic experience in fault finding and manufacturing plant and equipment.
Repair of injection molding machines desirable.
Knowledge, Skills, Abilities
Proficient in Microsoft applications including Microsoft office.
Knowledge of PLC systems.
Organizational skills with an ability to prioritize, manage time effectively and meet agreed deadlines.
Effective interpersonal, communication and listening skills.
Ability to work within a dynamic, fast pace environment.
Proven skills in developing and motivating others.
Strong problem solving skills.
Customer focused.
The ability to create and foster meaningful and beneficial relationships with colleagues and suppliers.
What will put you ahead of the competition?
Proven results in plant maintenance role.
Strong track record in Health and Safety.
Experience in driving continuous improvement.
What’s in it for you?
Work in a collegial, customer focused and motivated team.
Work within a strong culture of process improvement and lots of great tools.
Embedded quality system.
Ongoing learning and development opportunities on the job and through our own on-line Thermo Fisher University."
1,Storesperson/Warehouse Assistant,Greenlight Recruitment,"Christchurch City, Canterbury","ABOUT THE COMPANY As the leading supplier of industrial and safety products and services in Australia, New Zealand and Indonesia, it is important that they employ the most talented people to support their operations. ABOUT THE ROLE Your role will be working closely with your team and manager to ensure orders are ready for dispatch. This involves checking and picking orders, using a wave machine when needing to get something from the higher shelves (training given), stock taking and learning the various 3000+ products they store. FOR YOUTemp to Perm OpportunityImmediate start for the right personGreat Career OpportunitiesPositive, happy team environment Weekends off Full training given LOOKING FORGood accuracy and numeracy skills Good written and verbal communication skillsOSH certificate – advantage not mandatoryPass a pre-employment drug testReliable transportSOUND LIKE YOU?Apply via the link to Louise KaratauaNOT QUITE YOU?

Always wondered why you hear about your dream job after its gone? Over 50% of our freight & logistics roles are filled without being advertised - if you're in the industry make sure you're registered with us so you don't miss out on these opportunities."
2,"FABRICATORS REQUIRED for EAST TAMAKI, AUCKLAND",KCS Recruitment,"East Tamaki, 2013","!!! FABRICATORS WANTED NOW !!!
This is a junior entry level position with full mentoring as you progressFull training and orientation will be provided for the chosen candidatesWe are looking for young up and coming Fabricators who are keen to learn and can be trained.Full NZQA professional tickets will obtained as you progressYOU must be good at learning (not technical), good at numbers, able to read drawing, physically fit and excellent attention to detailYou must also have a full Class 1 drivers license
Working days and timings are Monday to Friday from 8:00am to 4:00pmThe starting rate is $20/hour and will be reviewed with performance and timeThis is a Temp to Permanent role in East Tamaki Understand and follow blueperint plans and drawingsUnderstand and follow assembly instructionsVerify dimensions and product specifications.Ensure that quality control standards are met.Safely operate factory and site based machinery, plant and tools and equipment (power drills, chisels, cutting saws etc)Set and check machines and tools according to jobsAdhere to health and safety requirementsPass pre-employment drug test and vetting checksSend your CVs to eseta@kiwicontract.co.nz For more clarification call Eseta 02111 40473"
3,"Senior Research Scientist, Computer Vision and Machine Learning",Weta Digital,"Wellington City, Wellington","Weta’s Technology and Research group is the innovation engine of Weta Digital. All large scale projects of the studio are powered by tools invented and developed by the group, and it is well-known how leadership in both the technology and research spaces is a key strategic objective for Weta Digital.
Weta Digital is looking for an experienced, visionary senior research scientist to help guide research and implementation of tools based on computer vision and machine learning (CVML) across our technology and research departments.
As part of our senior technology and research group, you will lead our research in the CVML space and lead a team of developers delivering high quality software in fast paced, challenging and creative environment.
Responsibilities
Lead research into CVML-based tools and applications across the studio, in fields such as image synthesis, denoising, computer vision, motion analysis and synthesis as well as large scale data discovery, mining and analysis
Be a key advisor in setting the direction for Weta’s strategy in the CVML space, in collaboration with the Senior Head of Technology and Research to align with the studio’s wider goals
Work closely with the heads of our technology and research departments to share insight into mutually beneficial opportunities for new solutions, exercising a high level of creative thinking for leveraging CVML to build new, improved tools for the VFX process
Collaborate with developers to design and ship applications and plugins to enhance the quality of the work of Weta’s artists, improve their focus on the task at hand and empowering them to achieve new levels of excellence in their field, by means of a pleasant, forceful personality and a charismatic communication style
Seek and maintain long-term collaborations with leading research institution around the world, fostering a climate of collaboration between the industry and academia
Stay up-to-date and contribute to the applied research in the CVML space, spanning both the theoretical and implementation sides. Apply new technologies in the development and enhancement of our products and processes, and develop a vision for new possibilities. Continuously raise the effectiveness of the team building skill and trust both inside and around it
Required skills and experience
The ideal candidate will have a number of publications in the field, corresponding to observable improvements in tooling similar to Weta’s areas of interest, such as image synthesis, denoising, computer vision, motion analysis and synthesis, data analysis and discovery. The ability to illustrate a vision and a complex set of ideas in a manner appropriate to the present audience will be a crucial asset to the successful candidate.
The candidate will also be able to demonstrate skill in leadership and mentoring roles, ideally involving teams of researcher and engineers or various degrees of seniority as well as project managers and interfacing with testing teams.
Another crucial asset to the successful applicant will be an ability to illustrate best practices of use of the proposed tools to artists and technical directors with a rich diversity of backgrounds, enhancing their understanding of the new possibilities offered by the proposed technology and stimulating a fruitful exchange of ideas with the target user base.
The candidate will also be able to demonstrate a high degree of competence in multi-threaded C++ development on Linux and its associate toolchain, as well as common libraries for CVML applications. It is understood the successful applicant may also be versant in other languages common in this space, such as Java, python or R and the associated library packages
Additional desirable skills
Image synthesis and rendering
Animation
Physically based simulation
Design of effective user interfaces, workflows and interaction stories for new tasks
Requirement gathering and an ability to elicit expression of stated as well as latent needs from the target users
Experience with real-time environments, high performance computing and GPU programming
Experience working in a professional development team, including collaborations with project managers, tracking tooling such as Jira, regular reporting on progress and similar
Familiarity with Linux-based environments
Familiarity with common VFX pipeline tools such as Nuke or Maya and in general the VFX process
Qualifications and requirements
PhD or Master’s degree and proven track record of excellence in research
Proven track record of achieving significant results as demonstrated by grants, fellowships, patents, as well as first-authored publications at leading workshops or conferences such as CVPR, ECCV/ICCV, SIGGRAPH, NIPS
Demonstrated software engineer experience via an internship, previous work experience, coding competitions, or widely used contributions in open source repositories (e.g. GitHub)
Willing to work in Wellington, New Zealand
Location: Wellington - New Zealand"
4,Machine Learning Enineer,H2R Consulting,"Wellington City, Wellington","H2R Technology is pleased to have the opportunity to drive the recruitment of a Machine Learning Engineer within an amazing organisation, Volpara Solutions, setting out to change lives globally with its software and products.

As a senior member of the Volpara Science Team, the Machine Learning Engineer will work with the Imaging Scientists and others to apply machine learning to ultimately deliver scientifically and technically robust marketable products. The Machine Learning Engineer will push the boundaries of what we know today about cancer imaging – finding ways of using artificial intelligence to save families from cancer.

Responsibilities
Working with the clinical and product teams to fully understand the clinical problems and to deliver marketable and saleable product features.
Working with imaging scientists to devise and try either classical image processing or machine learning to the problems seeking solutions which are robust, and which will work on the millions of images being processed by us each year from multiple different x-ray machines, all with code which is reliable, robust and fast.
Taking leadership in the conversation of research codes involving classical image processing (e.g. Python/MATLAB) into robust, portable, product code.
Investigating where necessary use of hardware-based approaches to accelerating machine learning.
Educating the science team and the organisation at large regarding the capability of artificial intelligence and application to our products.
Representing the organisation at conferences and seminars, as needed.
Ensuring all the image processing and machine learning done is well documented.
Participating in other development projects outside image processing and machine learning, as needed.
Ensure that work performed by the research team is developed in such a way as to facilitate commercialisation into Volpara products, including consideration for the quality and regulatory environment.
Understand and promote the importance of information security and safeguarding of protected health information.

Experience & Qualifications
PhD specialising in image processing and/or image focussed machine learning (preferable)
Experience in a commercial environment, with a focus on translating research into shippable machine learning features/code.
Have experience of both classical image processing and machine learning
Basic understanding of Physics.
Understand image registration.
Preferably have experience in imaging and data mining.
Be able to code in C#, C++, Python or MATLAB.
Be Agile in approach

If you feel that you can add value during this exciting time at Volpara Solutions and have the above skills then you can Apply by sending your CV to Kane Landers – kane.landers@h2r.co.nz quoting “25465 – Machine Learning Engineer” in the subject line or call (04) 499 9471.
Alternatively, you can apply using the button below."
5,Data Scientist,Tenzing,"Wellington City, Wellington","We work with a diverse set of client across many different industries including some of Australasia's best-known organisations and as a result we are able to provide interesting and challenging opportunities for our consultants. We have a small, highly-skilled team that operates across Auckland, Wellington and Sydney. Due to high demand, we need to grow.
We are currently looking for experienced data scientists to join our Wellington team. You will have a passion for translating data into meaningful and clearly articulated analysis that creates transparency and surfaces new insights that can drive innovation and operational excellence.
We are looking for people with experience in:
Advanced techniques such as machine learning, artificial intelligence, statistical modelling techniques and data visualisation, while working with diverse data
Working in collaboration with business clients to quickly understand business problems and apply your skills to help solve them
Applying data science to problem domains such as customer segmentation, behavioural modelling, marketing optimisation, sentiment analysis, image recognition, causal analysis, credit risk, fraud prediction, or similar scenarios
Making your analysis tell a story to busy business executives in their language
Like us, you will be open-minded about the tools you use to do the job and be happy to use SAS, R, Python, PowerBI/Tableau or similar in your work. Ideally you will have had some exposure or experience using cloud-based tools and data and understand the additional challenges this brings.
You will be comfortable operating in an agile team environment and have experience using agile techniques and ceremonies.
You will have a tertiary qualification in maths, stats, computer science or similar disciplines, and have at least three years of data science work experience in a real-world setting.
Consulting experience is desirable and experience in industries such as banking, insurance, energy, telco or government is essential.
In return, you'll be joining a close-knit, diverse and professional team with exciting and challenging Projects. The role will be personally rewarding as you support transformational change in Australasia's top organisations. Our high-performing culture is second to none, while retaining the support and collegial environment that reflects our New Zealand owned heritage.
We offer competitive salaries to reflect your experience and provide comprehensive learning frameworks to ensure you reach your full potential. As well as a bonus component, we also offer the opportunity to opt for 5 or 6 weeks annual leave and provide other health related benefits.
If this sounds like you, we look forward to hearing from you!"
6,"Developer (C#, JavaScript) - Work on the Xero SaaS Product!",Xero,"Wellington City, Wellington","At Xero we’re rewiring the world of small business, making it seamless, simpler and smarter. We aim to make being a small business more efficient and profitable for small business owners, and more enjoyable too.
Xero is used globally by millions of customers every single day and we’re still growing, fast. We’re passionate about building beautiful software and continuously improving experiences for our awesome customers!
You can be a part of it!
Developers work in a collaborative team environment, continually delivering improvements and features to our customers while looking for innovative ways to handle the challenges of this fast paced industry.
At Xero, we trust you to build your career to the best of your ability and we will support your desire for learning with training and career mentorship to help you flourish. As part of our awesome package, you’ll receive Xero shares and a Life Insurance package as well as a variety of other perks to make your time here that much more fun. Our facilities and PX teams work hard to give us great workspaces with all the tech company perks so join us and experience our awesome culture.
What we’re looking for:
A mix of frontend and backend skills
An understanding of how Agile, Lean and DevOps principles enable software teams deliver value to users more effectively
A growth mindset and excitement about tackling the next challenge that you and your team face.
The belief that a strong team is more valuable than a group of individuals and enthusiasm to help your team thrive through coaching, pairing, mobbing and educating
A desire to make a positive impact on the lives of millions of users
We like to keep things real and encourage everyone to maintain a healthy work/life balance. There are loads of additional perks we enjoy:
Work in bright modern offices with adjustable desks so you can sit or stand
Flexible hours to suit your lifestyle and work from home now and then
Have the freedom to dress how you like - we like to keep it casual
Barista coffee machines, complimentary fresh fruit and fizzy drinks.
Great break out areas with pool tables and ping pong
We have a gym in our office building where we also host fitness classes. We run wellness programs, get discounted gym memberships, and have onsite physio visits
Free Xero paddle boards- to explore the harbour in ‘the coolest little capital in the world’
Xero is an NZ Immigration Accredited Employer and Rainbow Tick certified too.
Apply now with your CV and cover letter!
** Please note that all shortlisting will commence in the new year"
7,Data Scientist / Mathematician (Machine Learning / Python),Sunstone Talent,"Christchurch, Canterbury","An interesting software house is looking for a Data Scientist with a background in mathematics / statistics to analyse data, apply statistical methods to build machine learning models & create predictive data analytics tools & products.

You'll create mathematical & statistical models to enhance data pipelines & tooling within a Cloud / OpenSource product development environment.

What you’ll bring:

***PhD or MSc or BSc in maths, statistics, or similar
***Experience of designing mathematical models and algorithms
***3-7 years experience building machine learning models with predictive modeling
***2-4 years commercial big data experience ideally with Spark, Hadoop, Kafka or similar creating data analytics or software for production
***You'll have the opportunity to create mathematical models & data science concepts to build machine learning models and enhance data pipelines for great product outcomes
***Work in a big data environment which includes AWS EMR, Hadoop, Spark, Flink, Kafka (Kafka Connect & Kafka Streaming), Camus and Druid
***Experience of understanding data collection through to data endpoints and outcomes
***Scripting Experience in Python
***A bonus if you've particpated in Kaggle data science competitions

What you’ll get:

***Exciting software house environment
***Able to come up with new data design ideas, apply machine learning & see them through to get awesome outcomes
***Flexible working culture that is supportive of your needs, wellness & training

Join an exciting, growing company with lots of new data science projects

Please send your CV with a short note to paul@sunstonetalent.com
Return to top IT Job List"
8,Reserve Infantry,NZ Army,New Zealand,"Skip to section:
About the role Career progression and training Salary and benefits Entry requirements
Skip to section
About the role
Career progression and training
Salary and benefits
Entry requirements
Service
Army
Specialisation
Army Reserve
Location
Various
Starting Salary
$148.82
About the role

As Infantry (Rifleman) you will work mostly outdoors in close-knit teams, learning combat skills such as weapon handling, navigation, field craft and survival. You will build your physical fitness and strength and build a high level of endurance and stamina.

As Infantry (Rifleman) within an Army Reserve unit you will continue to develop your skills during regular training and by conducting tactical field exercises. Once you have become proficient in your trade you could be given the opportunity to deploy on operation or support humanitarian aid and disaster relief (HADR) within NZ or overseas.

Career progression and training
Basic Training
Job Training

Initial training consists of three modules which equate to approximately 7 weeks of training. Mod 1 and 2 are are conducted throughout the year and Mod 3 in January. It is preferable that you are able to complete these modules back to back.

MOD 1

The purpose of Mod 1 is to familiarise recruits with the Army prior to them attending the Recruit Territorial Force All Corps Basic Module Two.

This is a two day introduction to life in the Army. During this period you will be introduced to drill, Military Law, and the Ethos and Values on the NZ Army. You will also be taught how to live in a military environment and the standards that are required of you over the next two modules. Mod 1 and 2 are conducted annually in mid-November

MOD 2

The aim of this course is to produce a soldier capable of a fulfilling an appointment within an infantry section. The Mod 2 is a 28 day course conducted immediately after the Mod 1.

During the Mod 2 you will be introduced to:
Drill
First Aid
Introduction to the IW MARS-L rifle, including maintenance. You will conduct live firing on the range in order to qualify on the Annual Weapon Shoot
Living in a field environment, including patrolling procedures, and operating in a rifle section
Introduction to Physical Training, including the Army Fitness Test
MOD 3

Mod 3 is conducted in early January and is a continuation module building on skills you have learnt, and providing you with further skills to enable you to be a section member within a rifle section.

This is a further 21 days of solid training, and at the completion of this module you will be ready for service and employment within your Reserve Unit.

During your final period of initial training you will:
Continue to develop your talent on the drill square
Broaden your understanding of military law to include “The Laws of Armed Conflict”
Conduct, the Army Required Fitness Test (RFL), swim test and timed pack walk
Get an introduction to the various infantry platoon weapons systems. This involves understanding the characteristics of the weapons, basic maintenance, and their employment. You will fire the LSW machine gun, the M72 anti armoured weapon system, 40mm grenade launcher and throw the high explosive (HE) hand grenade
Finally you will further develop your field-craft and battle-craft skills culminating in a field exercise where all your newly-learned skills will be tested

Over the course of the three modules of training you will cover the majority of the activities that are conducted on the Regular Force All Arms Recruit Course. However, you will only be given an introduction and will continue to develop your skills within your home unit.

Further Reserve Infantry and soldier skills training will be conducted at the unit you are assigned to.

Salary and benefits

As a Reservist you are paid on an hourly rate rather than a salary. Pay rates depend on the role you are in and your rank; your pay will increase as you move through the ranks.

As an Army Reserve soldier, the minimum remuneration you will be paid from day one is a daily rate of $148.82. Your remuneration will increase on promotion and seniority.

$149

Daily rate

Entry requirements
Basics
Education
Fitness and Medical
Citizenship
Period of Service
You must be at least 17 years of age
Preferably hold a Class 1 restricted driver's licence

You must have achieved the NCEA level 1 Literacy and Numeracy requirements

Find out more about the NCEA levels and certificate requirements

You must be medically fit for service.
Colour perception restrictions may apply.

There are strict citizenship and security requirements to gain the required CV security clearance for this trade.

Find out if you’re eligible here.

There may be a return of service period for this trade.

Please contact our 0800 number or talk to your Candidate Experience Facilitator for more information."
9,Reserve Armoured,NZ Army,New Zealand,"Skip to section:
About the role Career progression and training Salary and benefits Entry requirements
Skip to section
About the role
Career progression and training
Salary and benefits
Entry requirements
Service
Army
Specialisation
Army Reserve
Location
Hamilton
Starting Salary
$148.82
About the role

You will be trained to operate and fight from an armoured Pinzgauer, light operational vehicle (LOV) and trained in the skills of mounted reconnaissance. This involves working under pressure in a confined space, by day or night, in all weather conditions over varying terrain, anywhere in the world.

Career progression and training
Basic Training
Job Training

Initial training consists of three modules which equate to approximately 7 weeks of training. Mod 1 and 2 are conducted throughout the year, and Mod 3 in January. It is preferable that you are able to complete these modules back to back.

MOD 1

The purpose of Mod 1 is to familiarise recruits with the Army prior to them attending the Recruit Territorial Force All Corps Basic Module Two.

This is a two day introduction to life in the Army. During this period you will be introduced to drill, Military Law, and the Ethos and Values on the NZ Army. You will also be taught how to live in a military environment and the standards that are required of you over the next two modules. Mod 1 and 2 are conducted annually in mid-November

MOD 2

The aim of this course is to produce a soldier capable of a fulfilling an appointment within an infantry section. The Mod 2 is a 28 day course conducted immediately after the Mod 1.

During the Mod 2 you will be introduced to:
Drill,
First Aid
Introduction to the IW MARS-L rifle, including maintenance. You will conduct live firing on the range in order to qualify on the Annual Weapon Shoot
Living in a field environment, including patrolling procedures, and operating in a rifle section
Introduction to Physical Training, including the Army Fitness Test
MOD 3

Mod 3 is conducted in early January and is a continuation module building on skills you have learnt, and providing you with further skills to enable you to be a section member within a rifle section.

This is a further 21 days of solid training, and at the completion of this module you will be ready for service and employment within your Reserve Unit.

During your final period of initial training you will:
Continue to develop your talent on the drill square.
Broaden your understanding of military law to include “The Laws of Armed Conflict”
Conduct, the Army Required Fitness Test (RFL), swim test and timed pack walk.
Get an introduction to the various infantry platoon weapons systems. This involves understanding the characteristics of the weapons, basic maintenance, and their employment. You will fire the LSW machine gun, the M72 anti armoured weapon system, 40mm grenade launcher and throw the high explosive (HE) hand grenade.
Finally you will further develop your field-craft and battle-craft skills culminating in a field exercise where all your newly-learned skills will be tested

Over the course of the three modules of training you will cover the majority of the activities that are conducted on the Regular Force All Arms Recruit Course. However, you will only be given an introduction and will continue to develop your skills within your home unit.

As an Armoured Combat Specialist your training progression is based on licences, and how long it will take you to achieve a class 2 full.

PINZGAUER (LOV) COURSE

Once you have a class 2 licence you will be eligible to conduct the LOV familiarisation course. This involves learning how to conduct basic maintenance and operating of the LOV. You will learn how to drive this vehicle over all types of terrain in both day and night. Once you are qualified on this course you can then be employed as a driver in the troop

Until you have completed the LOV course you will be employed as an operator out of the LOV. This could involve manning the Mag 58 machine gun from the top of the vehicle or employ one of the various infantry weapons systems used.

After a few years within the troop, once you have become proficient in the various roles of an Armoured Combat Specialist and have gained some leadership experience you may be selected to complete a LOV Crew Commanders Course. This will see you in command of the vehicle and the personnel within the vehicle.

Salary and benefits

As a Reservist you are paid on an hourly rate rather than a salary. Pay rates depend on the role you are in and your rank; your pay will increase as you move through the ranks.

As an Army Reserve soldier, the minimum remuneration you will be paid from day one is a daily rate of $148.82. Your remuneration will increase on promotion and seniority.

$148

Daily Rate

Entry requirements
Basics
Education
Fitness and Medical
Citizenship
You must be at least 17 years of age
Class 1 restricted driver's licence, Class 2 is highly desirable

You must have achieved the NCEA level 1 Literacy and Numeracy requirements

Find out more about the NCEA levels and certificate requirements

You must be medically fit for service
Colour perception restrictions may apply.

There are strict citizenship and security requirements to gain the required CV security clearance for this trade.

Find out if you’re eligible here."
