jobTitle,companyName,meanPay,payRange
Data Analyst,Ricoh,"NZ$75,000",NZ$72K - NZ$78K
Data Analyst,Hamilton City Council,"NZ$76,035",NZ$72K - NZ$79K
Data Analyst,Government of New Zealand Department of Conservation,"NZ$60,000",NZ$57K - NZ$62K
Data Analyst,Accordo Compliance Solutions,"NZ$60,828",NZ$58K - NZ$63K
Data Analyst,Kantar,"NZ$52,000",NZ$49K - NZ$54K
Data Analyst,PRESTIGE,"NZ$57,582",NZ$55K - NZ$60K
Senior Data Analyst,Spark New Zealand,"NZ$94,415",NZ$90K - NZ$97K
Senior Data Analyst - Monthly,Westpac New Zealand,"NZ$9,000",NZ$9K - NZ$9K
Research and Data Analyst,"Ministry of Business, Innovation and Employment","NZ$83,000",NZ$80K - NZ$86K
Senior Data Analyst,"Ministry of Business, Innovation and Employment","NZ$120,000",NZ$115K - NZ$124K
Senior Data Analyst,ADHB,"NZ$73,086",NZ$70K - NZ$76K
Senior Data Analyst,"Ministry for Primary Industries, New Zealand","NZ$78,761",NZ$76K - NZ$82K
Senior Data Analyst - Hourly Contractor,Vector,NZ$43,NZ$41 - NZ$44
Data Entry/Analyst - Hourly Contractor,Vocus Group,NZ$21,NZ$20 - NZ$22
Senior Data Analyst,New Zealand Ministry of Foreign Affairs & Trade,"NZ$106,000",NZ$103K - NZ$109K
Senior Data Analyst,Bravura Solutions,"NZ$73,653",NZ$70K - NZ$77K
Location Data Analyst,Land Information New Zealand,"NZ$74,000",NZ$70K - NZ$78K
Data Analyst,Accordo,"NZ$50,641",
Data Analyst,University of Auckland,"NZ$70,491",NZ$62K - NZ$80K
Data Analyst,Ministry of Social Development,"NZ$82,029",NZ$72K - NZ$92K
Data Analyst,ADHB,"NZ$79,589",NZ$76K - NZ$82K
Data Analyst,Datamine (New Zealand),"NZ$71,250",NZ$62K - NZ$81K
Data Analyst,Spark New Zealand,"NZ$65,000",NZ$62K - NZ$67K
Data Analyst,Deloitte,"NZ$60,000",NZ$58K - NZ$62K
Data Analyst,Datacom Systems,"NZ$105,000",NZ$102K - NZ$110K
Data Analyst,Vodafone,"NZ$90,000",NZ$87K - NZ$93K
Data Analyst,Kiwibank,"NZ$55,000",NZ$52K - NZ$57K
Data Analyst,"Ministry for Primary Industries, New Zealand","NZ$60,486",NZ$58K - NZ$63K
Data Analyst,New Zealand Ministry of Justice,"NZ$59,682",NZ$57K - NZ$62K
Data Analyst - Hourly Contractor,Auckland Transport,NZ$39,NZ$37 - NZ$41
Data Analyst,Watercare,"NZ$70,000",NZ$68K - NZ$72K
Data Analyst,Christchurch City Council,"NZ$85,000",NZ$81K - NZ$89K
Data Analyst - Intern,Christchurch City Council,"NZ$55,759",NZ$53K - NZ$58K
Data Analyst,Mercury (New Zealand),"NZ$56,665",NZ$54K - NZ$59K
Data Analyst,Z Energy,"NZ$68,500",NZ$66K - NZ$71K
Data Analyst,Pikpok,"NZ$52,129",NZ$50K - NZ$54K
Data Analyst,2degrees,"NZ$49,873",NZ$48K - NZ$51K
