jobTitle,companyName,meanPay,payRange
Data Engineer,Telstra,"A$95,492",
Data Engineer,ANZ Bank,"A$123,643",
Data Engineer,Insurance Australia Group,"A$72,500",
Data Engineer,Cognizant Technology Solutions,"A$90,000",A$82K - A$99K
Data Engineer,Connexity,"A$83,886",A$72K - A$95K
Data Engineer - Hourly,Commonwealth Bank of Australia,A$104,A$100 - A$108
Data Engineer,Commonwealth Bank of Australia,"A$156,399",A$149K - A$164K
Data Engineer - Hourly Contractor,Commonwealth Bank of Australia,A$131,A$125 - A$137
Data Engineer - Contractor,Commonwealth Bank of Australia,"A$100,000",A$97K - A$105K
Data Engineer,Telstra,"A$129,485",A$124K - A$134K
Data Engineer - Hourly Contractor,Telstra,A$104,A$100 - A$109
Data Engineer,National Australia Bank,"A$65,000",A$62K - A$67K
Data Engineer,Atlassian,"A$105,493",A$100K - A$110K
Data Engineer,DXC Technology,"A$120,000",A$115K - A$124K
Data Engineer,Aurecon,"A$90,000",A$87K - A$94K
Data Engineer,Coca-Cola Amatil,"A$105,550",A$101K - A$110K
Data Engineer,News Corp,"A$143,057",A$138K - A$147K
Data Engineer,Tabcorp,"A$150,855",A$146K - A$156K
Data Engineer - Monthly Intern,Avanade,€900,€872 - €944
Data Engineer,Arq Group,"A$70,000",A$68K - A$73K
Data Visualization Engineer,Commonwealth Scientific and Industrial Research Organisation,"A$56,000",A$53K - A$58K
Big Data Engineer,Citi,"A$84,472",A$82K - A$87K
Senior Data Engineer,Swinburne University of Technology,"A$97,104",A$93K - A$102K
Data Network Engineer,Vocus Group,"A$113,845",A$110K - A$119K
Senior Data Engineer,HCL Technologies,"A$75,000",A$72K - A$79K
Engineering Data Manager - Contractor,Boeing,"A$55,022",A$52K - A$57K
Data Engineering Manager,Viator,"A$170,437",A$163K - A$178K
Senior Data Engineer,Versent (Australia),"A$160,000",A$153K - A$166K
Senior Data Engineer,Rokt,"A$126,327",A$121K - A$132K
Senior Data Engineer,Amplify,"A$150,000",A$143K - A$156K
Data Center Engineer,Digital Realty,"A$90,000",A$87K - A$94K
Data Engineer - Hourly,Dialog Information Technology,A$70,A$67 - A$73
Data Engineer,carsales.com.au,"A$107,373",A$102K - A$113K
Data Engineer,"Australian Government, Department of Human Services","A$80,000",A$78K - A$83K
Data Engineer,oOh!media,"A$124,195",A$118K - A$129K
Data Engineer,AHPRA,"A$96,942",A$93K - A$100K
Data Engineer,InfoCentric,"A$60,000",A$58K - A$62K
Data Engineer,Virtual Gaming Worlds,"A$130,000",A$124K - A$135K
Data Engineer,Wesfarmers,"A$135,000",A$130K - A$140K
Data Engineer - Contractor,Sony,"A$156,000",A$149K - A$163K
Data Engineer,Bullhorn,"A$80,000",A$77K - A$83K
Data Engineer,Propeller Aero,"A$88,000",A$84K - A$92K
Data Engineer,Forest Grove Technology,"A$100,000",A$95K - A$104K
Data Engineer - Hourly Contractor,MALTEM Consulting,A$65,A$62 - A$67
Data Engineer,Vital Software,"A$93,000",A$89K - A$96K
Data Engineer,Medius Health,"A$100,000",A$96K - A$104K
Data Engineer,Rubix (Australia),"A$120,000",A$115K - A$125K
Senior Data Engineer,Telstra,"A$150,000",A$144K - A$156K
Senior Data Engineer,National Australia Bank,A$150,A$143 - A$156
Data Center Engineer,IBM,"A$77,006",A$74K - A$80K
Senior Data Engineer,Kmart,"A$143,000",A$138K - A$149K
