jobTitle,companyName,meanPay,payRange
Data Scientist - Monthly,THE ICONIC,"A$6,000",A$6K - A$6K
Data Scientist,iSelect,"A$84,218",A$81K - A$88K
Data Scientist,oOh!media,"A$140,000",A$135K - A$145K
Data Scientist,Digital Alchemy,"A$67,272",A$64K - A$69K
Data Scientist,ATO,"A$112,257",A$107K - A$118K
Data Scientist,BAE Systems Applied Intelligence,"A$125,795",A$121K - A$130K
Data Scientist,Teradata,"A$97,541",A$94K - A$101K
Data Scientist,Culture Amp,"A$110,000",A$106K - A$113K
Data Scientist,Campaign Monitor ,"A$100,817",A$98K - A$105K
Data Scientist,Australian Bureau of Meteorology,"A$80,000",A$77K - A$83K
Data Scientist,Finder,"A$140,000",A$134K - A$146K
Data Scientist,Attorney-General's Department,"A$90,000",A$86K - A$93K
Data Scientist,Leadbolt,"A$120,000",A$114K - A$126K
Data Scientist,Gameloft,"A$82,894",A$80K - A$86K
Data Scientist - Hourly Contractor,Industrie IT,A$107,A$103 - A$111
Data Scientist,Rome2rio,"A$115,000",A$111K - A$120K
Data Scientist - Hourly Intern,Cover Genius,A$52,A$50 - A$55
Data Scientist - Contractor,Annalect,"A$131,590",A$127K - A$136K
Data Scientist,Escrow.com,"A$86,849",A$84K - A$90K
Data Scientist,Triple A Super,"A$105,526",A$100K - A$111K
Data Scientist,Australia Post,"A$100,000",A$96K - A$104K
Data Scientist,University of NSW,"A$142,460",A$136K - A$148K
Data Scientist,Rio Tinto,"A$135,000",A$130K - A$141K
Data Scientist,Vodafone Hutchison Australia,"A$116,025",A$111K - A$120K
Data Scientist,Commonwealth Scientific and Industrial Research Organisation,"A$98,193",A$95K - A$102K
Data Scientist,Bankwest,"A$88,000",A$85K - A$92K
Data Scientist,BT Financial Group,"A$130,000",A$126K - A$135K
Data Scientist,Amazon,"A$80,000",A$78K - A$83K
Data Scientist,Hewlett Packard Enterprise | HPE,"A$215,939",A$206K - A$224K
Data Scientist,QUT,"A$72,125",A$70K - A$75K
Data Scientist,Sportsbet.com.au,"A$110,044",A$105K - A$114K
Data Scientist - Hourly Contractor,Santos,A$130,A$126 - A$135
Data Scientist,SEEK,"A$135,546",A$129K - A$141K
Data Scientist - Monthly,SEEK,"A$5,000",A$5K - A$5K
Data Scientist,Swinburne University of Technology,"A$82,000",A$79K - A$85K
Data Scientist,Xero,"A$80,000",A$76K - A$84K
Data Scientist,Tyro Payments,"A$123,755",A$119K - A$129K
Data Scientist,Boston Consulting Group,"A$128,569",A$125K - A$135K
Data Scientist,NICTA,"A$88,035",A$85K - A$91K
Data Scientist,SafetyCulture,"A$110,000",A$105K - A$114K
Data Scientist,Commonwealth Bank of Australia,"A$136,589",
Data Scientist,Freelancer,"A$91,041",
Data Scientist,Telstra,"A$150,000",
Data Scientist,ANZ Bank,"A$115,000",
Data Scientist,Australian Taxation Office,"A$88,124",
Data Scientist,Deakin University,"A$83,713",A$66K - A$103K
Data Scientist,AGL Energy,"A$133,922",A$124K - A$145K
Data Scientist,Hatch,"A$79,751",A$72K - A$88K
Data Scientist,Redbubble,"A$141,902",A$131K - A$155K
Data Scientist,InfoCentric,"A$85,801",A$73K - A$99K
Data Scientist,Annalect,"A$124,934",A$110K - A$139K
