jobTitle,companyName,meanPay,payRange
Data Analyst,Crown Resorts,"A$76,496",A$68K - A$87K
Data Analyst,Virgin Australia Airlines,"A$82,938",A$74K - A$92K
Data Analyst - Hourly Contractor,Transport for NSW,A$59,A$36 - A$82
Data Analyst,Mercer,"A$96,853",A$87K - A$108K
Data Analyst,MLC,"A$64,482",A$57K - A$73K
Data Analyst,Nielsen,"A$75,696",A$57K - A$95K
Data Analyst,Bendigo Bank,"A$80,743",A$73K - A$90K
Data Analyst,Department of Health (Australia),"A$102,416",A$88K - A$118K
Data Analyst,CoreLogic,"A$75,000",A$67K - A$83K
Data Analyst,Deputy,"A$85,664",A$82K - A$90K
Data Analyst,MediaCom Worldwide,"A$52,783",A$46K - A$59K
Data Analyst,Ebiquity,"A$47,605",A$44K - A$52K
Data Analyst - Hourly Contractor,Commonwealth Bank of Australia,A$43,A$41 - A$45
Data Analyst - Contractor,Commonwealth Bank of Australia,"A$72,000",A$70K - A$75K
Data Analyst - Contractor,Deloitte,"A$75,000",A$71K - A$77K
Data Analyst,Telstra,"A$71,500",A$68K - A$74K
Data Analyst - Contractor,Telstra,"A$133,947",A$129K - A$140K
Data Analyst - Hourly Contractor,National Australia Bank,A$39,A$38 - A$40
Data Analyst - Hourly Contractor,Westpac Group,A$65,A$62 - A$68
Data Analyst - Contractor,Westpac Group,"A$185,633",A$179K - A$195K
