jobTitle,companyName,meanPay,payRange
Data Scientist,TradeLink,"A$65,043",A$62K - A$68K
Data Scientist,VED Labs,"A$70,000",A$67K - A$72K
Data Scientist,Pawsey Computing Centre,"A$108,000",A$104K - A$112K
Data Scientist,Antuit,"A$107,308",A$103K - A$113K
Data Scientist,Integris (Italy),"€24,000",€23K - €25K
Data Scientist,Uwajimaya,"A$113,362",A$110K - A$119K
Data Scientist - Hourly Contractor,Data Engineering,A$34,A$33 - A$35
Data Scientist,Axicor,"A$110,000",A$105K - A$115K
Data Scientist,Pavilion Health,"A$110,000",A$105K - A$114K
Data Scientist,Coronado Global Resources,"A$165,000",A$160K - A$171K
Associate Data Scientist,Commonwealth Bank of Australia,"A$100,889",A$92K - A$110K
Senior Data Scientist,ANZ Bank,"A$178,512",A$172K - A$188K
Senior Data Scientist,Westpac Group,"A$160,000",A$153K - A$166K
Advisory Data Scientist,IBM,"A$132,052",A$126K - A$137K
"Analyst, Data Scientist - Contractor",ANZ Bank,"A$82,894",A$79K - A$87K
Associate Data Scientist - Contractor,University of Melbourne,"A$90,000",A$86K - A$93K
Senior Data Scientist,Atlassian,"A$135,000",A$131K - A$140K
"Postdoctoral Fellow, Data Scientist - Contractor",Macquarie University,"A$77,968",A$74K - A$81K
Senior Data Scientist,Arq Group,"A$120,000",A$115K - A$124K
Senior Data Scientist,Domain Group,"A$130,000",A$126K - A$134K
