,jobTitle,companyName,meanPay,payRange
0,Data Analyst - Hourly,Parexel,$30,$29 - $31
1,Data Analyst - Hourly,Media Reps,$38,$37 - $40
2,Data Analyst - Hourly Intern,Lucid,$13,$12 - $13
3,Data Analyst - Hourly Intern,Robert Half,$26,$25 - $27
4,Data Analyst - Hourly,Acara Solutions,$15,$14 - $16
5,Data Analyst - Hourly Intern,MetLife,$22,$21 - $23
6,Data Analyst,Extend Health,"$53,005",$50K - $55K
7,Data Analyst,Lenmar Consulting,"$82,904",$79K - $86K
8,Data Analyst,Journeys,"$59,841",$57K - $62K
9,Data Analyst - Hourly Intern,S&P Global Ratings,$56,$53 - $58
10,Data Analyst - Monthly,Applecon,"$3,234",$3K - $3K
11,Data Analyst - Hourly Intern,The College of New Jersey,$12,$11 - $12
12,Data Analyst - Hourly Contractor,Bridgework Partners,$23,$23 - $24
13,Data Analyst,Alliance College Ready Public Schools,"$57,147",$55K - $59K
14,Data Analyst,Optomi,"$68,207",$65K - $71K
15,Data Analyst,Chapter 13 Standing Trustee,"$39,807",$38K - $41K
16,Data Analyst - Hourly Contractor,ooma,$13,$12 - $14
17,Data Analyst,Tufts Medical Center,"$65,152",$63K - $68K
18,Data Analyst - Contractor,Electronic Arts,"$81,822",$79K - $85K
19,Data Analyst,Voya Financial,"$75,192",$72K - $78K
20,Data Analyst - Hourly Intern,Young & Rubicam,$16,$15 - $16
21,Data Analyst,Coleman Research,"$75,088",$72K - $78K
22,Data Analyst,DHL Supply Chain,"$52,132",$50K - $54K
23,Data Analyst,Mathematica,"$72,609",$70K - $76K
24,Data Analyst,MRP,"$43,038",$41K - $45K
25,Data Analyst,TwinPrimeLabs,"$115,000",$111K - $120K
26,Data Analyst,Visiting Nurse Service of New York,"$69,931",$68K - $72K
27,Data Analyst - Hourly Contractor,Digital Risk,$14,$13 - $14
28,Data Analyst,Futures Institute For Development,"$66,078",$64K - $68K
29,Data Analyst,MF Global,"$62,572",$61K - $65K
30,Data Analyst,CSSI,"$71,060",$68K - $74K
31,Data Analyst - Hourly Contractor,Castlight,$82,$80 - $87
32,Data Analyst - Contractor,Cardinal Health,"$49,148",$47K - $51K
33,Data Analyst,HelloWallet,"$44,752",$43K - $47K
34,Data Analyst - Hourly,"alliantgroup, LP",$17,$16 - $18
35,Data Analyst,USHEALTH Group,"$68,318",$66K - $71K
36,Data Analyst,Grooveshark,"$38,483",$37K - $40K
37,Data Analyst,"Trion Group, a Marsh & McLennan Agency","$54,428",$52K - $57K
38,Data Analyst - Contractor,Genentech,"$102,930",$98K - $108K
39,Data Analyst - Hourly,K-VA-T Food Stores,$15,$15 - $16
40,Data Analyst - Hourly,Converseon,$12,$11 - $12
41,Data Analyst,Chrome Data Solutions,"$53,702",$52K - $56K
42,Data Analyst,AIRINC,"$62,133",$59K - $65K
43,Data Analyst,SCAN Health Plan,"$84,994",$82K - $88K
44,Data Analyst - Hourly Intern,AlphaMetrix,$11,$10 - $11
45,Data Analyst - Hourly Intern,InfoCision,$11,$11 - $12
46,Data Analyst,ESAB,"$84,737",$81K - $89K
47,Data Analyst,Hotels.com,"$77,502",$74K - $80K
48,Data Analyst - Monthly,Facebook,"$2,152",$2K - $2K
49,Data Analyst - Hourly Intern,Los Angeles Angels Of Anaheim,$11,$11 - $11
50,Data Analyst - Hourly,Sony DADC,$20,$20 - $21
51,Data Analyst - Hourly Intern,WD-40 Company,$33,$32 - $34
52,Data Analyst,Rollins College,"$38,483",$37K - $40K
53,Data Analyst - Hourly,Kaman Aerospace,$21,$21 - $22
54,Data Analyst,DMEautomotive,"$54,204",$52K - $57K
55,Data Analyst - Hourly,Spokane Public Schools,$28,$27 - $29
56,Data Analyst,Johnson Health Tech,"$65,001",$62K - $67K
57,Data Analyst,Cox Media Group,"$49,882",$48K - $52K
58,Data Analyst,IBM,"$40,093",$39K - $42K
59,Data Analyst - Hourly Contractor,Dallas County Southwestern Institute of Forensic Sciences,$69,$66 - $71
60,Data Analyst,ADS (Canada),"$52,986",$51K - $55K
61,Data Analyst,Brandmuscle,"$40,026",$39K - $42K
62,Data Analyst - Hourly Intern,Turbine Labs,$12,$12 - $13
63,Data Analyst,Simulia,"$79,892",$76K - $84K
64,Data Analyst,Cloudera,"$21,656",$21K - $23K
65,Data Analyst,Wall Street Journal,"$118,587",$113K - $124K
66,Data Analyst - Hourly,Welocalize,$20,$19 - $21
67,Data Analyst,SmartyPants Vitamins,"$65,649",$62K - $69K
68,Data Analyst,Millennium Trust Company,"$49,955",$48K - $52K
69,Data Analyst,Gavin de Becker & Associates,"$70,512",$68K - $73K
70,Data Analyst,Fluor,"$65,029",$62K - $67K
71,Data Analyst,XYZ,"$79,892",$76K - $83K
72,Data Analyst,Surplus Line Association of California,"$40,399",$38K - $42K
73,Data Analyst,Rodan + Fields,"$93,676",$90K - $97K
74,Data Analyst - Hourly Intern,Dun & Bradstreet,$22,$21 - $22
75,Data Analyst,Burrell Behavioral Health,"$55,549",$53K - $58K
76,Data Analyst,Advantage Tech,"$76,410",$74K - $79K
77,Data Analyst - Hourly Intern,Harvard Pilgrim Health Care,$38,$36 - $40
78,Data Analyst,Power Direct Marketing,"$45,497",$44K - $48K
79,Data Analyst - Hourly,Agilis International,$13,$13 - $14
80,Data Analyst - Contractor,DIRECTV,"$86,837",$84K - $91K
81,Data Analyst - Monthly,University of Southern California,"$3,412",$3K - $4K
82,Data Analyst,Cartesian,"$90,797",$88K - $94K
83,Data Analyst,"PACE, Inc.","$25,720",$25K - $27K
84,Data Analyst,SSI Group,"$64,542",$62K - $67K
85,Data Analyst,Kiosk,"$70,177",$67K - $73K
86,Data Analyst - Hourly,Greenway Health,$16,$15 - $16
87,Data Analyst - Hourly Contractor,"Blue Cross Blue Shield of Illinois, Montana, New Mexico, Oklahoma & Texas | HCSC",$43,$41 - $44
88,Data Analyst,Med-Care Diabetic & Medical Supplies,"$61,858",$59K - $64K
89,Data Analyst,The Hartford,"$73,522",$70K - $76K
90,Data Analyst,NAVEOS,"$49,785",$48K - $51K
91,Data Analyst,Cathy Type Word Processing,"$54,900",$52K - $57K
92,Data Analyst - Hourly Intern,Samsung Research America,$40,$39 - $42
93,Data Analyst - Hourly,Atrium Health,$20,$19 - $21
94,Data Analyst,CSAT Solutions,"$48,955",$47K - $50K
95,Data Analyst - Hourly,Sony,$24,$23 - $25
96,Data Analyst,AARP,"$89,511",$86K - $93K
97,Data Analyst,Thrive Chicago,"$59,057",$57K - $62K
98,Data Analyst,Digital Dhara,"$59,859",$58K - $62K
