jobTitle,companyName,meanPay,payRange
Data Analyst - Hourly,VMS,A$31,A$29 - A$32
Data Analyst,Energetics Holdings,"A$66,440",A$64K - A$69K
Data Analyst - Contractor,The Migration Company,"A$50,000",A$48K - A$52K
Data Analyst - Hourly Contractor,Conduent,A$31,A$30 - A$32
Data Analyst,Data2Decisions,"A$61,878",A$59K - A$64K
Data Analyst - Hourly,Mafematica,A$33,A$31 - A$34
Data Analyst - Hourly Contractor,Utilities,A$106,A$102 - A$111
Data Analyst,Strategic Analysis,"A$50,682",A$49K - A$53K
Data Analyst,Melba Fresh,"A$54,153",A$52K - A$56K
Data Analyst,digiBlitz Technologies,"A$74,338",A$71K - A$78K
Data Analyst,MVP Studios,"A$66,739",A$65K - A$70K
Data Analyst,Independent Hospital Pricing Authority,"A$117,000",A$112K - A$122K
Data Analyst - Hourly,Andrew Liang,A$36,A$34 - A$37
Data Analyst,If Not Now Consulting,"A$90,000",A$86K - A$94K
Data Analyst - Hourly,Richmond Wheel & Castor,A$37,A$36 - A$39
Data Analyst,Slim Money,"A$129,563",A$124K - A$135K
Senior Data Analyst,Powercor Australia,"A$76,807"
Senior Data Analyst,Accenture,"A$99,500"
Senior Data Analyst,Commonwealth Bank of Australia,"A$106,870",A$99K - A$115K
Data Analytics Analyst,Commonwealth Bank of Australia,"A$80,683",A$69K - A$92K
