,jobTitle,companyName,meanPay,payRange
0,Data Engineer,Amazon,"$107,206",N/A
1,Data Engineer,Hewlett-Packard,"$94,855",N/A
2,Data Engineer,Capital One,"$101,942",N/A
3,Data Engineer,Facebook,"$136,349",N/A
4,Data Engineer,IBM,"$101,998",N/A
5,Data Engineer,Hewlett Packard Enterprise | HPE,"$91,542",N/A
6,Data Engineer,KPMG,"$90,747",N/A
7,Data Engineer,General Motors (GM),"$83,286",N/A
8,Data Engineer,Verizon,"$89,520",N/A
9,Data Engineer,Wipro,"$80,119",N/A
10,Data Engineer,Spotify,"$136,751",N/A
11,Data Engineer,Accenture,"$88,350",N/A
12,Data Engineer,Teradata,"$78,329",N/A
13,Data Engineer,The Hartford,"$82,235",N/A
14,Data Engineer,Fidelity Investments,"$67,563",N/A
15,Data Engineer - Monthly Intern,Facebook,"$7,078",N/A
16,Data Engineer,PayPal,"$133,110",N/A
17,Data Engineer,Pivotal,"$121,750",N/A
18,Data Engineer,Cognizant Technology Solutions,"$79,696",N/A
19,Data Engineer,Apple,"$129,968",N/A
20,Data Engineer,Comcast,"$104,875",N/A
21,Data Engineer,Oracle,"$94,661",N/A
22,Data Engineer,Tresata,"$60,152",N/A
23,Data Engineer - Monthly Intern,Capital One,"$7,494",N/A
24,Data Engineer,American Express,"$105,104",N/A
25,Data Engineer,Factual,"$77,234",N/A
26,Data Engineer,Tata Consultancy Services,"$80,071",N/A
27,Data Engineer,Groupon,"$130,212",N/A
28,Data Engineer,Cisco Systems,"$117,211",N/A
29,Data Engineer,Bloomberg L.P.,"$112,648",N/A
30,Data Engineer,Travelers,"$86,929",N/A
31,Data Engineer,AT&T,"$100,044",N/A
32,Data Engineer,Big Fish Games,"$106,342",N/A
33,Data Engineer,LexisNexis Risk Solutions,"$54,310",N/A
34,Data Engineer,Carousel Industries,"$71,985",N/A
35,Data Engineer,Capgemini,"$95,830",N/A
36,Data Engineer,Civitas Learning,"$84,106",N/A
37,Data Engineer,Intuit,"$96,603",N/A
38,Data Engineer - Hourly Intern,Capital One,$44,N/A
39,Data Engineer,Healthgrades,"$83,000",N/A
40,Data Engineer,Bankrate,"$104,577",N/A
41,Data Engineer,MITRE,"$93,618",N/A
42,Data Engineer,MICROS Systems,"$78,792",N/A
43,Data Engineer,General Assembly,"$115,076",N/A
44,Data Engineer,Kabbage,"$102,067",N/A
45,Data Engineer,DXC Technology,"$75,190",N/A
46,Data Engineer,Impetus Technologies,"$101,047",N/A
47,Data Engineer,Booz Allen Hamilton,"$91,916",N/A
48,Data Engineer,Infosys,"$97,124",N/A
49,Data Engineer,SolarCity,"$97,516",N/A
50,Data Engineer,Expedia Group,"$98,277",N/A
51,Data Engineer,Think Big,"$119,402",N/A
52,Data Engineer,3M,"$91,892",N/A
53,Data Engineer,Health Catalyst,"$85,208",N/A
54,Data Engineer,Ciber,"$91,523",N/A
55,Data Engineer,Fanatics,"$102,484",N/A
56,Data Engineer,NBCUniversal,"$107,631",N/A
57,Data Engineer,Quicken Loans,"$94,536",N/A
58,Data Engineer,Bullhorn,"$66,626",N/A
59,Data Engineer,Autodesk,"$118,005",N/A
60,Data Engineer,Wayfair,"$88,138",N/A
61,Data Engineer,360i,"$85,000",N/A
62,Data Engineer,Cotiviti,"$75,763",N/A
63,Data Engineer,Allstate,"$97,767",N/A
64,Data Engineer,J.P. Morgan,"$79,124",N/A
65,Data Engineer,Rackspace,"$89,930",N/A
66,Data Engineer,Sila Solutions Group,"$108,599",N/A
67,Data Engineer,Centro,"$96,213",N/A
68,Data Engineer,Chegg,"$133,558",N/A
69,Data Engineer,Vanguard,"$80,118",N/A
70,Data Engineer,Demandbase,"$116,925",N/A
71,Data Engineer,Shutterfly,"$106,282",N/A
72,Data Engineer,Ancestry,"$94,996",N/A
73,Data Engineer,Avanade,"$101,210",N/A
74,Data Engineer,Doximity,"$108,743",N/A
75,Data Engineer,Signafire,"$124,801",N/A
76,Data Engineer,Liberty Mutual Insurance,"$87,400",N/A
77,Data Engineer,Bank of America,"$95,751",N/A
78,Data Engineer,Red Ventures,"$81,304",N/A
79,Data Engineer,PwC,"$79,374",N/A
80,Data Engineer,Microsoft,"$123,414",N/A
81,Data Engineer,Berkley Technology Services,"$87,721",N/A
82,Data Engineer - Contractor,Facebook,"$132,901",N/A
83,Data Engineer,Wells Fargo,"$82,801",N/A
84,Data Engineer,LTI,"$88,364",N/A
85,Data Engineer,Honeywell,"$106,707",N/A
86,Data Engineer,Pitney Bowes,"$77,361",N/A
87,Data Engineer,BAE Systems USA,"$89,159",N/A
88,Data Engineer,SoFi,"$93,222",N/A
89,Data Engineer,Citi,"$84,350",N/A
90,Data Engineer,Samsung Electronics,"$106,376",N/A
91,Data Engineer,Graphiq,"$65,612",N/A
92,Data Engineer,Simple Finance,"$110,212",N/A
93,Data Engineer,CBS Interactive,"$94,975",N/A
94,Data Engineer,Squarespace,"$153,133",N/A
95,Data Engineer,Comscore,"$94,085",N/A
96,Data Engineer,CGI,"$89,029",N/A
97,Data Engineer,Cardlytics,"$85,219",N/A
98,Data Engineer,Dun & Bradstreet,"$73,600",N/A
99,Data Engineer - Hourly Intern,Fidelity Investments,$21,N/A
100,Data Engineer,JW Player,"$95,000",N/A
101,Data Engineer,Salesforce,"$121,143",N/A
102,Data Engineer,NortonLifeLock,"$117,873",N/A
103,Data Engineer,Magnetic,"$102,605",N/A
104,Data Engineer,ActiveCampaign,"$99,909",N/A
105,Data Engineer,UnitedHealth Group,"$84,003",N/A
106,Data Engineer,Nordstrom,"$113,757",N/A
107,Data Engineer,EMC,"$91,952",N/A
108,Data Engineer,Capital Group,"$74,739",N/A
109,Data Engineer,Nerdery,"$69,434",N/A
110,Data Engineer - Hourly Intern,Avanade,$20,N/A
111,Data Engineer,Alliance Data,"$86,921",N/A
112,Data Engineer,Atlassian,"$123,708",N/A
113,Data Engineer,Dentsu Aegis Network,"$94,330",N/A
114,Data Engineer,Nielsen,"$99,466",N/A
115,Data Engineer,eBay,"$97,058",N/A
116,Data Engineer,GE Aviation,"$76,367",N/A
117,Data Engineer,MarkMonitor,"$88,758",N/A
118,Data Engineer,Mindtree,"$84,994",N/A
119,Data Engineer,Express Scripts,"$82,554",N/A
120,Data Engineer,Micron Technology,"$93,812",N/A
121,Data Engineer,InterWorks,"$91,126",N/A
122,Data Engineer,USAA,"$85,060",N/A
123,Data Engineer,Denodo,"$95,878",N/A
124,Data Engineer,Mozilla,"$116,977",N/A
125,Data Engineer,Adobe,"$127,848",N/A
126,Data Engineer,Riskonnect,"$70,677",N/A
127,Data Engineer,GE,"$92,570",N/A
128,Data Engineer,Rocket Lawyer,"$106,342",N/A
129,Data Engineer,Taulia,"$80,259",N/A
130,Data Engineer,Google,"$125,570",N/A
131,Data Engineer,Tata Consultancy Services (North America),"$79,189",N/A
132,Data Engineer,Avant,"$81,255",N/A
133,Data Engineer,"FocusKPI, Inc.","$73,723",N/A
134,Data Engineer,VPGAME,"$94,113",N/A
135,Data Engineer,Bazaarvoice,"$98,199",N/A
136,Data Engineer,CSC,"$89,675",N/A
137,Data Engineer,Clarity Insights,"$119,565",N/A
138,Data Engineer,Ericsson-Worldwide,"$117,000",N/A
139,Data Engineer,Sentry,"$79,991",N/A
140,Data Engineer,Northrop Grumman,"$88,439",N/A
141,Data Engineer,XANT,"$100,000",N/A
142,Data Engineer,Viasat,"$102,758",N/A
143,Data Engineer,Engility,"$90,947",N/A
144,Data Engineer - Hourly Intern,Principal Financial Group,$18,N/A
145,Data Engineer,AbbVie,"$150,166",$138K - $163K
146,Data Engineer,MapQuest,"$91,414",$80K - $104K
147,Data Engineer,Starbucks,"$111,660",$90K - $133K
148,Data Engineer,Ask Applications,"$87,005",$72K - $104K
149,Data Engineer,Windstream,"$72,109",$67K - $77K
150,Data Engineer,Tesla,"$108,334",$104K - $114K
151,Data Engineer,cxLoyalty,"$85,957",$81K - $91K
152,Data Engineer,Amazon Robotics,"$114,425",$90K - $139K
153,Data Engineer - Monthly,Geolog International,"$2,695",$2K - $3K
154,Data Engineer,EAB,"$74,963",$67K - $83K
155,Data Engineer,Namely,"$113,761",$97K - $133K
156,Data Engineer,Dow Jones,"$98,598",$87K - $110K
157,Data Engineer,Clayton Holdings,"$85,693",$81K - $92K
158,Data Engineer,Anadarko Petroleum,"$102,227",$95K - $110K
159,Data Engineer,Aetna,"$88,764",$82K - $96K
160,Data Engineer,Slalom,"$97,881",$66K - $132K
161,Data Engineer,Airbnb,"$150,722",$145K - $159K
162,Data Engineer,Videomining Corporation,"$62,919",$53K - $73K
163,Data Engineer,Society Consulting,"$102,047",$92K - $112K
164,Data Engineer,Carvana,"$93,883",$80K - $109K
165,Data Engineer,Enigma,"$89,572",$84K - $95K
166,Data Engineer - Contractor,Veracity Software,"$80,000",$67K - $94K
167,Data Engineer,Walmart,"$91,725",$76K - $107K
168,Data Engineer,PJM Interconnection,"$104,936",$100K - $111K
169,Data Engineer,Funding Circle,"$120,078",$108K - $132K
170,Data Engineer,MediaMath,"$91,038",$71K - $112K
171,Data Engineer,Customer Portfolios,"$81,553",$79K - $84K
172,Data Engineer,Limeade,"$113,795",$96K - $133K
173,Data Engineer,Noblis,"$94,678",$77K - $112K
174,Data Engineer,Gartner,"$92,031",$86K - $97K
175,Data Engineer,Cigna,"$95,040",$84K - $106K
176,Data Engineer,DuPont,"$100,769",$97K - $107K
177,Data Engineer,DCS Corp,"$95,663",$88K - $105K
178,Data Engineer,Whitepages,"$136,971",$107K - $170K
179,Data Engineer,Echo Global Logistics,"$78,567",$74K - $85K
180,Data Engineer,ExactTarget Marketing Cloud,"$120,670",$115K - $126K
181,Data Engineer,CBRE,"$89,357",$79K - $98K
182,Data Engineer,SmartZip Analytics,"$70,050",$67K - $72K
183,Data Engineer,Zendesk,"$128,360",$107K - $152K
184,Data Engineer,LeanTaaS,"$137,649",$100K - $177K
185,Data Engineer,Inflection,"$111,602",$101K - $122K
186,Data Engineer,HookLogic,"$93,596",$80K - $107K
187,Data Engineer,Tech Mahindra,"$85,153",$75K - $95K
188,Data Engineer - Hourly Intern,PACCAR,$20,$19 - $21
189,Data Engineer,AOL,"$97,791",$87K - $108K
190,Data Engineer,Amgen,"$107,645",$100K - $115K
191,Data Engineer,TiVo,"$112,704",$106K - $119K
192,Data Engineer,National Oilwell Varco,"$83,815",$73K - $96K
193,Data Engineer,Raytheon,"$99,890",$96K - $104K
194,Data Engineer,Rocket Fuel,"$125,537",$119K - $132K
195,Data Engineer,Amazon Lab126,"$125,462",$116K - $137K
196,Data Engineer,Keap,"$88,718",$82K - $96K
197,Data Engineer,TicketNetwork,"$62,558",$60K - $65K
198,Data Engineer,1904Labs,"$120,769",$111K - $130K
199,Data Engineer,ReachLocal,"$87,838",$75K - $100K
200,Data Engineer,Principal Financial Group,"$71,962",$60K - $85K
201,Data Engineer - Hourly Intern,phData,$21,$19 - $21
202,Data Engineer,Rapid7,"$97,963",$94K - $103K
203,Data Engineer,Twitter,"$109,996",$100K - $121K
204,Data Engineer,Apptio,"$111,454",$98K - $126K
205,Data Engineer,InsideTrack,"$101,473",$74K - $130K
206,Data Engineer,Bayes Impact,"$102,814",$98K - $108K
207,Data Engineer - Hourly Intern,AT&T,$30,$23 - $39
208,Data Engineer,PlayStation,"$118,050",$98K - $140K
209,Data Engineer,Rally Software,"$118,950",$99K - $141K
210,Data Engineer,Warby Parker,"$131,834",$85K - $181K
211,Data Engineer,DoubleVerify,"$105,377",$97K - $114K
