jobTitle,companyName,meanPay,payRange
Data Visualization Engineer,Commonwealth Scientific and Industrial Research Organisation,"A$56,000",A$53K - A$58K
Big Data Engineer,Citi,"A$84,472",A$82K - A$87K
Senior Data Engineer,Swinburne University of Technology,"A$97,104",A$93K - A$102K
Data Network Engineer,Vocus Group,"A$113,845",A$110K - A$119K
Senior Data Engineer,HCL Technologies,"A$75,000",A$72K - A$79K
Engineering Data Manager - Contractor,Boeing,"A$55,022",A$52K - A$57K
Data Engineering Manager,Viator,"A$170,437",A$163K - A$178K
Senior Data Engineer,Versent (Australia),"A$160,000",A$153K - A$166K
Senior Data Engineer,Rokt,"A$126,327",A$121K - A$132K
Senior Data Engineer,Amplify,"A$150,000",A$143K - A$156K
Data Center Engineer,Digital Realty,"A$90,000",A$87K - A$94K
