jobTitle,companyName,meanPay,payRange
Data Scientist,Australia Post,"A$100,000",A$96K - A$104K
Data Scientist,University of NSW,"A$142,460",A$136K - A$148K
Data Scientist,Rio Tinto,"A$135,000",A$130K - A$141K
Data Scientist,Vodafone Hutchison Australia,"A$116,025",A$111K - A$120K
Data Scientist,Commonwealth Scientific and Industrial Research Organisation,"A$98,193",A$95K - A$102K
Data Scientist,Bankwest,"A$88,000",A$85K - A$92K
Data Scientist,BT Financial Group,"A$130,000",A$126K - A$135K
Data Scientist,Amazon,"A$80,000",A$78K - A$83K
Data Scientist,Hewlett Packard Enterprise | HPE,"A$215,939",A$206K - A$224K
Data Scientist,QUT,"A$72,125",A$70K - A$75K
Data Scientist,Sportsbet.com.au,"A$110,044",A$105K - A$114K
Data Scientist - Hourly Contractor,Santos,A$130,A$126 - A$135
Data Scientist,SEEK,"A$135,546",A$129K - A$141K
Data Scientist - Monthly,SEEK,"A$5,000",A$5K - A$5K
Data Scientist,Swinburne University of Technology,"A$82,000",A$79K - A$85K
Data Scientist,Xero,"A$80,000",A$76K - A$84K
Data Scientist,Tyro Payments,"A$123,755",A$119K - A$129K
Data Scientist,Boston Consulting Group,"A$128,569",A$125K - A$135K
Data Scientist,NICTA,"A$88,035",A$85K - A$91K
Data Scientist,SafetyCulture,"A$110,000",A$105K - A$114K
